Pathway,Overlap_Count,Pathway_Size,Query_Size,P_Value,Odds_Ratio,Fold_Enrichment,Overlap_Genes
gabaergic,2,24,463,0.10572524106334055,3.8479827967007094,3.599712023038157,GAD2;SLC6A11
glutamatergic,2,31,463,0.16069224454003417,2.918087869526252,2.786873824287605,GRIK2;GRIN2A
