Pathway,Overlap_Count,Pathway_Size,Query_Size,P_Value,Odds_Ratio,Fold_Enrichment,Overlap_Genes
stress_response,2,21,463,0.08411349271755715,4.455874373732012,4.113956597757894,FKBP5;NTRK2
synaptic_plasticity,2,28,463,0.13649575362048938,3.2552449690245857,3.08546744831842,NTRK2;GRIN2A
