Pathway,Overlap_Count,Pathway_Size,Query_Size,P_Value,Odds_Ratio,Fold_Enrichment,Overlap_Genes
gabaergic,2,24,413,0.08715994814395685,4.3263820903916965,4.035512510088782,SLC6A11;GAD2
glutamatergic,2,31,413,0.13389826434467436,3.2814275599429323,3.1242677497461533,GRIN2A;GRIK2
