TF,Activity_Score,P_value,FDR,Contrast,Method,Rank
NPAS4,-5.892904036960693,1.279664031405233e-6,1.219946376606322e-4,DLPFC_OUD_vs_Control_full,Enrichment,3
ERG,5.422340129131653,3.7814631349729016e-6,2.703746141505625e-4,DLPFC_OUD_vs_Control_full,Enrichment,4
SPI1,4.673049994479821,1.7800149572926588e-4,0.0031647124492487,DLPFC_OUD_vs_Control_full,Enrichment,5
STAT4,4.334444213409044,4.6297313041826125e-5,0.002324802371326707,DLPFC_OUD_vs_Control_full,Enrichment,6
JUND,4.311828742805571,4.8772077720140714e-5,0.002324802371326707,DLPFC_OUD_vs_Control_full,Enrichment,7
SP1,4.207728873331259,3.0480049648253795e-4,0.004142220704261651,DLPFC_OUD_vs_Control_full,Enrichment,8
REL,4.194911204955302,6.383939977013726e-5,0.002344681877555088,DLPFC_OUD_vs_Control_full,Enrichment,9
CREB1,-4.0071008603691425,9.837826059671699e-5,0.002344681877555088,DLPFC_OUD_vs_Control_full,Enrichment,10
ZNF263,5.8941211291295605,3.766807892672192e-9,9.454687810607202e-7,Female_OUD_vs_Control_full,DoRothEA,1
PRDM14,-5.0606289939151345,4.178756345831796e-7,5.244339214018904e-5,Female_OUD_vs_Control_full,DoRothEA,2
CEBPB,4.742412579254587,2.111879712514045e-6,1.649924750035249e-4,Female_OUD_vs_Control_full,DoRothEA,3
ZBTB7A,4.697833048314028,2.6293621514505963e-6,1.649924750035249e-4,Female_OUD_vs_Control_full,DoRothEA,4
MAZ,-4.535723231557962,5.740642184897513e-6,2.881802376818552e-4,Female_OUD_vs_Control_full,DoRothEA,5
IRF3,-4.200807358129128,2.6596482896974958e-5,0.0011126195345234524,Female_OUD_vs_Control_full,DoRothEA,6
RELA,4.052985735266826,5.0568086894531515e-5,0.0017096535382599757,Female_OUD_vs_Control_full,DoRothEA,7
NR2F1,-4.035479276265901,5.449094942661277e-5,0.0017096535382599757,Female_OUD_vs_Control_full,DoRothEA,8
SIX5,-3.919814566641538,8.861712624358664e-5,0.0024714331874600274,Female_OUD_vs_Control_full,DoRothEA,9
NFKB1,3.852144428521279,1.170879254972173e-4,0.0029389069299801543,Female_OUD_vs_Control_full,DoRothEA,10
STAT1,9.756833598640407,4.158956199207965e-12,1.189461472973478e-9,Female_OUD_vs_Control_full,Enrichment,1
SPI1,8.308376793656818,4.916128275799369e-9,7.030063434393097e-7,Female_OUD_vs_Control_full,Enrichment,2
CEBPA,7.914413327292432,1.2178300124943717e-8,1.1609979452446344e-6,Female_OUD_vs_Control_full,Enrichment,3
REL,5.962950180330156,1.089055016056926e-6,7.786743364807022e-5,Female_OUD_vs_Control_full,Enrichment,4
STAT4,4.683640293889045,2.0718566617559408e-5,9.875850087703317e-4,Female_OUD_vs_Control_full,Enrichment,5
STAT2,-4.3119855306680295,1.7736137247283272e-5,9.875850087703317e-4,Female_OUD_vs_Control_full,Enrichment,6
CEBPB,3.978569427616199,1.0505834920177986e-4,0.0029749451386111123,Female_OUD_vs_Control_full,Enrichment,7
RELA,3.9414943867190737,1.1442096686965817e-4,0.0029749451386111123,Female_OUD_vs_Control_full,Enrichment,8
STAT3,3.9414943867190737,1.1442096686965817e-4,0.0029749451386111123,Female_OUD_vs_Control_full,Enrichment,9
RELA,3.9414943867190737,1.1442096686965817e-4,0.0029749451386111123,Female_OUD_vs_Control_full,Enrichment,10
ZNF263,7.4306883490194355,1.0803398080898308e-13,2.657635927900984e-11,Male_OUD_vs_Control_full,DoRothEA,1
NFKB1,6.1338240485989814,8.579140242597024e-10,1.055234249839434e-7,Male_OUD_vs_Control_full,DoRothEA,2
ZBTB7A,5.806140246127598,6.392941888921224e-9,5.242212348915403e-7,Male_OUD_vs_Control_full,DoRothEA,3
REL,5.097838839595056,3.435531039058057e-7,2.112851589020705e-5,Male_OUD_vs_Control_full,DoRothEA,4
SMAD3,4.672275762115072,2.9788065084263e-6,1.4655728021457397e-4,Male_OUD_vs_Control_full,DoRothEA,5
NR2F1,-4.307964422666133,1.6476387883329476e-5,6.755319032165085e-4,Male_OUD_vs_Control_full,DoRothEA,6
PRDM14,-4.198200417696616,2.6904447468690517e-5,9.454991538996954e-4,Male_OUD_vs_Control_full,DoRothEA,7
ETS2,4.120267202913178,3.7843326397538083e-5,0.0010876982517914514,Male_OUD_vs_Control_full,DoRothEA,8
MAZ,-4.108673388507784,3.979383848017505e-5,0.0010876982517914514,Male_OUD_vs_Control_full,DoRothEA,9
STAT1,4.013348890892345,5.986333044684744e-5,0.0014726379289924472,Male_OUD_vs_Control_full,DoRothEA,10
STAT1,6.921465804576963,6.407976380123259e-7,1.832681244715252e-4,Male_OUD_vs_Control_full,Enrichment,1
RELA,4.851571521304615,1.4074354273349703e-5,0.0013417551073926716,Male_OUD_vs_Control_full,Enrichment,2
RELA,4.851571521304615,1.4074354273349703e-5,0.0013417551073926716,Male_OUD_vs_Control_full,Enrichment,3
REL,4.5597827239924005,2.755606979052587e-5,0.0019702589900226,Male_OUD_vs_Control_full,Enrichment,4
ETS1,4.282241082943041,5.22106280039559e-5,0.002986447921826278,Male_OUD_vs_Control_full,Enrichment,5
E2F1,4.159792807563755,2.7426493578861655e-4,0.009804971454443041,Male_OUD_vs_Control_full,Enrichment,6
FOSL1,3.9495837007322456,1.1230944969930756e-4,0.00535341710233366,Male_OUD_vs_Control_full,Enrichment,7
SMAD3,3.672928223313099,2.1235954037084021e-4,0.008676404078008614,Male_OUD_vs_Control_full,Enrichment,8
CEBPA,3.4202552886892628,3.7996597756723345e-4,0.012074474398247641,Male_OUD_vs_Control_full,Enrichment,9
CEBPB,3.263378260925568,5.452827249647239e-4,0.015595085933991105,Male_OUD_vs_Control_full,Enrichment,10
ZNF263,10.099799559670943,5.535521450757347e-24,1.3838803626893369e-21,NAC_OUD_vs_Control_full,DoRothEA,1
ZBTB7A,8.211601278574891,2.1825800217884443e-16,2.7282250272355553e-14,NAC_OUD_vs_Control_full,DoRothEA,2
PRDM14,-6.290387573764728,3.166743270092041e-10,2.6389527250767007e-8,NAC_OUD_vs_Control_full,DoRothEA,3
NR2F1,-5.906623064817898,3.491914672265773e-9,2.182446670166108e-7,NAC_OUD_vs_Control_full,DoRothEA,4
MAZ,-5.573841238621466,2.4918283800833718e-8,1.245914190041686e-6,NAC_OUD_vs_Control_full,DoRothEA,5
SIX5,-5.489569614598975,4.029142958561872e-8,1.6788095660674466e-6,NAC_OUD_vs_Control_full,DoRothEA,6
CTCFL,-4.942573052326492,7.709820149318746e-7,2.7535071961852665e-5,NAC_OUD_vs_Control_full,DoRothEA,7
IRF3,-4.866121807066343,1.1380939072757524e-6,3.556543460236726e-5,NAC_OUD_vs_Control_full,DoRothEA,8
RELA,4.78848302523893,1.6804677502329925e-6,4.667965972869424e-5,NAC_OUD_vs_Control_full,DoRothEA,9
REL,4.731566450247696,2.2279385984478783e-6,5.077544477080656e-5,NAC_OUD_vs_Control_full,DoRothEA,10
STAT1,10.221685965437048,1.3904356175248197e-9,1.9883229330604922e-7,NAC_OUD_vs_Control_full,Enrichment,1
SIX5,-9.884085777657443,1.3059129313310013e-10,3.734910983606664e-8,NAC_OUD_vs_Control_full,Enrichment,2
IRF3,-9.47146300968232,4.315696715416103e-9,4.114297535363351e-7,NAC_OUD_vs_Control_full,Enrichment,3
ZNF263,-9.323508036214712,1.0649220444982594e-8,6.091354094530044e-7,NAC_OUD_vs_Control_full,Enrichment,4
MAZ,-8.059307430570232,8.72353623680887e-9,6.091354094530044e-7,NAC_OUD_vs_Control_full,Enrichment,5
NR2F1,-5.969103396926565,1.0737337471393978e-6,5.1181308613644626e-5,NAC_OUD_vs_Control_full,Enrichment,6
ZBTB7A,-5.140963571701319,7.2283043153932185e-6,2.953278620289229e-4,NAC_OUD_vs_Control_full,Enrichment,7
SNAPC4,-4.51305400701559,3.068640361592282e-5,0.0010970389292692408,NAC_OUD_vs_Control_full,Enrichment,8
SNAI2,-4.455322412534533,1.9469233026731507e-4,0.006186889606272457,NAC_OUD_vs_Control_full,Enrichment,9
SPI1,4.21805751849033,6.358347539557231e-4,0.015154061635944733,NAC_OUD_vs_Control_full,Enrichment,10
SPI1,-4.738814274553814,2.149724216962439e-6,5.395807784575723e-4,OUD_DLPFC_vs_NAC_full,DoRothEA,1
NFKB1,-4.250993683130268,2.1282417125689377e-5,0.0021906223734598743,OUD_DLPFC_vs_NAC_full,DoRothEA,2
ZNF263,-4.204355300051327,2.6182737531392916e-5,0.0021906223734598743,OUD_DLPFC_vs_NAC_full,DoRothEA,3
NR2F6,-3.1442175305723707,0.0016653159750800006,0.10034446759639719,OUD_DLPFC_vs_NAC_full,DoRothEA,4
MEIS2,3.0749260958516613,0.0021055472061323947,0.10034446759639719,OUD_DLPFC_vs_NAC_full,DoRothEA,5
NR2F1,3.0358391959304276,0.0023986725321847933,0.10034446759639719,OUD_DLPFC_vs_NAC_full,DoRothEA,6
REST,-2.8586047288614957,0.004255086248643197,0.1525752354870632,OUD_DLPFC_vs_NAC_full,DoRothEA,7
TBX21,-2.7149083717606386,0.006629410973873273,0.18858653327886638,OUD_DLPFC_vs_NAC_full,DoRothEA,8
CUX1,2.6903336681642465,0.007138060875985401,0.18858653327886638,OUD_DLPFC_vs_NAC_full,DoRothEA,9
THAP11,-2.673188239212046,0.007513407700353241,0.18858653327886638,OUD_DLPFC_vs_NAC_full,DoRothEA,10
SPIB,-4.134230312212636,4.52922709172338e-4,0.06476794741164434,OUD_DLPFC_vs_NAC_full,Enrichment,1
NR2F6,3.7864867487037603,0.001582323615410092,0.0826509031008522,OUD_DLPFC_vs_NAC_full,Enrichment,2
ZNF263,3.734084293119994,0.0017339350300878084,0.0826509031008522,OUD_DLPFC_vs_NAC_full,Enrichment,3
THAP11,3.6158079827230543,0.0021823691136000113,0.08576189578341092,OUD_DLPFC_vs_NAC_full,Enrichment,4
TBX21,-3.4455573575715657,0.0026028650713850955,0.08576189578341092,OUD_DLPFC_vs_NAC_full,Enrichment,5
NCOA2,3.148512022593955,0.004726389541561501,0.11264561740721576,OUD_DLPFC_vs_NAC_full,Enrichment,6
SOX13,-2.9459192511019285,0.005470611334778706,0.12035344936513152,OUD_DLPFC_vs_NAC_full,Enrichment,7
MAFF,2.9385747020316635,0.0027563316293203423,0.08576189578341092,OUD_DLPFC_vs_NAC_full,Enrichment,8
FOSB,-2.9280946394857055,0.0011800634535498447,0.0826509031008522,OUD_DLPFC_vs_NAC_full,Enrichment,9
HOXB13,2.873936042179988,0.006571098936305364,0.13423816398452385,OUD_DLPFC_vs_NAC_full,Enrichment,10
ZNF263,7.331302291091492,2.279268894359082e-13,5.720964924841296e-11,OUD_Male_vs_Female_full,DoRothEA,1
MNT,4.507162096306251,6.570044185839809e-6,7.174419939360887e-4,OUD_Male_vs_Female_full,DoRothEA,2
BHLHE40,4.450300950501099,8.575003911586717e-6,7.174419939360887e-4,OUD_Male_vs_Female_full,DoRothEA,3
PRDM14,-4.079712814469961,4.5091372830148894e-5,0.002829483645091843,OUD_Male_vs_Female_full,DoRothEA,4
KLF9,-3.8871553814731064,1.0142583378461893e-4,0.00509157685598787,OUD_Male_vs_Female_full,DoRothEA,5
FOXK2,-3.7011156446627993,2.1465361299915088e-4,0.008979676143797813,OUD_Male_vs_Female_full,DoRothEA,6
BATF,-3.60535518660679,3.117262824284858e-4,0.011177613841364275,OUD_Male_vs_Female_full,DoRothEA,7
ZBTB7A,3.4180151345277903,6.307959919474029e-4,0.019791224247349765,OUD_Male_vs_Female_full,DoRothEA,8
ARID3A,-3.3284721808953375,8.732372563633955e-4,0.024353616816356918,OUD_Male_vs_Female_full,DoRothEA,9
CEBPA,-3.119187677879719,0.001813504079024942,0.04172101162962878,OUD_Male_vs_Female_full,DoRothEA,10
ELF1,-2.5830902003899854,0.002611618880303508,0.7469229997668033,OUD_Male_vs_Female_full,Enrichment,1
IRF2,-2.243912299616257,0.00570279421509451,0.8154995727585149,OUD_Male_vs_Female_full,Enrichment,2
EOMES,-1.4931201575718847,0.03212771528417635,1,OUD_Male_vs_Female_full,Enrichment,3
REL,1.3784932150579297,0.041831822394693186,1,OUD_Male_vs_Female_full,Enrichment,4
KLF13,-1.3469938155487513,0.04497862599053404,1,OUD_Male_vs_Female_full,Enrichment,5
NR2F6,-1.3335177077317804,0.04639618722195793,1,OUD_Male_vs_Female_full,Enrichment,6
HBP1,-1.2497863974977708,0.056261797401549574,1,OUD_Male_vs_Female_full,Enrichment,7
SOX13,-1.2185363940343978,0.0604593684052791,1,OUD_Male_vs_Female_full,Enrichment,8
ZKSCAN1,-1.1712442549491815,0.06741487677865177,1,OUD_Male_vs_Female_full,Enrichment,9
BATF,-1.1537681240841342,0.07018299152410079,1,OUD_Male_vs_Female_full,Enrichment,10
ZNF263,7.286970208977094,3.1700296750868635e-13,7.956774484468027e-11,Pooled_OUD_vs_Control_full,DoRothEA,1
ZBTB7A,5.699079752904832,1.2045586850439043e-8,1.5117211497300999e-6,Pooled_OUD_vs_Control_full,DoRothEA,2
NFKB1,5.41336067730958,6.185272405230114e-8,4.510985103118461e-6,Pooled_OUD_vs_Control_full,DoRothEA,3
PRDM14,-5.386386702048673,7.188820881463684e-8,4.510985103118461e-6,Pooled_OUD_vs_Control_full,DoRothEA,4
RELA,5.192191735991459,2.0783280399476365e-7,1.0433206760537136e-5,Pooled_OUD_vs_Control_full,DoRothEA,5
MAZ,-5.111257775735396,3.200209595360118e-7,1.338754347392316e-5,Pooled_OUD_vs_Control_full,DoRothEA,6
REL,4.770672028344088,1.8361229533572626e-6,6.583812304181041e-5,Pooled_OUD_vs_Control_full,DoRothEA,7
CEBPB,4.587028910039228,4.495984427699282e-6,1.4106151141906497e-4,Pooled_OUD_vs_Control_full,DoRothEA,8
ETS2,4.284906948197938,1.828156883003474e-5,5.098526418154133e-4,Pooled_OUD_vs_Control_full,DoRothEA,9
NR2F1,-4.16738081004073,3.081195261765413e-5,7.733800107031188e-4,Pooled_OUD_vs_Control_full,DoRothEA,10
STAT1,10.131630260632202,1.3787656562624389e-9,3.943269776910575e-7,Pooled_OUD_vs_Control_full,Enrichment,1
SPI1,6.097041156855285,1.1052856606299177e-5,7.902792473503912e-4,Pooled_OUD_vs_Control_full,Enrichment,2
SIX5,-5.189648244749864,6.4617738618612644e-6,7.902792473503912e-4,Pooled_OUD_vs_Control_full,Enrichment,3
REL,5.050156622234004,8.909295788918251e-6,7.902792473503912e-4,Pooled_OUD_vs_Control_full,Enrichment,4
CEBPA,4.469353438198721,3.408459867905931e-4,0.01624699203701827,Pooled_OUD_vs_Control_full,Enrichment,5
ERG,4.158342343800748,6.944766626657968e-5,0.0039724065104483584,Pooled_OUD_vs_Control_full,Enrichment,6
ZNF263,-3.994965367689737,0.0010300800322494972,0.020359174019097537,Pooled_OUD_vs_Control_full,Enrichment,7
GATA2,3.596777271340283,0.0012559143351773133,0.020359174019097537,Pooled_OUD_vs_Control_full,Enrichment,8
ETS2,3.5639685946028647,0.001004359584995069,0.020359174019097537,Pooled_OUD_vs_Control_full,Enrichment,9
STAT4,3.325047191526254,4.730998479537752e-4,0.018063821810918413,Pooled_OUD_vs_Control_full,Enrichment,10
