TF,Activity_Score,P_value,FDR,Contrast,Method,Rank
NFKB1,-4.399641926054724,1.0842964392027376e-5,0.002721584062398871,Control_DLPFC_vs_NAC_full,DoRothEA,1
SPI1,-3.194290368192019,0.0014017504864499014,0.1260683513566651,Control_DLPFC_vs_NAC_full,DoRothEA,2
MEIS2,3.1733720415482627,0.001506793044103567,0.1260683513566651,Control_DLPFC_vs_NAC_full,DoRothEA,3
FOXP1,-3.038032355149965,0.002381283856140742,0.14942556197283158,Control_DLPFC_vs_NAC_full,DoRothEA,4
MEF2A,2.921321806961422,0.0034854959837397137,0.17497189838373364,Control_DLPFC_vs_NAC_full,DoRothEA,5
NANOG,2.8217634709306387,0.004776038819703035,0.19903802336699705,Control_DLPFC_vs_NAC_full,DoRothEA,6
HOXB13,2.7731963789698386,0.005550861209438165,0.19903802336699705,Control_DLPFC_vs_NAC_full,DoRothEA,7
CDX2,-2.69768599233936,0.006982326783795793,0.2013242408220636,Control_DLPFC_vs_NAC_full,DoRothEA,8
IRF1,-2.686578539402653,0.007218797479675587,0.2013242408220636,Control_DLPFC_vs_NAC_full,DoRothEA,9
STAT2,-2.618586402621207,0.008829492814705402,0.21173325098191567,Control_DLPFC_vs_NAC_full,DoRothEA,10
ZBTB11,4.077019087242101,8.105823308974669e-4,0.06984870266107729,Control_DLPFC_vs_NAC_full,Enrichment,1
NCOA2,3.989932603701028,9.769049323227594e-4,0.06984870266107729,Control_DLPFC_vs_NAC_full,Enrichment,2
FOXP1,3.784879956311948,1.7517552792647631e-4,0.050100200986972224,Control_DLPFC_vs_NAC_full,Enrichment,3
STAT2,-3.643417895325518,0.002102033649559906,0.07239219838964676,Control_DLPFC_vs_NAC_full,Enrichment,4
MEF2A,3.6247910041355422,4.5632798401640685e-4,0.06525490171434618,Control_DLPFC_vs_NAC_full,Enrichment,5
SPI1,-3.5988833840985976,0.0023386840759259376,0.07239219838964676,Control_DLPFC_vs_NAC_full,Enrichment,6
HOXB13,3.475477295992927,0.0029317423025834745,0.07239219838964676,Control_DLPFC_vs_NAC_full,Enrichment,7
TBX21,-3.347027553876261,0.0034340764794152183,0.07239219838964676,Control_DLPFC_vs_NAC_full,Enrichment,8
ARNT,3.208095151129018,0.003543674047045646,0.07239219838964676,Control_DLPFC_vs_NAC_full,Enrichment,9
SPIB,-3.095826339551666,0.002897333745664071,0.07239219838964676,Control_DLPFC_vs_NAC_full,Enrichment,10
ZNF263,8.309618748604583,9.601003566740336e-17,2.4098518952518242e-14,Control_Male_vs_Female_full,DoRothEA,1
PRDM14,-7.520250570064082,5.467136120663422e-14,6.861255831432595e-12,Control_Male_vs_Female_full,DoRothEA,2
ZBTB7A,4.61050386946584,4.016941633660418e-6,3.360841166829217e-4,Control_Male_vs_Female_full,DoRothEA,3
STAT2,-4.332149536918688,1.4766059265320904e-5,9.265702188988867e-4,Control_Male_vs_Female_full,DoRothEA,4
MAZ,-4.119913761069161,3.790142317381731e-5,0.0015184477838536487,Control_Male_vs_Female_full,DoRothEA,5
MNT,4.098777577835176,4.153379242071168e-5,0.0015184477838536487,Control_Male_vs_Female_full,DoRothEA,6
STAT3,-4.094285911576801,4.234714935050017e-5,0.0015184477838536487,Control_Male_vs_Female_full,DoRothEA,7
MYC,3.8646078869594205,1.1126780155429335e-4,0.0034910272737659538,Control_Male_vs_Female_full,DoRothEA,8
NR2F1,-3.8159745391031508,1.356464920231695e-4,0.0037830299442017275,Control_Male_vs_Female_full,DoRothEA,9
PPARA,-3.5176486199883876,4.3538846671882254e-4,0.010928250514642447,Control_Male_vs_Female_full,DoRothEA,10
ATF2,-1.253671085301157,0.055760789567065094,1,Control_Male_vs_Female_full,Enrichment,1
DUX4,-1.0722493713777654,0.08467410768021388,1,Control_Male_vs_Female_full,Enrichment,2
TBP,-0.9822221825400254,0.10417843222159862,1,Control_Male_vs_Female_full,Enrichment,3
ELF1,-0.9399192912816849,0.11483670126912904,1,Control_Male_vs_Female_full,Enrichment,4
PAX5,-0.9091309378414554,0.12327331136824315,1,Control_Male_vs_Female_full,Enrichment,5
SNAI2,-0.8354455284350284,0.14606779440878814,1,Control_Male_vs_Female_full,Enrichment,6
GATA3,-0.7951520327874315,0.16026842433189603,1,Control_Male_vs_Female_full,Enrichment,7
IRF2,-0.7791522160020314,0.16628297425337246,1,Control_Male_vs_Female_full,Enrichment,8
IRF3,0.7664170692967135,0.17123121200489666,1,Control_Male_vs_Female_full,Enrichment,9
NRF1,-0.7638279279493995,0.1722550932631277,1,Control_Male_vs_Female_full,Enrichment,10
NFKB1,6.210511529860519,5.281240121568516e-10,1.2939038297842865e-7,DLPFC_OUD_vs_Control_full,DoRothEA,1
STAT3,5.400467507263161,6.646744997563991e-8,8.14226262201589e-6,DLPFC_OUD_vs_Control_full,DoRothEA,2
CEBPB,5.203652199912403,1.9540957050324917e-7,1.595844825776535e-5,DLPFC_OUD_vs_Control_full,DoRothEA,3
REL,4.537643461446652,5.688633057341343e-6,3.484287747621573e-4,DLPFC_OUD_vs_Control_full,DoRothEA,4
RELA,4.197929802331877,2.6936609517128427e-5,0.0010664705794118867,DLPFC_OUD_vs_Control_full,DoRothEA,5
STAT1,4.18427041711226,2.8608340297053524e-5,0.0010664705794118867,DLPFC_OUD_vs_Control_full,DoRothEA,6
SMAD3,4.169920524867906,3.0470587983196763e-5,0.0010664705794118867,DLPFC_OUD_vs_Control_full,DoRothEA,7
FOXO1,3.475017937502803,5.108191924733016e-4,0.014674408492743443,DLPFC_OUD_vs_Control_full,DoRothEA,8
ETS2,3.4605565976658106,5.390599038150653e-4,0.014674408492743443,DLPFC_OUD_vs_Control_full,DoRothEA,9
FOXL2,3.2931266492378044,9.907983296688716e-4,0.024274559076887355,DLPFC_OUD_vs_Control_full,DoRothEA,10
STAT1,10.702833010824769,4.716271557150567e-10,1.348853665345062e-7,DLPFC_OUD_vs_Control_full,Enrichment,1
CEBPA,6.695918531467952,2.0141020362580086e-7,2.880165911848952e-5,DLPFC_OUD_vs_Control_full,Enrichment,2
