"geo_accession","title","treatment","sex","region","strain","batch","lib_size","mito_percent","ribo_percent","genes_detected"
"GSM8780688","NAc_20","Mor + 24h","female","NAc","C57BL6J","GSM8780688",50308191,0,0,20688
"GSM8780689","NAc_21","Mor + 24h","female","NAc","C57BL6J","GSM8780689",49325219,0,0,20845
"GSM8780690","NAc_22","Mor + 24h","male","NAc","C57BL6J","GSM8780690",36844466,0,0,20664
"GSM8780692","NAc_24","Mor + 24h","male","NAc","C57BL6J","GSM8780692",46774699,0,0,21037
"GSM8780693","NAc_25","Chronic mor","female","NAc","C57BL6J","GSM8780693",41166694,0,0,20784
"GSM8780694","NAc_26","Chronic mor","female","NAc","C57BL6J","GSM8780694",40823571,0,0,20555
"GSM8780695","NAc_27","Chronic mor","female","NAc","C57BL6J","GSM8780695",42745962,0,0,20180
"GSM8780696","NAc_28","Chronic mor","male","NAc","C57BL6J","GSM8780696",41159179,0,0,20060
"GSM8780697","NAc_29","Chronic mor","male","NAc","C57BL6J","GSM8780697",44281360,0,0,20920
"GSM8780698","NAc_30","Chronic mor","male","NAc","C57BL6J","GSM8780698",38489791,0,0,20338
"GSM8780699","NAc_31","Chronic mor","male","NAc","C57BL6J","GSM8780699",41358433,0,0,20772
"GSM8780700","NAc_32","Chronic mor","male","NAc","C57BL6J","GSM8780700",39025601,0,0,20222
