gene,logFC,logCPM,PValue,FDR,contrast,significant_fdr05,significant_fdr10,significant_nominal,significant_strict,significant,direction
AC131944.1,2.957732931355967,6.2602176921228585,8.103857772118002e-9,2.2194845666276e-4,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Up
SLC11A1,3.4044379937807174,5.011644223776668,6.02419281186322e-8,4.7221004399858e-4,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Up
TRPM1,4.04893690780504,3.7744335223111456,1.8802720142955498e-7,4.7221004399858e-4,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Up
SLAIN1,1.1675851078652866,10.146746891746597,2.0501960178347858e-7,4.7221004399858e-4,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Up
NEAT1,1.3710087224266512,10.715890150508406,2.257008763440339e-7,4.7221004399858e-4,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Up
CSMD2,1.3450855293009585,8.044824693569108,3.382992182661479e-7,4.7221004399858e-4,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Up
AC092924.2,1.422660920876321,7.036967839026017,3.720813217567937e-7,4.7221004399858e-4,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Up
TLR2,1.9763361007864653,5.531041565678087,3.796726811072676e-7,4.7221004399858e-4,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Up
DENND3,1.597341000660138,6.118647012037107,3.8120933716575634e-7,4.7221004399858e-4,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Up
TLL2,1.8541370571503784,5.255787605702409,4.308527502680295e-7,4.7221004399858e-4,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Up
SAMD4B,1.281848202878944,7.853540961474889,4.866543721586848e-7,4.7436299412445e-4,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Up
ZNF708,1.1792596192214395,8.585198152051944,5.993890744794748e-7,5.2955057973689e-4,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Up
