gene,logFC,logCPM,PValue,FDR,contrast,significant_fdr05,significant_fdr10,significant_nominal,significant_strict,significant,direction
AC025263.1,-1.6950850498340413,1.895793769961282,1.9728230604317e-4,0.00627550730972763,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
AHCYL2,-0.5926616850912269,6.88632052641446,1.9819010937671e-4,0.00628092322118188,OUD_vs_Control_Female,FALSE,TRUE,TRUE,FALSE,TRUE,Down
ANO3,-0.8805234145988287,5.048204464403869,1.9868920528555e-4,0.00628092322118188,OUD_vs_Control_Female,FALSE,TRUE,TRUE,FALSE,TRUE,Down
LINC02812,-8.48562468964406,-2.079452396585306,2.0086125992167e-4,0.00629426565987963,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
PECAM1,-1.263452978534606,3.372662400810489,2.0250019559093e-4,0.0063122271479667,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
SLC7A3,-2.9826762328737773,0.873939867228363,2.0258681404493e-4,0.0063122271479667,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
LINC02798,-0.8164446331270802,6.534802203449069,2.0366776860284e-4,0.00633016877565295,OUD_vs_Control_Female,FALSE,TRUE,TRUE,FALSE,TRUE,Down
AC069437.1,-1.8616682538057847,3.615827681712949,2.0506163141032e-4,0.0063531990509796904,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
LINC01608,-0.6521912638130442,9.433398044195563,2.0624209067622e-4,0.00637534805805918,OUD_vs_Control_Female,FALSE,TRUE,TRUE,FALSE,TRUE,Down
GULP1,-1.3763103021817642,3.7231742976817936,2.0695683350403e-4,0.00637585349382274,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
NKAP,-0.8903335453243486,4.773413006682315,2.0720157927244e-4,0.00637622118327394,OUD_vs_Control_Female,FALSE,TRUE,TRUE,FALSE,TRUE,Down
LINC02509,-4.3294697509443765,-1.834616542679543,2.0809055841269e-4,0.00639025041363871,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
ARL17A,-0.8075323302372922,5.774640093260757,2.0812411891944e-4,0.00639025041363871,OUD_vs_Control_Female,FALSE,TRUE,TRUE,FALSE,TRUE,Down
ABCA6,-1.22030369697409,3.9771239218986696,2.0987035159751e-4,0.00643665082816645,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
KIAA1217,-0.9410433714669088,5.138581599357452,2.1582008069449e-4,0.00658961022303328,OUD_vs_Control_Female,FALSE,TRUE,TRUE,FALSE,TRUE,Down
CDH8,-1.5958607286688036,5.636018181823352,2.1741333892672e-4,0.00661827723283314,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
LINC02723,-4.049178413491007,-2.361914476058337,2.1770112882917e-4,0.00661827723283314,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
AL078622.1,-1.817206793106705,1.131194113964174,2.1772769860983e-4,0.00661827723283314,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
TGIF2,-1.1645823510667297,2.9198415826004194,2.1839566751139e-4,0.00661827723283314,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
LINC02058,-1.6351682164617196,2.1445737790635437,2.2090306922709e-4,0.00665729272027835,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
AP1B1,-0.8974318504617241,5.363107212461357,2.2437611661865e-4,0.00675298140873801,OUD_vs_Control_Female,FALSE,TRUE,TRUE,FALSE,TRUE,Down
NTN1,-0.9794771303750922,4.224242630343035,2.2573890514166e-4,0.00678653911527988,OUD_vs_Control_Female,FALSE,TRUE,TRUE,FALSE,TRUE,Down
ADRB2,-1.5649101236007104,2.2273889412182695,2.2773451319991e-4,0.00681660420493901,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
AL627316.1,-3.6157334544853192,1.3296063070830444,2.327636123833e-4,0.00695195317017016,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
AC114930.1,-1.0920219683273993,2.9291224010211128,2.3276402282189e-4,0.00695195317017016,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
CD4,-1.205195072698034,3.332517765270785,2.346181996491e-4,0.00699969853157912,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
AC024603.1,-2.8270406953732747,-1.4535584488121636,2.3503089346792e-4,0.00700438096876983,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
AC016074.2,-1.301779234763381,2.9922253988290484,2.353406334504e-4,0.00700598833580402,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
AC007106.2,-1.5630176808744014,1.288667310656203,2.3570824032741e-4,0.00700931301420973,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
GMIP,-1.3678688510419006,1.982344025791037,2.3803772528324e-4,0.00705560305201015,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
CELF2,-0.7399340261557283,7.545993633169613,2.3880328985137e-4,0.00707064270535089,OUD_vs_Control_Female,FALSE,TRUE,TRUE,FALSE,TRUE,Down
ENPP1,-1.3549570892316722,3.2515521520025885,2.3941573458115e-4,0.00708112110011729,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
AC090541.1,-1.7919316544971498,1.3910005401080905,2.4012504041388e-4,0.00709443862659693,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
FAM155A,-0.9683884733668204,7.688425797077804,2.4202824132802e-4,0.00712760158439996,OUD_vs_Control_Female,FALSE,TRUE,TRUE,FALSE,TRUE,Down
AC005208.1,-1.6020122989582544,1.7167468821392464,2.4248633540303e-4,0.00713081584627879,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
AC087273.2,-2.409285741428531,1.1176960492257113,2.4408423517267e-4,0.00716503647685873,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
LILRB4,-2.0433228316068384,3.4029094289551107,2.4587995698691e-4,0.00718615943215886,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
STK33,-1.343174285869131,4.935772321666606,2.4620033868267e-4,0.00718615943215886,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
AL121827.2,-1.988651134150436,0.9666192741915768,2.4635388901364e-4,0.00718615943215886,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
AL157911.1,-1.05505339704295,3.468468740223816,2.4637811109964e-4,0.00718615943215886,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
AC092969.1,-1.0737031046306171,3.145388468865137,2.4777759861647e-4,0.00719728517720359,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
CROCC,-0.6815779883932809,5.489508560185305,2.4954548175464e-4,0.00722468462399187,OUD_vs_Control_Female,FALSE,TRUE,TRUE,FALSE,TRUE,Down
LRMDA,-0.7449919557945698,8.778870251653753,2.5239816848998e-4,0.00727650635642493,OUD_vs_Control_Female,FALSE,TRUE,TRUE,FALSE,TRUE,Down
MYORG,-1.2801594844152484,2.222908687938382,2.5320657746265e-4,0.00727790250992444,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
