gene,logFC,logCPM,PValue,FDR,contrast,significant_fdr05,significant_fdr10,significant_nominal,significant_strict,significant,direction
GSDME,-0.773325680499745,3.3210401816948845,0.00115269150278175,0.01649420840030659,OUD_vs_Control_Female,FALSE,TRUE,TRUE,FALSE,TRUE,Down
EMP1,2.029996510496382,2.7228647306610005,0.00115373585644537,0.01650053140278114,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Up
RASSF3,-0.5596830587950845,4.690843222962512,0.00115577422252256,0.01652105657956571,OUD_vs_Control_Female,FALSE,TRUE,TRUE,FALSE,TRUE,Down
CREB3L1,-1.3423356687085326,1.926546069793705,0.00115690003579261,0.01652852278575279,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
XIRP1,-6.552412973312205,-3.724822143366058,0.00116101244007445,0.01657862810675661,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
PTPN5,-0.997245582356628,2.5730237457425775,0.00116236856817207,0.01658191604807158,OUD_vs_Control_Female,FALSE,TRUE,TRUE,FALSE,TRUE,Down
PARD6G,0.8265287325394961,3.562309389641668,0.00116245358596091,0.01658191604807158,OUD_vs_Control_Female,FALSE,TRUE,TRUE,FALSE,TRUE,Up
RBFOX1,-0.982981789045992,7.669607343142529,0.00116691293950701,0.01662820582061297,OUD_vs_Control_Female,FALSE,TRUE,TRUE,FALSE,TRUE,Down
FOSL2,1.776372188418436,2.828022484513296,0.00116940993925504,0.01664638643816967,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Up
AL161734.2,-1.321380750042249,1.095668198417363,0.00117028737852444,0.01664638643816967,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
TLR10,-1.2706842798625246,3.1606101910630824,0.00117035461333468,0.01664638643816967,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
COL4A2,1.5584463886566062,3.5543315685202592,0.00117061998977343,0.01664638643816967,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Up
KCTD15,-1.2287840259152991,1.4490811333826703,0.0011731579650167,0.01667381958789699,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
TRIB2,-0.9580996763512548,2.915954965192387,0.00117495541434053,0.01667413179499785,OUD_vs_Control_Female,FALSE,TRUE,TRUE,FALSE,TRUE,Down
ODF3L2,1.6211026609475987,-0.4459631790620261,0.00117500636645048,0.01667413179499785,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Up
LINC01943,2.573182804273858,-2.8943932326952115,0.00117562010112941,0.01667420162078325,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Up
SCG3,-0.7723957428144366,4.262286848484414,0.00117717553024939,0.01668391551978975,OUD_vs_Control_Female,FALSE,TRUE,TRUE,FALSE,TRUE,Down
AC027251.1,-1.4238335966641693,1.2232970821440186,0.0011775233204233,0.01668391551978975,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
KDM4B,0.5324465025483199,6.526463716618466,0.00117995473148527,0.01670972088206762,OUD_vs_Control_Female,FALSE,TRUE,TRUE,FALSE,TRUE,Up
DCTN1-AS1,1.029695366824987,3.120900201390764,0.00118118775696636,0.01671853761643146,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Up
GGH,-1.1236032368239284,1.4409087792250537,0.00118742217169699,0.01679288528913826,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
MEOX1,1.6559506757953495,0.08331010415805708,0.00118863509795438,0.01679288528913826,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Up
SNTG1,-0.64308887294336,7.392392326547664,0.00118868425623503,0.01679288528913826,OUD_vs_Control_Female,FALSE,TRUE,TRUE,FALSE,TRUE,Down
AC005520.2,-0.8090933547928194,3.433002243511275,0.00118889311288298,0.01679288528913826,OUD_vs_Control_Female,FALSE,TRUE,TRUE,FALSE,TRUE,Down
