"gene_id","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Cdkn1a",1.7302696959794,7.1404523946001,6.86119896351897,1.89317282066596e-05,0.239864996378377,-3.34968403200575
"Tma16",1.46136912524991,6.21581412065764,4.72460570705142,0.000514799970432577,0.99996385589442,-3.61007331558459
"Itgad",1.41872484664639,4.26317376702027,4.60007104021451,0.000636369237433887,0.99996385589442,-3.83378225218222
"Synm",0.774075781236983,6.04584421636376,4.19521011830612,0.0012852969350367,0.99996385589442,-3.70589626187214
"mt-Rnr2",0.961455347450507,15.3526993655274,4.18520770111078,0.00130814564351346,0.99996385589442,-4.02036269033701
"Fkbp5",0.821109770127327,6.52339065549952,4.16578565674317,0.00135372324315602,0.99996385589442,-3.71382404729746
"Pla2g3",1.3548302009398,1.61274880426698,4.11686980274235,0.00147595797369552,0.99996385589442,-4.32116341373531
"P2ry1",-0.752229856976165,4.76910575822963,-3.95256411123507,0.0019770851924298,0.99996385589442,-3.84501826513315
"Tiparp",0.716171497144923,6.07490784766142,3.91526247349906,0.00211358519384739,0.99996385589442,-3.76777827059349
"Slc25a13",0.810900629706971,3.8411361858292,3.76419232707026,0.00277366686350401,0.99996385589442,-4.01821954069597
"Phactr3",0.763132055365794,8.30019068634443,3.74939678733193,0.002848815311515,0.99996385589442,-3.858599596226
"Hist1h1e",0.69517294150707,3.97863592432664,3.69231102508617,0.00315891278720196,0.99996385589442,-4.00429036248103
"Sgk3",0.773462591332406,5.91148729026725,3.65891568870872,0.00335617432885563,0.99996385589442,-3.83268809429178
"Lair1",-0.872757531275453,3.43379103140381,-3.6223654355764,0.00358659133910209,0.99996385589442,-4.10745130381362
"Tmf1",0.582210036180713,6.92816876344865,3.61949177761211,0.00360538049016383,0.99996385589442,-3.84884676394108
"Gpr84",-1.93589695917215,0.164429468065802,-3.51023438296407,0.00439973208308883,0.99996385589442,-4.45420116662129
"P2ry12",-0.98128811891852,5.52938302505455,-3.46489590469221,0.0047798796492992,0.99996385589442,-3.9043204839883
"Uba52",0.610090784008429,6.12368590176794,3.45457278081681,0.00487101775705867,0.99996385589442,-3.88119846195166
"Kctd17",0.644074721441694,3.7108659513863,3.44936752979019,0.00491764182765063,0.99996385589442,-4.08932703943125
"Cd109",1.55246160404011,0.47302174244785,3.441711958421,0.00498704082231814,0.99996385589442,-4.44794394690972
"Pdk4",1.05742237227524,2.31185276361382,3.42598604153229,0.00513274315234799,0.99996385589442,-4.29548348374506
"Fhad1",1.28498277031575,3.8207122406156,3.34091884468262,0.00599939070880999,0.99996385589442,-4.11268604637211
"Insl6",0.891917643587067,2.53042746403225,3.32117670547806,0.00622093086629894,0.99996385589442,-4.27875948204131
"Arrdc2",0.93749224002162,5.04605679241012,3.32117217142234,0.00622098268761893,0.99996385589442,-3.96609480114731
"Trnp1",0.600192841938968,6.30008104858866,3.30109463595624,0.0064548016512111,0.99996385589442,-3.92249170274743
"Arvcf",0.473026209559876,4.58090741622092,3.2379776639237,0.00724945361896152,0.99996385589442,-4.02040935111023
"Zfand4",0.655677824928677,2.96690759088863,3.19288707827165,0.00787709951628594,0.99996385589442,-4.23774056753473
"Tsc22d3",0.642267760333255,7.45299227322171,3.15383644108615,0.00846484347706187,0.99996385589442,-3.9840710444204
"Wnt7a",-0.635614350166688,3.86775442633424,-3.08896835889404,0.00954044365553853,0.99996385589442,-4.13971160968716
"Gm9946",-1.2125835278919,0.861786460350882,-3.08659900016864,0.00958223303867548,0.99996385589442,-4.44807895413704
"Ccr5",-1.26740744624019,2.16507168070251,-3.08146068848876,0.00967349249519846,0.99996385589442,-4.35452134531331
"Cd180",-1.24435132098671,0.744006659172033,-3.05475158983755,0.0101621101072181,0.99996385589442,-4.45555547093996
"Camk1g",0.567633478956796,5.42454148163034,3.03160542674441,0.0106055319767312,0.99996385589442,-4.01501431958627
"Malat1",0.751200450198944,13.5794942443144,3.01324658839964,0.0109709911665433,0.99996385589442,-4.17470204215625
"Arhgef3",0.453130262628588,5.49439772069944,3.00297465552084,0.011180943651185,0.99996385589442,-4.01958139850503
"Fzd2",0.644368389559639,5.84036358416523,2.99039614448525,0.0114435260735544,0.99996385589442,-4.01416705896036
"Sgk1",0.809176739051361,7.6202387687253,2.97400860024918,0.0117948980960439,0.99996385589442,-4.0379589168273
"Pnma1",-0.763700341860818,1.93826089989,-2.96776616484103,0.0119315635331726,0.99996385589442,-4.37918678089824
"D4Wsu53e",0.474858530194336,9.15457694991096,2.95855357079876,0.0121361502513011,0.99996385589442,-4.07810556349951
"Mpp7",0.66749431472511,5.00752846170051,2.93747073289181,0.0126176202542385,0.99996385589442,-4.06561609003899
"Casp8ap2",0.554163789332472,6.35993854430289,2.91665293812351,0.0131117325478122,0.99996385589442,-4.03270889587309
"Dlx6os2",1.41323477048727,0.149160363132936,2.89587692803665,0.0136240779996959,0.99996385589442,-4.4883152358098
"Bloc1s1",0.688517831862039,5.67130856310903,2.89502818004895,0.0136454272109532,0.99996385589442,-4.04639709590929
"Angptl4",1.06641029038396,2.86993571440719,2.85988832214975,0.0145591665596548,0.99996385589442,-4.30736026999979
"Arid5b",0.554545179959454,6.27561170026391,2.84532928746413,0.0149553356985684,0.99996385589442,-4.05368525540854
"Mat2a",0.401672191792303,8.5112374026665,2.84446808920922,0.0149791025434885,0.99996385589442,-4.09357896774968
"Cx3cr1",-0.96181353118688,5.75438243828919,-2.84276178455317,0.0150263029678368,0.99996385589442,-4.06747244090687
"Gpx4",0.509901657710316,6.70872261258898,2.8297852910645,0.0153901278404503,0.99996385589442,-4.06211814213135
"Egflam",-0.797556494594741,1.59504233153732,-2.82051506327355,0.0156553792215897,0.99996385589442,-4.42076543844369
"Pcolce2",0.652303455800333,4.45252995385881,2.8125593062541,0.0158866312110542,0.99996385589442,-4.14208902055984
"Pnpla2",0.772312621706868,4.81228033185857,2.81192730281064,0.0159051463609549,0.99996385589442,-4.11450553367687
"Sult1a1",0.480646787717949,5.48495359318413,2.81083956237298,0.0159370628675074,0.99996385589442,-4.07596144723395
"Angptl1",0.843866655067989,1.88464105292953,2.80859129060745,0.0160032330636135,0.99996385589442,-4.4009387412929
"Arid4b",0.522879108419474,8.10504660779922,2.80606698253735,0.0160778519808223,0.99996385589442,-4.0956165972998
"Gbp4",-0.96849820770802,1.25830214209217,-2.80573845387399,0.0160875886592357,0.99996385589442,-4.44432350079221
"Arc",0.596679723332254,5.09336084884217,2.8033870285332,0.016157449167292,0.99996385589442,-4.09678627068774
"4922501C03Rik",0.49754105023619,4.96493268974677,2.80289733121176,0.0161720357794453,0.99996385589442,-4.10392608329074
"Aarsd1",0.720956364214535,1.78018003891825,2.79268271098498,0.0164792901338076,0.99996385589442,-4.40876661429998
"Zbtb16",0.950805164720048,5.72411982546925,2.79067205576891,0.0165404478964964,0.99996385589442,-4.07861870661762
