gene,logFC,logCPM,PValue,FDR,contrast,significant_fdr05,significant_fdr10,significant_nominal,significant_strict,significant,direction
C5orf17,1.675094655045844,1.8979462263752025,0.00392877195116168,0.03756986433326245,OUD_Effect_Male_vs_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Up
ASPA,-0.7321128510092475,7.570693375074864,0.00393247360189879,0.03757850016601366,OUD_Effect_Male_vs_Female,FALSE,TRUE,TRUE,FALSE,TRUE,Down
GIMAP6,1.7902008802964609,-0.23251510134584064,0.00393374756844962,0.03757850016601366,OUD_Effect_Male_vs_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Up
PCTP,0.9494626351336816,3.3296127563816276,0.00393447422292522,0.03757850016601366,OUD_Effect_Male_vs_Female,FALSE,TRUE,TRUE,FALSE,TRUE,Up
WNT2B,0.7363620122959342,4.5608228699976054,0.00393810805177709,0.03757850016601366,OUD_Effect_Male_vs_Female,FALSE,TRUE,TRUE,FALSE,TRUE,Up
AC114401.1,3.0494669435813293,-2.353026766297445,0.00393817777055863,0.03757850016601366,OUD_Effect_Male_vs_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Up
ISG20,-0.9248294413791516,3.059704460410996,0.00393825197646712,0.03757850016601366,OUD_Effect_Male_vs_Female,FALSE,TRUE,TRUE,FALSE,TRUE,Down
RAB42,-2.4184667532739903,-1.9812099539283952,0.00394170404852249,0.03759746703279122,OUD_Effect_Male_vs_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
ZNF253,-0.5933147882262793,5.7338099016907496,0.00394310014491043,0.03759746703279122,OUD_Effect_Male_vs_Female,FALSE,TRUE,TRUE,FALSE,TRUE,Down
DMWD,-0.675367209156281,4.122042538406263,0.00394485653603067,0.03760057600405159,OUD_Effect_Male_vs_Female,FALSE,TRUE,TRUE,FALSE,TRUE,Down
AC008124.1,-0.5862065644438079,4.985975095471913,0.00394860878080517,0.0376226993946381,OUD_Effect_Male_vs_Female,FALSE,TRUE,TRUE,FALSE,TRUE,Down
AL050403.2,1.0419147270436413,2.2958770672542284,0.00395108846380505,0.03763268606395188,OUD_Effect_Male_vs_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Up
PNMA8A,1.1224633851730128,2.561502633989184,0.00395263309574286,0.03763376270224136,OUD_Effect_Male_vs_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Up
LINC02231,1.7763664399045511,0.5747144028827716,0.00395594318624979,0.03765164173791986,OUD_Effect_Male_vs_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Up
GRIK2,0.8513719188622402,6.974910325144086,0.00395885015658429,0.03766567242717621,OUD_Effect_Male_vs_Female,FALSE,TRUE,TRUE,FALSE,TRUE,Up
NPPC,1.50667523651959,0.4420072436892258,0.00396555347956488,0.03771579951910332,OUD_Effect_Male_vs_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Up
LINC00345,1.8061333571163305,-1.837764584551432,0.00396952552283116,0.03773992294545595,OUD_Effect_Male_vs_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Up
C20orf187,2.102109125901632,-1.6786105098418005,0.00397168888640412,0.03774683927902803,OUD_Effect_Male_vs_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Up
SPSB1,-0.8235404950899525,6.113168459557569,0.00397466795018664,0.0377615002076279,OUD_Effect_Male_vs_Female,FALSE,TRUE,TRUE,FALSE,TRUE,Down
LAX1,2.2576095306165342,-2.078710205189456,0.00397877936146041,0.03777568524303964,OUD_Effect_Male_vs_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Up
CRMP1,1.1704516975666808,3.4202533688123973,0.00397903501361749,0.03777568524303964,OUD_Effect_Male_vs_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Up
GIT1,-0.7150478520892823,5.139748904050326,0.00398521005071229,0.03782065047405227,OUD_Effect_Male_vs_Female,FALSE,TRUE,TRUE,FALSE,TRUE,Down
RNF182,1.2286962841219542,1.3327517722916231,0.0039880549524441,0.03783399082997132,OUD_Effect_Male_vs_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Up
AL590064.1,-1.0634694520290586,1.8286320087096148,0.00399978820442296,0.037917934481742147,OUD_Effect_Male_vs_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
RASSF8-AS1,0.5674819774027222,5.168096437578084,0.0040051370906777,0.0379549545204526,OUD_Effect_Male_vs_Female,FALSE,TRUE,TRUE,FALSE,TRUE,Up
AC107892.1,6.51375347503057,-2.563223766726513,0.0040086519297843,0.03797457366852966,OUD_Effect_Male_vs_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Up
AC013402.1,2.506875794994157,-2.1917396781055674,0.0040102208483249,0.03797575131871942,OUD_Effect_Male_vs_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Up
TLE1,1.0913040706683022,4.529764072532275,0.00402759630717228,0.03808769661615458,OUD_Effect_Male_vs_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Up
IL1RAP,-0.7581017345675372,5.49493984750693,0.00402783766710703,0.03808769661615458,OUD_Effect_Male_vs_Female,FALSE,TRUE,TRUE,FALSE,TRUE,Down
ADRB1,1.382442540773689,0.9574780439758972,0.00402996704396591,0.03809412932462276,OUD_Effect_Male_vs_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Up
AC097532.2,1.8779912039506308,0.3765798194115849,0.00403305202277119,0.03810958719432392,OUD_Effect_Male_vs_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Up
ZEB1,0.6243075577045756,7.077587101142506,0.00404089447194459,0.03816997264767496,OUD_Effect_Male_vs_Female,FALSE,TRUE,TRUE,FALSE,TRUE,Up
ARHGAP31-AS1,1.862446445273149,1.0188276410832546,0.00404440487539672,0.03818940925446449,OUD_Effect_Male_vs_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Up
RGS22,1.6344795157720942,2.7049510543066377,0.00404651910544263,0.03819565322939888,OUD_Effect_Male_vs_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Up
