"source","mean_activity","max_activity","n_analyses","mean_pvalue"
"ATF4",4.2489134001344,7.93402571158438,10,0.0108542359484405
"CEBPA",4.83208579153163,10.3294638933498,9,0.00659088533722822
"CEBPB",4.54635434920308,8.71295004104079,11,0.00662272134867472
"CTCF",4.41762888408751,7.67568556801523,5,0.00895598074746485
"E2F1",4.69348865570428,8.50783262156637,7,0.00458863001051262
"EGR1",4.88478586068777,9.71874945811897,7,0.0108835124054144
"ESR1",4.12891397774237,7.48804189871987,5,0.00610462973189763
"ETS1",5.41102009262567,12.5433352026222,10,0.00698246136451049
"FLI1",4.20427949386749,4.44116562179525,2,4.09194168807467e-05
"FOS",5.32943388821917,10.4970363365957,8,0.00409367810993882
"FOXA1",5.13611353401861,9.86882528820963,9,0.0101526165054238
"FOXP1",4.43856686098954,7.95040638490648,6,0.00847229804770234
"GATA2",5.49701061243478,9.14891904014417,7,0.0117979102269516
"HIF1A",5.36932949142553,9.96474522430519,13,0.00284791219449955
"JUN",4.45790552725646,6.97184551832326,7,0.00385214498200986
"MITF",5.36565555035745,9.37224413452664,5,0.00358418699782017
"NFKB1",5.64898912845827,9.28514900042965,8,0.00486081950806024
"NFKB2",4.19090207005101,7.41527159159851,8,0.00586538959501991
"RELA",6.10859680771688,9.66721352824773,7,0.000123998927642792
"RUNX1",5.32461544488485,8.70462589354236,5,0.00045640407538929
"RXRB",5.24840825961749,7.0384382813446,3,0.00204859369334813
"RXRG",4.86801244255219,8.09566139298793,6,0.00330738328218335
"SP1",5.17757857517177,7.04569762890785,6,1.08512738905354e-05
"SPI1",5.0354696446235,11.3851441455742,8,0.00322330759258349
"STAT1",6.59246615480284,14.102231220081,9,0.0035002902763251
"STAT3",6.29934527586082,10.813473130095,12,0.000128989890164753
"TAL1",5.30368569644958,9.21481832632837,6,0.00644594960077401
"TFAP2C",5.94782818086333,10.3932845752749,5,0.0019130237724387
"VDR",4.83184246367393,5.99686070213604,3,0.000394142432900068
"ZNF263",4.50173671559947,7.06337800357465,4,0.00342368000013011
