"gene","logFC","logCPM","F","PValue","FDR","significance","effect_size","regulation","cell_type","comparison","group1","group2","total_cells","group1_cells","group2_cells","genes_tested","analysis_date"
"Rpl13a",-0.0269435457506673,11.7151253814281,0.131069095628965,0.717471688598385,0.810159418704397,"Not Significant","Small","Not Significant","VSMC","With_vs_Naive","Withdrawal","Naive",510,241,269,236,2025-05-28
"Fosb",0.0431999561348428,11.3168166021172,0.12258239037406,0.726391985059937,0.816326230829262,"Not Significant","Small","Not Significant","VSMC","With_vs_Naive","Withdrawal","Naive",510,241,269,236,2025-05-28
"Rpl11",-0.0248707537684987,11.3445451682456,0.101372191355796,0.750315639805814,0.839215597128778,"Not Significant","Small","Not Significant","VSMC","With_vs_Naive","Withdrawal","Naive",510,241,269,236,2025-05-28
"Rps12",0.0207587785710207,11.9749277399533,0.0826788013028147,0.773812851437964,0.861414306317734,"Not Significant","Small","Not Significant","VSMC","With_vs_Naive","Withdrawal","Naive",510,241,269,236,2025-05-28
"Rps3",-0.0226222580567482,11.5792966615294,0.0798440418602331,0.777620150267024,0.861588523300552,"Not Significant","Small","Not Significant","VSMC","With_vs_Naive","Withdrawal","Naive",510,241,269,236,2025-05-28
"Rpl39",-0.0180537406022401,11.6574709917857,0.0572608126138987,0.810972236945904,0.894343214575856,"Not Significant","Small","Not Significant","VSMC","With_vs_Naive","Withdrawal","Naive",510,241,269,236,2025-05-28
"Lpp",0.0227624295930978,10.9474215805501,0.0511984111290547,0.82107891376995,0.894708706128308,"Not Significant","Small","Not Significant","VSMC","With_vs_Naive","Withdrawal","Naive",510,241,269,236,2025-05-28
"Rps4x",-0.0171028894584448,11.6905949805168,0.0508466253151881,0.821684256764229,0.894708706128308,"Not Significant","Small","Not Significant","VSMC","With_vs_Naive","Withdrawal","Naive",510,241,269,236,2025-05-28
"Rplp1",0.0152072388822804,12.3684434894526,0.0502724237676659,0.822677073007809,0.894708706128308,"Not Significant","Small","Not Significant","VSMC","With_vs_Naive","Withdrawal","Naive",510,241,269,236,2025-05-28
"Rpl14",0.0167485921103811,11.2746384969083,0.0468108070155174,0.828792635191044,0.897225054610488,"Not Significant","Small","Not Significant","VSMC","With_vs_Naive","Withdrawal","Naive",510,241,269,236,2025-05-28
"Ndufa4",-0.0181022759627087,11.005011406549,0.0414377342346928,0.838774132005077,0.90388445275433,"Not Significant","Small","Not Significant","VSMC","With_vs_Naive","Withdrawal","Naive",510,241,269,236,2025-05-28
"Eef1a1",0.0150593690726269,12.7663812808,0.0364132785556055,0.848738263336323,0.908610386989798,"Not Significant","Small","Not Significant","VSMC","With_vs_Naive","Withdrawal","Naive",510,241,269,236,2025-05-28
"Rpl13",-0.0131066402875148,12.3947791742535,0.0341271383657125,0.853507924519314,0.908610386989798,"Not Significant","Small","Not Significant","VSMC","With_vs_Naive","Withdrawal","Naive",510,241,269,236,2025-05-28
"Rpl10",-0.0156344694532676,11.530936599142,0.0310576408985754,0.860179757143115,0.908610386989798,"Not Significant","Small","Not Significant","VSMC","With_vs_Naive","Withdrawal","Naive",510,241,269,236,2025-05-28
"Rps15",-0.0129346063989355,11.5607647065553,0.0304629385820305,0.861511195277836,0.908610386989798,"Not Significant","Small","Not Significant","VSMC","With_vs_Naive","Withdrawal","Naive",510,241,269,236,2025-05-28
"Dbi",0.0213657529803692,11.2666899065588,0.0283680988343658,0.866311686256777,0.908610386989798,"Not Significant","Small","Not Significant","VSMC","With_vs_Naive","Withdrawal","Naive",510,241,269,236,2025-05-28
"Syne2",0.017485467635497,10.9500040676025,0.0276249415562286,0.868057575153747,0.908610386989798,"Not Significant","Small","Not Significant","VSMC","With_vs_Naive","Withdrawal","Naive",510,241,269,236,2025-05-28
"Rpl27",0.0121186514318363,11.3940878685811,0.0267645471059045,0.870109946863112,0.908610386989798,"Not Significant","Small","Not Significant","VSMC","With_vs_Naive","Withdrawal","Naive",510,241,269,236,2025-05-28
"Rpl18a",-0.0108604017208527,11.5042280444226,0.0198877993260603,0.887904946882886,0.923108226715247,"Not Significant","Small","Not Significant","VSMC","With_vs_Naive","Withdrawal","Naive",510,241,269,236,2025-05-28
"Pde3a",-0.014451854554222,11.1785544918317,0.0182321488946071,0.892642652686161,0.923963447517254,"Not Significant","Small","Not Significant","VSMC","With_vs_Naive","Withdrawal","Naive",510,241,269,236,2025-05-28
"Rpl3",0.00762257080449985,11.3552279389151,0.010114230732453,0.919930547210852,0.948050694942188,"Not Significant","Small","Not Significant","VSMC","With_vs_Naive","Withdrawal","Naive",510,241,269,236,2025-05-28
"Tns1",0.00580705437248839,11.0666874863687,0.00445459610604532,0.946811880768862,0.96940943511064,"Not Significant","Small","Not Significant","VSMC","With_vs_Naive","Withdrawal","Naive",510,241,269,236,2025-05-28
"Rpl12",0.00494038644657089,11.2909047955269,0.00411588158928408,0.948871099621007,0.96940943511064,"Not Significant","Small","Not Significant","VSMC","With_vs_Naive","Withdrawal","Naive",510,241,269,236,2025-05-28
"Rpl34",-0.00307705039570274,11.6687940059526,0.00154904752600065,0.96861996208342,0.982946549875016,"Not Significant","Small","Not Significant","VSMC","With_vs_Naive","Withdrawal","Naive",510,241,269,236,2025-05-28
"Sept7",-0.00321472793252388,11.0094547186392,0.00137342265415843,0.970451466613893,0.982946549875016,"Not Significant","Small","Not Significant","VSMC","With_vs_Naive","Withdrawal","Naive",510,241,269,236,2025-05-28
"Rpl6",0.00229534828551134,11.4765842428374,0.000936803449831537,0.975594386679418,0.98393280024078,"Not Significant","Small","Not Significant","VSMC","With_vs_Naive","Withdrawal","Naive",510,241,269,236,2025-05-28
"Rps9",-0.00147877447182068,11.6233170198413,0.000353072756942283,0.985015580658668,0.986124326949308,"Not Significant","Small","Not Significant","VSMC","With_vs_Naive","Withdrawal","Naive",510,241,269,236,2025-05-28
"Morf4l1",-0.00185825202509615,11.2106249329315,0.000302750723643969,0.986124326949308,0.986124326949308,"Not Significant","Small","Not Significant","VSMC","With_vs_Naive","Withdrawal","Naive",510,241,269,236,2025-05-28
