"gene","logFC","logCPM","F","PValue","FDR","significance","effect_size","regulation","cell_type","comparison","group1","group2","total_cells","group1_cells","group2_cells","genes_tested","analysis_date"
"mt-Nd1",0.397836829973669,14.022992762532,65.3692938288777,1.20572291176747e-15,9.88692787649325e-14,"Highly Significant","Small","Upregulated","PC","With_vs_Naive","Withdrawal","Naive",1591,661,930,82,2025-05-28
"Hsp90ab1",-0.304257023232575,13.123414911342,30.4480393607992,3.98775163965854e-08,1.63497817226e-06,"Highly Significant","Small","Downregulated","PC","With_vs_Naive","Withdrawal","Naive",1591,661,930,82,2025-05-28
"Gm42418",-0.258432730120568,16.6403501199975,29.5645444112935,6.23717724679126e-08,1.70482844745628e-06,"Highly Significant","Small","Downregulated","PC","With_vs_Naive","Withdrawal","Naive",1591,661,930,82,2025-05-28
"mt-Nd4",0.249125074278799,14.6474504982418,27.7160776041269,1.59338687997456e-07,3.26644310394784e-06,"Highly Significant","Small","Upregulated","PC","With_vs_Naive","Withdrawal","Naive",1591,661,930,82,2025-05-28
"mt-Co1",0.243535574224621,15.2625777567812,24.6839707467059,7.47058313871266e-07,1.22517563474888e-05,"Highly Significant","Small","Upregulated","PC","With_vs_Naive","Withdrawal","Naive",1591,661,930,82,2025-05-28
"Higd1b",-0.39395270549978,12.4884019364576,20.3944479209493,6.76362568596642e-06,9.24362177082078e-05,"Highly Significant","Small","Downregulated","PC","With_vs_Naive","Withdrawal","Naive",1591,661,930,82,2025-05-28
"mt-Co3",0.200886308999689,15.9075748385226,19.5982733815814,1.01959567168037e-05,0.000119438350111129,"Highly Significant","Small","Upregulated","PC","With_vs_Naive","Withdrawal","Naive",1591,661,930,82,2025-05-28
"mt-Nd2",0.200091371726635,14.5772273424391,16.5564703114948,4.95008428756098e-05,0.000507383639475,"Highly Significant","Small","Upregulated","PC","With_vs_Naive","Withdrawal","Naive",1591,661,930,82,2025-05-28
"AY036118",-0.171873743703038,13.9447627825682,15.3085739802361,9.50886275307928e-05,0.00078560062418951,"Highly Significant","Small","Downregulated","PC","With_vs_Naive","Withdrawal","Naive",1591,661,930,82,2025-05-28
"mt-Nd5",0.23022662339243,12.7341536830813,15.2942617698127,9.58049541694525e-05,0.00078560062418951,"Highly Significant","Small","Upregulated","PC","With_vs_Naive","Withdrawal","Naive",1591,661,930,82,2025-05-28
"mt-Co2",0.16355997308711,15.4346047926882,13.7856770057296,0.000211848929629469,0.00157923747541968,"Highly Significant","Small","Upregulated","PC","With_vs_Naive","Withdrawal","Naive",1591,661,930,82,2025-05-28
"Igfbp7",-0.303592907044316,12.8397230151262,13.2193531157243,0.000285874931392135,0.00195347869784625,"Highly Significant","Small","Downregulated","PC","With_vs_Naive","Withdrawal","Naive",1591,661,930,82,2025-05-28
"mt-Cytb",0.172793216754836,15.273055921686,12.311505687081,0.000462511700307446,0.00291738149424697,"Highly Significant","Small","Upregulated","PC","With_vs_Naive","Withdrawal","Naive",1591,661,930,82,2025-05-28
"Sept7",-0.211910970054351,12.6094333815274,11.4494344290888,0.000732256792059465,0.00388862467093747,"Highly Significant","Small","Downregulated","PC","With_vs_Naive","Withdrawal","Naive",1591,661,930,82,2025-05-28
"Hspa8",-0.194391550096574,12.7202838047389,11.3689323336583,0.000764449875355866,0.00388862467093747,"Highly Significant","Small","Downregulated","PC","With_vs_Naive","Withdrawal","Naive",1591,661,930,82,2025-05-28
