"gene","logFC","logCPM","F","PValue","FDR","significance","effect_size","regulation","cell_type","comparison","group1","group2","total_cells","group1_cells","group2_cells","genes_tested","analysis_date"
"Mt3",-0.435435687608688,13.4078413890946,638.811763752018,7.65153251061001e-136,2.00470151777982e-133,"Highly Significant","Small","Downregulated","ASC","With_vs_Dep","Withdrawal","Dependent",8249,3546,4703,262,2025-05-28
"Acsl3",0.379007615637232,11.8313388856984,435.564725572654,2.56114619646928e-94,3.35510151737475e-92,"Highly Significant","Small","Upregulated","ASC","With_vs_Dep","Withdrawal","Dependent",8249,3546,4703,262,2025-05-28
"Mt1",-0.380972800485274,13.9192108016441,424.643344905481,4.79818839982215e-92,4.19041786917801e-90,"Highly Significant","Small","Downregulated","ASC","With_vs_Dep","Withdrawal","Dependent",8249,3546,4703,262,2025-05-28
"Atp5k",-0.445813618698291,10.6394131098105,412.971654208984,1.22146836392981e-89,8.00061778374025e-88,"Highly Significant","Small","Downregulated","ASC","With_vs_Dep","Withdrawal","Dependent",8249,3546,4703,262,2025-05-28
"Syne1",0.499410175907712,10.7114832356938,392.157217867599,2.56963630392039e-85,1.34648942325428e-83,"Highly Significant","Small","Upregulated","ASC","With_vs_Dep","Withdrawal","Dependent",8249,3546,4703,262,2025-05-28
"mt-Nd4l",-0.346899661574308,11.6189201367552,374.553193602127,1.17959530973732e-81,5.15089951918628e-80,"Highly Significant","Small","Downregulated","ASC","With_vs_Dep","Withdrawal","Dependent",8249,3546,4703,262,2025-05-28
"Rps29",-0.404168010452233,11.7997880919839,339.9324420192,2.01037435683964e-74,7.5245440213141e-73,"Highly Significant","Small","Downregulated","ASC","With_vs_Dep","Withdrawal","Dependent",8249,3546,4703,262,2025-05-28
"Atp5md",-0.407256039591545,10.5768151373782,315.003813525031,3.33465054177616e-69,1.09209805243169e-67,"Highly Significant","Small","Downregulated","ASC","With_vs_Dep","Withdrawal","Dependent",8249,3546,4703,262,2025-05-28
"Rps27",-0.397475970355795,10.9533399353037,283.2609297119,1.57880195776742e-62,4.59606792150071e-61,"Highly Significant","Small","Downregulated","ASC","With_vs_Dep","Withdrawal","Dependent",8249,3546,4703,262,2025-05-28
"Uqcr11",-0.345529716582302,10.8002845495372,282.302064461902,2.51414895365866e-62,6.58707025858568e-61,"Highly Significant","Small","Downregulated","ASC","With_vs_Dep","Withdrawal","Dependent",8249,3546,4703,262,2025-05-28
"Atp5j2",-0.356977235068166,10.6611674553304,277.039436399312,3.23473584182318e-61,7.70455264143339e-60,"Highly Significant","Small","Downregulated","ASC","With_vs_Dep","Withdrawal","Dependent",8249,3546,4703,262,2025-05-28
"Cox7c",-0.309539417969866,11.2742201087796,270.516688666066,7.69111698077727e-60,1.6792272074697e-58,"Highly Significant","Small","Downregulated","ASC","With_vs_Dep","Withdrawal","Dependent",8249,3546,4703,262,2025-05-28
"Srrm2",0.333223812540557,10.7936572051232,262.793547590187,3.28780789369041e-58,6.62619744728375e-57,"Highly Significant","Small","Upregulated","ASC","With_vs_Dep","Withdrawal","Dependent",8249,3546,4703,262,2025-05-28
"Rpl38",-0.341075548446175,11.0281528337347,250.117707429085,1.57500731129429e-55,2.94751368256503e-54,"Highly Significant","Small","Downregulated","ASC","With_vs_Dep","Withdrawal","Dependent",8249,3546,4703,262,2025-05-28
"mt-Nd1",0.198055503897488,13.2263433790986,242.449354211485,6.6219056862384e-54,1.15662619319631e-52,"Highly Significant","Small","Upregulated","ASC","With_vs_Dep","Withdrawal","Dependent",8249,3546,4703,262,2025-05-28
"Macf1",0.31951113777606,11.6455762590908,241.182140964423,1.22978701734844e-53,2.01377624090806e-52,"Highly Significant","Small","Upregulated","ASC","With_vs_Dep","Withdrawal","Dependent",8249,3546,4703,262,2025-05-28
"Cox6c",-0.291494732473584,11.3956880418968,234.865042654648,2.68241979824302e-52,4.13408227729218e-51,"Highly Significant","Small","Downregulated","ASC","With_vs_Dep","Withdrawal","Dependent",8249,3546,4703,262,2025-05-28
"Atp5e",-0.318294689777195,10.845091130693,227.721302525577,8.79413576628538e-51,1.28003531709265e-49,"Highly Significant","Small","Downregulated","ASC","With_vs_Dep","Withdrawal","Dependent",8249,3546,4703,262,2025-05-28
"Mt2",-0.320511257404276,11.6449981305571,222.188238821248,1.31731595089596e-49,1.81650936386706e-48,"Highly Significant","Small","Downregulated","ASC","With_vs_Dep","Withdrawal","Dependent",8249,3546,4703,262,2025-05-28
"Cox8a",-0.274673664181885,11.7981903237313,213.818866199976,7.908127043297e-48,1.03596464267191e-46,"Highly Significant","Small","Downregulated","ASC","With_vs_Dep","Withdrawal","Dependent",8249,3546,4703,262,2025-05-28
