"gene","logFC","logCPM","F","PValue","FDR","significance","effect_size","regulation","cell_type","comparison","group1","group2","total_cells","group1_cells","group2_cells","genes_tested","analysis_date"
"Hsp90ab1",-0.371353298657289,12.1793631958753,24.6291166499037,9.31545712901537e-07,0.000164787744665089,"Highly Significant","Small","Downregulated","VSMC","Dep_vs_Naive","Dependent","Naive",520,251,269,240,2025-05-28
"Hsp90aa1",-0.402018924035902,11.6310787473674,23.5414826780441,1.59976698086136e-06,0.000164787744665089,"Highly Significant","Small","Downregulated","VSMC","Dep_vs_Naive","Dependent","Naive",520,251,269,240,2025-05-28
"Hspa8",-0.360546401769536,12.1837187349307,23.0343995968764,2.05984680831361e-06,0.000164787744665089,"Highly Significant","Small","Downregulated","VSMC","Dep_vs_Naive","Dependent","Naive",520,251,269,240,2025-05-28
"Hspb1",-0.474995464137763,11.9805070030353,20.3899415421447,7.78365192028069e-06,0.000467019115216841,"Highly Significant","Small","Downregulated","VSMC","Dep_vs_Naive","Dependent","Naive",520,251,269,240,2025-05-28
"H3f3b",-0.333183764093182,12.0020813299703,16.0887431836971,6.89161934462239e-05,0.00330797728541875,"Highly Significant","Small","Downregulated","VSMC","Dep_vs_Naive","Dependent","Naive",520,251,269,240,2025-05-28
"Nudt4",-0.336838347023222,11.2411237925689,14.0001423166742,0.000202261573958961,0.00809046295835844,"Highly Significant","Small","Downregulated","VSMC","Dep_vs_Naive","Dependent","Naive",520,251,269,240,2025-05-28
"Dst",-0.385296474480698,11.1106174900578,13.3252328400556,0.000287178860819903,0.0094306938988958,"Highly Significant","Small","Downregulated","VSMC","Dep_vs_Naive","Dependent","Naive",520,251,269,240,2025-05-28
"Pcp4l1",-0.325762942993599,11.6103425821637,13.1515775589109,0.000314356463296527,0.0094306938988958,"Highly Significant","Small","Downregulated","VSMC","Dep_vs_Naive","Dependent","Naive",520,251,269,240,2025-05-28
"Gm42418",-0.267790830220778,14.9239402473801,12.0953677351909,0.000546006666577662,0.0145601777754043,"Significant","Small","Downregulated","VSMC","Dep_vs_Naive","Dependent","Naive",520,251,269,240,2025-05-28
"Map3k20",-0.311996846995857,11.2424662722812,10.8144557335701,0.00107233895264239,0.0257361348634174,"Significant","Small","Downregulated","VSMC","Dep_vs_Naive","Dependent","Naive",520,251,269,240,2025-05-28
"Sparcl1",-0.320131405362248,13.4398539032783,10.6205089672047,0.00118840503175289,0.0259288370564266,"Significant","Small","Downregulated","VSMC","Dep_vs_Naive","Dependent","Naive",520,251,269,240,2025-05-28
"Chchd2",-0.224333052415851,11.7576298290157,9.87536690530309,0.0017664880485194,0.035329760970388,"Significant","Small","Downregulated","VSMC","Dep_vs_Naive","Dependent","Naive",520,251,269,240,2025-05-28
"Calm1",-0.228552482090711,12.156497505139,9.52724188697957,0.00212776179770157,0.0392817562652598,"Significant","Small","Downregulated","VSMC","Dep_vs_Naive","Dependent","Naive",520,251,269,240,2025-05-28
"Ftl1",0.329990351193326,11.408960148732,9.18372656381875,0.00255996011119976,0.0427772875723196,"Significant","Small","Upregulated","VSMC","Dep_vs_Naive","Dependent","Naive",520,251,269,240,2025-05-28
"AY036118",-0.233876910961701,12.4257206026729,9.01577899573592,0.0027998596940104,0.0427772875723196,"Significant","Small","Downregulated","VSMC","Dep_vs_Naive","Dependent","Naive",520,251,269,240,2025-05-28
"Crim1",-0.28436770697532,11.5010540453673,8.98080982192237,0.00285304786576956,0.0427772875723196,"Significant","Small","Downregulated","VSMC","Dep_vs_Naive","Dependent","Naive",520,251,269,240,2025-05-28
"Sparc",-0.307726227901297,11.2227647025752,8.8690398182116,0.00303005786970597,0.0427772875723196,"Significant","Small","Downregulated","VSMC","Dep_vs_Naive","Dependent","Naive",520,251,269,240,2025-05-28
"Rps29",0.215044131368328,12.612274646769,8.35534197237094,0.00399944038447777,0.0533258717930369,"Not Significant","Small","Not Significant","VSMC","Dep_vs_Naive","Dependent","Naive",520,251,269,240,2025-05-28
"Utrn",-0.289325448692912,11.2384418297269,7.87141542424528,0.00520238870999095,0.0657143837051488,"Not Significant","Small","Not Significant","VSMC","Dep_vs_Naive","Dependent","Naive",520,251,269,240,2025-05-28
"mt-Co2",-0.181591455361527,14.9408732692797,7.55363213821093,0.00618821200497829,0.0729170327114136,"Not Significant","Small","Not Significant","VSMC","Dep_vs_Naive","Dependent","Naive",520,251,269,240,2025-05-28
"Mfge8",-0.238890856652633,11.850586097077,7.42986567994936,0.00662216813657164,0.0729170327114136,"Not Significant","Small","Not Significant","VSMC","Dep_vs_Naive","Dependent","Naive",520,251,269,240,2025-05-28
"Cpe",-0.310393977578793,11.4745247417991,7.40412570995467,0.00672104662643171,0.0729170327114136,"Not Significant","Small","Not Significant","VSMC","Dep_vs_Naive","Dependent","Naive",520,251,269,240,2025-05-28
"H3f3a",-0.212845044438411,11.5504065717893,7.21766332207251,0.00744015495778145,0.0729170327114136,"Not Significant","Small","Not Significant","VSMC","Dep_vs_Naive","Dependent","Naive",520,251,269,240,2025-05-28
"Tpm1",-0.25329837510851,13.0722684877267,7.20216712727457,0.00750380504166903,0.0729170327114136,"Not Significant","Small","Not Significant","VSMC","Dep_vs_Naive","Dependent","Naive",520,251,269,240,2025-05-28
"mt-Atp6",-0.185258561453519,15.5592748459928,7.18007270200703,0.00759552424077225,0.0729170327114136,"Not Significant","Small","Not Significant","VSMC","Dep_vs_Naive","Dependent","Naive",520,251,269,240,2025-05-28
"mt-Co1",-0.182990794112122,14.7712546027663,6.94131471172907,0.00866323655578531,0.0799683374380182,"Not Significant","Small","Not Significant","VSMC","Dep_vs_Naive","Dependent","Naive",520,251,269,240,2025-05-28
"Apoe",-0.476802097436594,12.3895571640727,6.58602988974862,0.010557733449038,0.0938465195470046,"Not Significant","Small","Not Significant","VSMC","Dep_vs_Naive","Dependent","Naive",520,251,269,240,2025-05-28
"Actg1",-0.212698093902448,11.4645538143201,6.5116244858424,0.0109900444136734,0.0942003806886292,"Not Significant","Small","Not Significant","VSMC","Dep_vs_Naive","Dependent","Naive",520,251,269,240,2025-05-28
