"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Method"
"FAM163A",3.30981706178479,1.24974348917341,13.2582901643593,2.96505495424822e-11,7.57541890260878e-07,14.3004821419792,"Paired_Limma"
"RXFP2",4.71220771915374,0.375889677770794,12.5239151991946,8.10942811734215e-11,1.03593889484987e-06,11.9302660518489,"Paired_Limma"
"MIR924HG",1.20856014027906,2.25939386657425,9.27947677732035,1.28922877109927e-08,0.000109795019576051,9.9222803038945,"Paired_Limma"
"SEMA5B",-0.666158376811673,4.16132242239634,-8.7096584932372,3.54769219766998e-08,0.000193266140562482,9.04924151055399,"Paired_Limma"
"HTR2A",-1.73022864550274,1.91425591744893,-8.5781279717608,4.50757486771206e-08,0.000193266140562482,8.58761608707642,"Paired_Limma"
"FER1L6-AS2",-1.43513451484828,3.30108899665764,-8.53467898882703,4.88099300083684e-08,0.000193266140562482,8.71564528994199,"Paired_Limma"
"EPHA4",-0.861802755465821,6.06613369904012,-8.49035295990978,5.2951700024947e-08,0.000193266140562482,8.64400790882939,"Paired_Limma"
"NR2F2-AS1",-1.90042317147093,3.42802938740177,-8.21583857528825,8.81870846007584e-08,0.000241696990936084,8.14432314469114,"Paired_Limma"
"LINC01967",1.26779761781781,1.36979534195267,8.21449998335263,8.84088328051316e-08,0.000241696990936084,7.9975031120287,"Paired_Limma"
"AC015631.1",-2.03005745483265,3.88311366485021,-8.17846214639487,9.46013507127808e-08,0.000241696990936084,8.0914665586834,"Paired_Limma"
"AC012409.2",-1.49958218414142,2.04467244633026,-8.0773109242719,1.1450350109522e-07,0.000265949995407435,7.77956679938326,"Paired_Limma"
"SLC26A3",0.950169036849036,3.57340512729304,8.001684077013,1.32190230481705e-07,0.00028144401654809,7.76738236407222,"Paired_Limma"
"ADAM12",-0.715880461723827,7.19011755337731,-7.86864652961599,1.70504178890864e-07,0.000335093174344822,7.47970470685987,"Paired_Limma"
"EPHA5",-0.863694998272499,5.16984672133063,-7.66976014638533,2.50550200803651e-07,0.000457236220023749,7.11569611426575,"Paired_Limma"
