Pathway,Overlap_Count,Pathway_Size,Query_Size,P_Value,Odds_Ratio,Fold_Enrichment,Overlap_Genes
stress_response,3,21,596,0.023487977406493107,5.447310017301385,4.793863854266538,FKBP5;FOS;JUN
synaptic_plasticity,3,28,596,0.04968441549272805,3.9211554627104284,3.595397890699904,JUNB;FOS;JUN
