TF,Activity_Score,Up_Targets,Down_Targets,Total_Targets,Up_Pvalue,Down_Pvalue,P_value,Significant,Up_FDR,Down_FDR,FDR
SIX5,0,0,0,25,1,1,1,FALSE,1,1,1
SMAD1,0,0,0,17,1,1,1,FALSE,1,1,1
SMAD3,0,0,0,33,1,1,1,FALSE,1,1,1
SMAD4,0,0,0,27,1,1,1,FALSE,1,1,1
SMAD5,0,0,0,11,1,1,1,FALSE,1,1,1
SNAPC4,0,0,0,30,1,1,1,FALSE,1,1,1
SOX10,0,0,0,16,1,1,1,FALSE,1,1,1
SOX11,0,0,0,29,1,1,1,FALSE,1,1,1
SOX13,0,0,0,42,1,1,1,FALSE,1,1,1
SOX2,0,0,0,10,1,1,1,FALSE,1,1,1
SOX6,0,0,0,32,1,1,1,FALSE,1,1,1
SOX9,0,0,0,13,1,1,1,FALSE,1,1,1
SP2,0,0,0,22,1,1,1,FALSE,1,1,1
SP3,0,0,0,77,1,1,1,FALSE,1,1,1
SP4,0,0,0,60,1,1,1,FALSE,1,1,1
SPI1,0,0,0,102,1,1,1,FALSE,1,1,1
SPIB,0,0,0,61,1,1,1,FALSE,1,1,1
SREBF1,0,0,0,23,1,1,1,FALSE,1,1,1
SREBF2,0,0,0,16,1,1,1,FALSE,1,1,1
SRF,0,0,0,10,1,1,1,FALSE,1,1,1
STAT2,0,0,0,39,1,1,1,FALSE,1,1,1
STAT3,0,0,0,6,1,1,1,FALSE,1,1,1
STAT4,0,0,0,10,1,1,1,FALSE,1,1,1
STAT5A,0,0,0,21,1,1,1,FALSE,1,1,1
STAT5B,0,0,0,16,1,1,1,FALSE,1,1,1
STAT6,0,0,0,10,1,1,1,FALSE,1,1,1
TAL1,0,0,0,18,1,1,1,FALSE,1,1,1
TBX21,0,0,0,77,1,1,1,FALSE,1,1,1
TCF12,0,0,0,77,1,1,1,FALSE,1,1,1
TCF3,0,0,0,15,1,1,1,FALSE,1,1,1
TCF4,0,0,0,62,1,1,1,FALSE,1,1,1
TCF7,0,0,0,61,1,1,1,FALSE,1,1,1
TCF7L2,0,0,0,20,1,1,1,FALSE,1,1,1
TEAD1,0,0,0,128,1,1,1,FALSE,1,1,1
TEAD2,0,0,0,30,1,1,1,FALSE,1,1,1
TEAD4,0,0,0,73,1,1,1,FALSE,1,1,1
TFAP2A,0,0,0,62,1,1,1,FALSE,1,1,1
TFAP2C,0,0,0,15,1,1,1,FALSE,1,1,1
TFAP4,0,0,0,40,1,1,1,FALSE,1,1,1
TFDP1,0,0,0,12,1,1,1,FALSE,1,1,1
TGIF2,0,0,0,19,1,1,1,FALSE,1,1,1
THAP1,0,0,0,55,1,1,1,FALSE,1,1,1
THAP11,0,0,0,116,1,1,1,FALSE,1,1,1
TP53,0,0,0,6,1,1,1,FALSE,1,1,1
TP63,0,0,0,19,1,1,1,FALSE,1,1,1
TP73,0,0,0,42,1,1,1,FALSE,1,1,1
TWIST1,0,0,0,15,1,1,1,FALSE,1,1,1
USF1,0,0,0,59,1,1,1,FALSE,1,1,1
USF2,0,0,0,38,1,1,1,FALSE,1,1,1
VDR,0,0,0,24,1,1,1,FALSE,1,1,1
WT1,0,0,0,31,1,1,1,FALSE,1,1,1
XBP1,0,0,0,16,1,1,1,FALSE,1,1,1
YY1,0,0,0,73,1,1,1,FALSE,1,1,1
ZBED1,0,0,0,22,1,1,1,FALSE,1,1,1
