"","Control_DLPFC_vs_NAC_full","Control_Male_vs_Female_full","DLPFC_OUD_vs_Control_full","Female_OUD_vs_Control_full","Male_OUD_vs_Control_full","NAC_OUD_vs_Control_full","OUD_DLPFC_vs_NAC_full","OUD_Male_vs_Female_full","Pooled_OUD_vs_Control_full"
"AHR",1.22271489825726,0,1.12642648244615,0.720748376622522,0.483708445149386,0.697372627101036,0.666836975547405,0,1.487713720478
"AR",0.31712526091165,0,2.41082388589359,2.71806189166598,0.452321166410094,0.689060752610398,0.170696474937326,-0.731489544401208,2.7059742398274
"ARID2",0.73844184349434,0,0.84198494119845,0.988355700683803,0.624185471047425,1.69677988559467,0.166132107386681,0,0.914614669115539
"ARID3A",-0.32679111207004,0,0,0,0,0.054505863215595,0.129355551643848,0,0
"ARNT",3.20809515112902,0,-0.0563941598594175,-0.101936287954998,0,0.71625981402806,2.45807375799392,-1.04897060532395,0.876057906103838
"ARNTL",0.496825860835338,0,0.694512845121949,0.775901804783597,0,0.521634538548215,0.0829911423716438,0,0.467980291159258
"ASCL1",1.34483619043481,0,-1.02519020917891,-0.644091152751556,0,-1.46996389934033,2.17691348592003,0,-0.607383287324227
"ATF1",-0.671911780546887,0,-0.0916057383978992,0.512799766441872,1.86147369028356,0.291349717728844,-0.698046549185645,0,0.709632743358928
"ATF2",-0.131695095950707,-1.25367108530116,1.00248637408327,0.4484544225353,1.70952436604765,0.23920169850483,0.0207389331078859,0,1.14054552374281
"ATF3",-0.222919913580877,0,0.277282812472064,0.637896318533828,0.439099529251273,1.51495452419215,0.0593522397221535,0.994074757399042,0.836122635700288
"ATF4",-0.019977185199317,0,1.31405818917306,0.594682473593853,0,-0.293682670273886,0.489979597243975,0,0.864128546511228
"ATF6",-0.596671945868482,0,0,0,0,0,-0.614807602461433,0,0
"ATF7",-0.186323985377361,0,0,0.396152616817626,0,-0.263946982819981,-0.467950065497793,0,0.162239045606613
"BACH1",-0.737198382621407,0,-0.390216359018822,0,0,-0.854831329938934,-0.325821433094734,0,-0.0751840260175471
"BACH2",2.0101875822507,0,-0.0649465909181814,0.216279331347509,1.11300704748062,-0.149480155929536,1.83997627637923,0,-0.242415669420691
"BATF",-0.947942044160418,0,1.01763941109703,3.5993177229215,1.14311550086738,2.09276833723967,-1.95498732878487,-1.15376812408413,0.859039963023239
"BCL11A",0.00236838223836494,0,0,0.857622194044896,0,0.440538117520158,0.142937424054693,0,0.362002012009467
"BCL6",1.50381257260007,0,-0.0687924370011574,0.329466187255888,0.468050882870917,2.4877620384222,1.65068040859865,0,0.417286484197515
"BHLHE22",0.0804310936078911,0,-0.513636960709226,-0.640153078525061,0,-0.217237897714122,0.00515330606204922,0,-0.324931882449508
"BHLHE40",0.0233055607363643,0,0.816203704568296,1.38527990667063,1.01766244844256,0.799724334431677,0.635980711154415,-1.08333222385516,1.76429577400795
"CDX2",-0.504109827959452,0,0.496584667301838,0.5721283281594,0,0.065361603242328,-0.156883618765097,0,0.821107389141893
"CEBPA",-0.848602464314367,-0.52743536505912,6.69591853146795,7.91441332729243,3.42025528868926,2.67615912827543,-0.131866082848247,0,4.46935343819872
"CEBPB",-0.105295282593449,0,3.49671011721599,3.9785694276162,3.26337826092557,1.81246677282865,0.0304705724927753,0,2.17001701458426
"CEBPD",-0.744657923807514,0,1.42153265326747,2.72852552551121,0.924941298941873,1.0707668160439,-0.27184026031677,0,0.961461767075016
"CEBPG",1.63482982095356,0,-0.0695820151989127,0.25022486661782,0,1.1384665620257,0.864926301408042,0,0.556788052901073
"CLOCK",0.328179271096057,0,-0.645176597592404,-1.37077890861669,0,-0.144610901345626,0.966229603184975,0,-0.634976430518247
"CREB1",0.484268123037223,0,-4.00710086036914,0,0,-0.631125222155063,0.235202249124616,0,-1.90363705396449
"CREB3",-0.211047223048102,0,1.75322637956407,1.9920927540016,0.693996593546456,0.722918451787351,0.392284820645932,0,0.334309487292132
"CREB3L1",-1.15321495915011,0,1.44895281910831,2.20670367328808,0,1.4445645611115,-0.122548527933594,0,2.02549186327997
"CREM",0.540852606536437,0,0.265177225549092,1.164049500713,-0.885125558468002,0.55605878732441,0.411525521572046,0,0.34901468465441
"CTCF",-0.711620598909875,0,0.252699411114514,0.200591907089118,0,-0.0873238473132007,-0.95758480222809,0,0.00492665884983175
"CTCFL",-0.159852714514576,0,-0.469378064033001,0.201505392107337,0,-3.24647627532785,0.93540053261723,0,-0.265286792626101
"CUX1",1.22904801065386,0,0.907976614991097,1.01838952491859,0.508884380101488,-0.624134284023152,2.85890966756465,0,-0.271581378812838
"DUX4",-0.168268172066718,-1.07224937137777,0.699665324909565,0.307365289863577,0.546102514520204,0.425561647966165,-0.244235504854291,0,0.104722783511295
"E2F1",-0.690179306316137,0,2.9181437295913,2.90556615687452,4.15979280756375,2.55611009475571,-0.190579740276748,0,3.00179931721164
"E2F2",-1.24030665713667,0,0.756893412789111,0.645088867397376,2.16581966576488,0.0698210230574857,-0.297269675150535,0,0.502679605233599
"E2F3",-1.36218011864995,0,0.788931418276942,0.673462781308206,2.23019879896511,0.429392579054255,-0.905565471792268,0,0.532138810844398
"E2F4",0.359199745288213,-0.36272450824967,1.27987250608857,1.5233329635339,0.870915111713084,0.107224590074053,0.787764442022671,-0.526460102965234,0.621526152510474
"E2F5",-0.0706491838065424,0,1.4821279802197,1.64777484256496,0,1.12778319319745,-0.333521149586638,0,0.532138810844398
"E2F6",0.172681548151687,0,-0.052464694705288,0.206225598026449,0.333085179655485,-1.96698262760249,2.3138195586443,0,-0.544469384449695
"E2F7",-0.693295558663671,0,0.84198494119845,0.373440470355302,0,0.181509156006345,-0.63457311496471,0,0.146794992748107
"EBF1",-1.13035081940781,0,-0.0487573587102474,-0.217994226324043,0,-0.402463582640976,-0.23884824559836,0,-0.0462958142775528
"EGR1",-0.43881906706825,0,-1.00329413311361,0,0,-1.59964912590235,0.0793264885014354,0,-1.90363705396449
"EHF",0.498268211737502,0,-0.531274506146816,0,0,-1.27050839569271,1.10824467224022,0,-0.340185729145141
"ELF1",1.66401343616969,-0.939919291281685,0,1.18420743556326,0,1.31543693468309,1.51337272847343,-2.58309020038999,1.14947917888257
"ELF3",-1.36676482292222,0,0.7212283661079,0.206284938818667,0,0.208217204906706,-0.786196800653321,0,0.33889137977308
"ELF5",-0.415492473796651,0,-0.531274506146816,0.512799766441872,0,0.291349717728844,-0.344482817369739,0,0.247931640184236
"ELK1",0.0877428217888433,0,-2.37041353658841,0,0,-0.631125222155063,0.235202249124616,0,-1.90363705396449
"ELK4",0.185111657190522,0,-0.664639240478361,0.645088867397376,0,0.404350364925051,0.100919524022189,0,-0.103802358883875
"EOMES",-0.910569244676225,0,0,0,0,0,-0.559365076195163,-1.49312015757188,0
"EPAS1",-0.170155620730686,0,0.594616033744598,-0.154264799165845,0.955211703902521,-0.358036955617058,-0.0654289954480939,0,0.532138810844398
"ERG",-0.772109764860963,0,5.42234012913165,2.93546100621831,2.30017992567793,1.19037120631173,-0.461978495214779,0,4.15834234380075
"ESR1",-1.04324223471986,-0.505969369185437,2.23179226283926,0.285468498966698,0.813180749318952,-0.245271690726798,-0.419343187394225,0,1.09761988933057
"ESR2",-0.281144180134307,0,-0.591135574894349,0,0,0.065361603242328,-0.0273288030580945,0,-0.392762809257734
"ESRRA",-1.68050400960747,0,-1.50201339150394,0,0,-0.0547556835239189,-0.487482366956216,-1.01132092133923,0.213226714492581
"ETS1",-0.00877394757775241,0,2.75554447157625,2.58918108606832,4.28224108294304,1.46895399515372,0.0324051838513305,-0.712132845427338,3.18105193756444
"ETS2",0.0356772398641237,0,2.92127571309386,2.69300983831115,1.52719603131458,1.05962297706095,-0.0901670223168914,0,3.56396859460286
"ETV1",-0.0706287752230779,0,-1.05058869618416,0.384544131769442,0,0.0496245075799066,-0.556472585140188,0,0.154287762615622
"ETV4",-1.00053461837712,0,0.541741552727412,0.618924416703046,0.896889478167226,0.381484064599264,-0.425719386943223,0,0.333144720094698
"FLI1",-0.135316401746164,0,0.594616033744598,0,0.955211703902521,0,-0.0313895958677216,0,0.378974978425597
"FOS",-0.125260335021982,0,-1.00329413311361,0,0,0,-0.131521080863367,0,-1.90363705396449
"FOSB",-2.89773730703557,0,0,0,0,0,-2.92809463948571,0,0
"FOSL1",-0.275387874002611,0,2.79707722216357,3.05451998618349,3.94958370073225,2.23794674194533,-0.0377566219851972,0,1.51493714681444
"FOSL2",-0.0323298834961875,0,2.9281457719966,1.87106114944713,1.06339496665169,1.33668112501977,0.00890236335527989,0,2.18491202360749
"FOXA1",-0.0641444005750136,0,0.298053512163993,0.362807751065279,0,-0.406646111363552,-0.0168980509064004,0,0.139727123119833
