gene,log_fold_change_female,pvalue_female,padj_female,log_fold_change_male,pvalue_male,padj_male,interaction_effect,abs_interaction_effect,interaction_pvalue,interaction_padj,significant
LINC00486,-2.6381378,0.11086772147206791,0.1518735910576273,21.879135,1.630041716795987e-55,1.6300417167959871e-52,24.517273,24.517273,0.11086772147206791,0.1518735910576273,False
NEAT1,14.609963,2.3748025188398196e-34,5.65429171152338e-33,-1.6885252,3.009128341436344e-06,2.1493773867402453e-05,-16.298489,16.298489,3.009128341436344e-06,2.1493773867402453e-05,True
PIP4K2A,8.982422,1.026453089911411e-32,2.1839427444923635e-31,-4.0169086,3.4021935901260866e-09,4.4765705133237985e-08,-12.9993305,12.9993305,3.4021935901260866e-09,4.4765705133237985e-08,True
QKI,6.88538,1.186187371543634e-14,8.295016584221218e-14,-4.0190315,9.985591765711513e-07,7.74076881062908e-06,-10.904411,10.904411,9.985591765711513e-07,7.74076881062908e-06,True
ERBIN,8.405563,7.499874359576787e-56,6.249895299647322e-54,-2.4223957,1.5191382791541615e-08,1.7262934990388199e-07,-10.827959,10.827959,1.5191382791541615e-08,1.7262934990388199e-07,True
CADM2,-22.798717,5.413155504082534e-47,2.706577752041267e-45,-12.028667,1.6921704779993123e-10,2.6859848857131943e-09,10.77005,10.77005,1.6921704779993123e-10,2.6859848857131943e-09,True
IL1RAPL1,-13.233978,7.923352196181941e-12,4.45132145852918e-11,-2.5366783,0.22987874648315726,0.324687495032708,10.6973,10.6973,0.22987874648315726,0.324687495032708,False
LSAMP,-7.538192,8.633217254864725e-14,5.569817583783694e-13,3.1535206,0.013350314666166721,0.03598467565004507,10.691712,10.691712,0.013350314666166721,0.03598467565004507,True
PPP2R2B,-5.482132,0.0014290817453580713,0.0027803146796849636,4.982151,0.001769188070474264,0.007020587581247079,10.464283,10.464283,0.001769188070474264,0.007020587581247079,True
NRXN1,-5.804521,9.119101782447864e-09,3.880468843594836e-08,3.9258175,0.0055421919494523485,0.018171121145745404,9.730339,9.730339,0.0055421919494523485,0.018171121145745404,True
SIK3,6.8937397,3.660687338307671e-15,2.672034553509249e-14,-2.611679,0.0013213535488829438,0.005437668925444213,-9.505419,9.505419,0.0013213535488829438,0.005437668925444213,True
PLP1,6.4028206,0.0001298861053481812,0.00029858874792685334,-3.0282478,0.03866989927331896,0.0810689712228909,-9.431068,9.431068,0.03866989927331896,0.0810689712228909,True
SLAIN1,8.098143,1.954778698532034e-91,4.8869467463300845e-89,-0.6238594,0.021800448791209355,0.05291371065827514,-8.722002,8.722002,0.021800448791209355,0.05291371065827514,True
PALM2-AKAP2,6.4674864,4.067576243164344e-28,6.894197022312449e-27,-2.2085905,1.0435586176886364e-05,6.60480137777618e-05,-8.676077,8.676077,1.0435586176886364e-05,6.60480137777618e-05,True
MALAT1,34.823517,3.991764037164945e-08,1.541221635971021e-07,43.312378,1.352866990510563e-19,5.882030393524187e-18,8.488861,8.488861,3.991764037164945e-08,1.541221635971021e-07,True
ELMO1,3.375721,5.843808124352643e-10,2.8230957122476536e-09,-4.9138947,1.1089602499312386e-19,5.040728408778358e-18,-8.289616,8.289616,5.843808124352643e-10,2.8230957122476536e-09,True
PCDH9,-22.64592,2.4772947776048286e-18,2.223520173382228e-17,-14.823509,5.355668293588094e-08,5.302641874839697e-07,7.8224106,7.8224106,5.355668293588094e-08,5.302641874839697e-07,True
DPP10,-6.968224,0.0018220552447172581,0.003517481167407834,0.75974464,0.7200577503599828,0.7809736988719986,7.7279687,7.7279687,0.7200577503599828,0.7809736988719986,False
CNDP1,4.87013,1.0470542991923836e-36,2.55379097363996e-35,-1.8253717,5.693408761781282e-08,5.52758132211775e-07,-6.695502,6.695502,5.693408761781282e-08,5.52758132211775e-07,True
SPOCK1,4.0407295,5.942512118427789e-22,6.389797976804074e-21,-2.5173197,8.3968717906907e-11,1.4477365156363276e-09,-6.558049,6.558049,8.3968717906907e-11,1.4477365156363276e-09,True
CTNNA2,-5.343827,4.3388267595368665e-06,1.3068755299809839e-05,1.1291962,0.3772076230623027,0.4691637102764959,6.473023,6.473023,0.3772076230623027,0.4691637102764959,False
NKAIN2,-6.851571,2.44775018770727e-33,5.439444861571711e-32,-0.47717285,0.45417802770354854,0.5391419245204011,6.374398,6.374398,0.45417802770354854,0.5391419245204011,False
NRXN3,7.28722,3.565440520845266e-13,2.1873868226044573e-12,0.9625664,0.38620142407261215,0.47738124112807434,-6.3246536,6.3246536,0.38620142407261215,0.47738124112807434,False
GPC5,-4.0301867,1.0683509816579995e-05,3.0847228086459006e-05,2.1178088,0.06384710775351644,0.12046624104437065,6.1479955,6.1479955,0.06384710775351644,0.12046624104437065,False
PDE1A,-1.3557205,0.00033780978212854883,0.0007249136955548257,-7.4451213,7.387482732438456e-42,1.2312471220730759e-39,-6.089401,6.089401,0.00033780978212854883,0.0007249136955548257,True
GPM6A,-3.5211506,1.6367225808006597e-07,5.814334741005134e-07,2.5457096,0.013739833282819365,0.0368360141630546,6.06686,6.06686,0.013739833282819365,0.0368360141630546,True
NCAM2,3.2459927,2.374043021264582e-05,6.247481634906795e-05,-2.806076,8.034031951305108e-06,5.216903864483836e-05,-6.0520687,6.0520687,2.374043021264582e-05,6.247481634906795e-05,True
SLC1A2,-3.5354416,6.312321712282292e-05,0.00015471376745789932,2.502328,0.11263437442052433,0.18930146961432662,6.0377693,6.0377693,0.11263437442052433,0.18930146961432662,False
SPP1,5.41943,4.295683814611828e-07,1.4711245940451467e-06,-0.13331687,0.16871513516098996,0.2556289926681666,-5.552747,5.552747,0.16871513516098996,0.2556289926681666,False
MAP7,3.892949,1.7110597793056754e-14,1.1639862444256297e-13,-1.5670366,0.0010823505404213606,0.004586231103480342,-5.4599857,5.4599857,0.0010823505404213606,0.004586231103480342,True
DIP2C,4.459878,1.629602107003019e-65,1.8106690077811321e-63,-0.9511032,4.450207838859393e-06,3.112033453747827e-05,-5.410981,5.410981,4.450207838859393e-06,3.112033453747827e-05,True
NTM,0.064359665,0.9157388448068735,0.9315756305258124,5.3476734,9.359954297107585e-17,2.92498571784612e-15,5.2833138,5.2833138,0.9157388448068735,0.9315756305258124,False
DLG2,-7.1649475,7.240090536414392e-15,5.134815983272619e-14,-2.1511002,0.02565796140775482,0.05966967769245307,5.0138474,5.0138474,0.02565796140775482,0.05966967769245307,True
ADGRV1,-2.8606038,5.162453473218881e-06,1.536444486077048e-05,1.96808,0.03597789243118447,0.07663040484211822,4.828684,4.828684,0.03597789243118447,0.07663040484211822,True
CLMN,3.752688,9.745887709944668e-32,1.988956675498912e-30,-1.0543056,0.00013416142079046583,0.0006951368952873877,-4.8069935,4.8069935,0.00013416142079046583,0.0006951368952873877,True
SGK1,3.3669152,2.540591708134875e-34,5.908352809615989e-33,-1.3672752,1.4788884048069225e-10,2.385303878720843e-09,-4.7341905,4.7341905,1.4788884048069225e-10,2.385303878720843e-09,True
TMEM165,4.942432,3.852802623713717e-51,2.7520018740812266e-49,0.22136736,0.31636896587436464,0.41127139640673627,-4.7210646,4.7210646,0.31636896587436464,0.41127139640673627,False
KAZN,3.1156435,2.0766846946695787e-19,1.9408268174482046e-18,-1.5522923,9.267107084876903e-06,5.9404532595364765e-05,-4.667936,4.667936,9.267107084876903e-06,5.9404532595364765e-05,True
ARHGAP21,3.4469042,8.966834730098047e-38,2.4234688459724453e-36,-1.183908,1.28042495499577e-10,2.1340415916596168e-09,-4.630812,4.630812,1.28042495499577e-10,2.1340415916596168e-09,True
ZBTB16,3.4344754,3.889175984268983e-108,1.2963919947563275e-105,-1.0806415,7.286939703840722e-46,2.4289799012802403e-43,-4.5151167,4.5151167,7.286939703840722e-46,2.4289799012802403e-43,True
