gene,log_fold_change_female,pvalue_female,padj_female,log_fold_change_male,pvalue_male,padj_male,interaction_effect,abs_interaction_effect,interaction_pvalue,interaction_padj,significant
SLC24A2,1.3616524,0.16232624965706413,0.21471726145114303,-3.0976067,0.0034774397942039788,0.0124639419147096,-4.459259,4.459259,0.16232624965706413,0.21471726145114303,False
NRG3,-3.1020114,3.512904538260248e-05,8.9844105837858e-05,1.3323312,0.11340964323854179,0.19028463630627818,4.4343424,4.4343424,0.11340964323854179,0.19028463630627818,False
GPM6B,1.671463,5.581099433905356e-05,0.00013848881969988477,-2.6945171,1.04094216572192e-12,2.3657776493680002e-11,-4.36598,4.36598,5.581099433905356e-05,0.00013848881969988477,True
AC012494.1,-4.9907694,5.975025134933668e-39,1.6597292041482411e-37,-0.76076365,0.04734269663685156,0.0943081606311784,4.2300057,4.2300057,0.04734269663685156,0.0943081606311784,True
DIP2B,2.5796528,2.4903425941880956e-18,2.223520173382228e-17,-1.5951633,3.1876205652203363e-07,2.6786727438826356e-06,-4.174816,4.174816,3.1876205652203363e-07,2.6786727438826356e-06,True
SLC7A14-AS1,2.8787642,1.0294329350211532e-15,7.918714884778101e-15,-1.250412,0.0006608282450381958,0.0029111376433400694,-4.129176,4.129176,0.0006608282450381958,0.0029111376433400694,True
RORA,-2.136076,1.251743811245805e-05,3.53599946679606e-05,1.8843889,0.004427884171257258,0.015023183949093402,4.020465,4.020465,0.004427884171257258,0.015023183949093402,True
NAV3,-3.470096,1.2006804764967296e-17,1.0440699795623735e-16,0.54206896,0.21681258194436717,0.3107218363279284,4.012165,4.012165,0.21681258194436717,0.3107218363279284,False
LAMA2,3.085764,1.07202005753299e-12,6.3060003384293525e-12,-0.7929549,0.010409427213703644,0.029405161620631764,-3.8787189,3.8787189,0.010409427213703644,0.029405161620631764,True
PCDH9-AS2,-1.5183256,5.184300485838672e-12,2.9624574204792414e-11,2.2509954,1.5852788919498576e-32,1.321065743291548e-30,3.769321,3.769321,5.184300485838672e-12,2.9624574204792414e-11,True
NFASC,2.7034316,3.311621351292016e-23,4.0385626235268484e-22,-1.0280294,3.5950122859618576e-05,0.00020901234220708476,-3.731461,3.731461,3.5950122859618576e-05,0.00020901234220708476,True
CNTNAP2,-4.735633,3.495950016215227e-25,4.994214308878895e-24,-1.0067625,0.030462603252741107,0.06828556894948165,3.7288704,3.7288704,0.030462603252741107,0.06828556894948165,True
OBI1-AS1,-2.3615482,3.3329987793976074e-08,1.2918599920145765e-07,1.3047416,0.04099237444630852,0.08452035968311036,3.6662898,3.6662898,0.04099237444630852,0.08452035968311036,True
PRUNE2,0.62464046,0.19343868866316352,0.2515457589898095,-3.0160275,2.6748843667359782e-08,2.8456216667404026e-07,-3.640668,3.640668,0.19343868866316352,0.2515457589898095,False
DNM3,3.364111,7.361982063918232e-11,3.8652420565361355e-10,-0.23814201,0.6193194945890566,0.6926319986347874,-3.602253,3.602253,0.6193194945890566,0.6926319986347874,False
AGAP1,2.056738,9.905278991379611e-06,2.879441567261515e-05,-1.5170746,0.0028202895357707317,0.010394556960534807,-3.5738125,3.5738125,0.0028202895357707317,0.010394556960534807,True
PICALM,2.2266808,6.664700070587073e-24,8.769342198140886e-23,-1.2983952,3.549422335266158e-11,6.573004324566959e-10,-3.525076,3.525076,3.549422335266158e-11,6.573004324566959e-10,True
NLGN1,-1.8592777,0.02007922210992808,0.03222989102717188,-5.3579636,1.0156208565291691e-07,9.403896819714528e-07,-3.4986858,3.4986858,0.02007922210992808,0.03222989102717188,True
AKAP6,3.127719,4.620754841159871e-20,4.443033501115261e-19,-0.36741257,0.16970698183052602,0.25674278643044784,-3.4951315,3.4951315,0.16970698183052602,0.25674278643044784,False
PDE4B,-1.8198452,0.054257570400886315,0.07818093717706963,-5.2522354,4.94322629118528e-06,3.393561947668479e-05,-3.4323902,3.4323902,0.054257570400886315,0.07818093717706963,True
NKAIN3,-1.9053848,6.870526970045183e-09,2.9487240214786193e-08,1.5125978,0.004526509180513638,0.015240771651561071,3.4179826,3.4179826,0.004526509180513638,0.015240771651561071,True
ZNF536,2.2904072,2.468040774025362e-08,9.755101873618031e-08,-1.1224375,0.003578865724257083,0.012666291764737641,-3.4128447,3.4128447,0.003578865724257083,0.012666291764737641,True
MOBP,-3.1072536,6.731440222359292e-20,6.410895449865992e-19,0.18540573,0.650085801497206,0.7199178311153998,3.2926593,3.2926593,0.650085801497206,0.7199178311153998,False
C10orf90,2.2477036,6.713311555702098e-11,3.552016696138676e-10,-1.0333109,0.0016782565302034627,0.006753187756179012,-3.2810144,3.2810144,0.0016782565302034627,0.006753187756179012,True
KCNMB4,3.1675954,4.842422000120805e-48,2.8484835294828263e-46,-0.108950615,0.2852367253732888,0.38299314368956106,-3.276546,3.276546,0.2852367253732888,0.38299314368956106,False
LINC01608,-3.6314468,4.2909419122552746e-29,7.662396271884419e-28,-0.35583305,0.32255876864097155,0.4159422094872131,3.2756138,3.2756138,0.32255876864097155,0.4159422094872131,False
APBB2,3.1267676,1.5469523062921368e-32,3.222817304775285e-31,-0.11163378,0.6180055853931181,0.6926319986347874,-3.2384014,3.2384014,0.6180055853931181,0.6926319986347874,False
ADGRL3,-1.8456883,1.0211699489067286e-07,3.7268976237471845e-07,1.3921585,0.0003847626944622165,0.0017979565161785817,3.2378469,3.2378469,0.0003847626944622165,0.0017979565161785817,True
MAGI2,-5.5251026,1.2416471209402962e-11,6.822236928243386e-11,-2.3900986,0.005945845213546432,0.019118473355454767,3.135004,3.135004,0.005945845213546432,0.019118473355454767,True
DOCK1,2.6417518,8.451222887168173e-40,2.5609766324752035e-38,-0.42289877,0.006089195940590051,0.019427120126363818,-3.0646505,3.0646505,0.006089195940590051,0.019427120126363818,True
CNTNAP4,-2.6362615,6.750565771394052e-22,7.031839345202137e-21,0.4230218,0.16688190658181526,0.253235063098354,3.0592833,3.0592833,0.16688190658181526,0.253235063098354,False
FCHSD2,-3.3353758,5.660137462334288e-33,1.2304646657248453e-31,-0.2963457,0.3728151497024266,0.4660189371280332,3.03903,3.03903,0.3728151497024266,0.4660189371280332,False
NPAS3,-2.0439453,0.008542620652408501,0.014830938632653648,0.98983765,0.14065182315780553,0.22432507680670738,3.033783,3.033783,0.14065182315780553,0.22432507680670738,False
CLDN11,3.1322756,7.488633488480034e-48,4.160351938044464e-46,0.11186004,0.3781651354295116,0.46977035457082184,-3.0204155,3.0204155,0.3781651354295116,0.46977035457082184,False
TMTC2,-0.4675789,0.40842960831555797,0.48163868905136553,-3.473627,3.5407847825167636e-09,4.5984217954763167e-08,-3.0060482,3.0060482,0.40842960831555797,0.48163868905136553,False
PPFIA2,-2.2343698,4.11335530524884e-45,1.7138980438536832e-43,0.7653799,2.48969348335881e-05,0.000149083442117294,2.9997497,2.9997497,2.48969348335881e-05,0.000149083442117294,True
SGMS1,1.7019606,2.087489835450018e-30,3.795436064454578e-29,-1.243818,1.720803113890853e-20,9.056858494162385e-19,-2.9457786,2.9457786,1.720803113890853e-20,9.056858494162385e-19,True
PLCL1,0.6393261,0.2423718638697334,0.3067998276832068,-2.2909536,6.0892487610720294e-05,0.0003407533373091257,-2.9302797,2.9302797,0.2423718638697334,0.3067998276832068,False
CTNND2,-1.6312475,0.002933304810848793,0.005462392571413022,1.2953672,0.0411929882258017,0.08460931791045109,2.9266148,2.9266148,0.0411929882258017,0.08460931791045109,True
ST18,-4.271162,6.579581661362374e-05,0.00016047760149664328,-1.3511429,0.24517573771539009,0.3406343396789769,2.9200191,2.9200191,0.24517573771539009,0.3406343396789769,False
AC092691.1,-1.4804189,2.2892398039125186e-05,6.0884037338098896e-05,1.4146547,0.0005064267463046542,0.002312450896368284,2.8950737,2.8950737,0.0005064267463046542,0.002312450896368284,True
PTPRJ,1.2738185,5.6536138367248817e-14,3.6951724423038443e-13,-1.6124814,2.541243916034042e-18,9.075871128693007e-17,-2.8862998,2.8862998,5.6536138367248817e-14,3.6951724423038443e-13,True
ZNF708,2.8383262,1.3132907087393388e-115,1.3132907087393386e-112,-0.023916721,0.6484614015609658,0.7197129873040685,-2.862243,2.862243,0.6484614015609658,0.7197129873040685,False
SOX5,-1.7459626,3.936741404468711e-07,1.3621942576016302e-06,1.0983863,0.025228319797978543,0.0590827161545165,2.844349,2.844349,0.025228319797978543,0.0590827161545165,True
DLG1,0.11471653,0.7759404750681747,0.8159205836679019,2.9236317,2.1294893267653512e-13,5.1938764067447584e-12,2.8089151,2.8089151,0.7759404750681747,0.8159205836679019,False
GABRB1,-1.775748,4.681176592395412e-15,3.392156951011168e-14,0.98383117,0.01011516088868211,0.028818122189977525,2.7595792,2.7595792,0.01011516088868211,0.028818122189977525,True
FKBP5,2.26586,4.1716141420318578e-50,2.781076094687905e-48,-0.48805103,3.9456719283273865e-12,8.395046656015716e-11,-2.753911,2.753911,3.9456719283273865e-12,8.395046656015716e-11,True
ANK2,2.8776493,3.948415367493796e-12,2.269204234191837e-11,0.15358257,0.6580449824119583,0.7255181724497887,-2.7240667,2.7240667,0.6580449824119583,0.7255181724497887,False
GRM3,-3.309803,1.239849862679551e-37,3.1791022119988485e-36,-0.5918913,0.034794648943795775,0.07515042968422413,2.7179117,2.7179117,0.034794648943795775,0.07515042968422413,True
FMNL2,0.608366,0.15737630516433213,0.20872189013837153,-2.1014862,2.9801528410492595e-07,2.525553255126491e-06,-2.7098522,2.7098522,0.15737630516433213,0.20872189013837153,False
PWRN1,-0.40303135,0.05278168884226693,0.07627411682408516,-3.099827,1.741588710625593e-42,3.483177421251186e-40,-2.6967957,2.6967957,0.05278168884226693,0.07627411682408516,True
GNAO1,1.5578322,7.639022552709659e-11,3.9786575795362803e-10,-1.0997105,3.4873511692366805e-05,0.00020393866486764211,-2.6575427,2.6575427,3.4873511692366805e-05,0.00020393866486764211,True
CDH20,-3.200509,2.936621929386131e-39,8.637123321723914e-38,-0.6059103,0.040535063615013446,0.08387080126671513,2.5945988,2.5945988,0.040535063615013446,0.08387080126671513,True
GRID2,-0.29726028,0.5489951760639056,0.6203335322755995,-2.8851156,3.822574489731111e-06,2.691953866007825e-05,-2.5878553,2.5878553,0.5489951760639056,0.6203335322755995,False
LRP1B,1.0248785,0.1866860691626635,0.2433977433672275,3.612504,1.4375108843432508e-05,8.928639033187893e-05,2.5876255,2.5876255,0.1866860691626635,0.2433977433672275,False
PTK2,2.2751417,5.189769538842116e-14,3.414322065027708e-13,-0.3034811,0.2941412361078961,0.3917152701542969,-2.5786228,2.5786228,0.2941412361078961,0.3917152701542969,False
KLHL32,3.5157342,6.315977633733557e-22,6.719125142269741e-21,1.0219345,0.00011278440332319525,0.0006031251514609371,-2.4937997,2.4937997,0.00011278440332319525,0.0006031251514609371,True
MIR99AHG,-1.4169374,1.4250805925137936e-05,3.9918223879938195e-05,1.0767756,0.028417705460362607,0.06443924140671793,2.493713,2.493713,0.028417705460362607,0.06443924140671793,True
SLC22A23,2.0224109,1.0565496449483962e-52,8.12730496114151e-51,-0.44200373,7.408854674980298e-10,1.0895374522029849e-08,-2.4644146,2.4644146,7.408854674980298e-10,1.0895374522029849e-08,True
DPYD,1.899641,4.617882631520631e-06,1.3867515409971865e-05,-0.55389404,0.1392625733433325,0.22246417466986024,-2.453535,2.453535,0.1392625733433325,0.22246417466986024,False
FRY,0.8928956,2.0392016736957542e-11,1.102271174970678e-10,-1.5534625,2.868500414646733e-13,6.82976289201603e-12,-2.4463582,2.4463582,2.0392016736957542e-11,1.102271174970678e-10,True
PLCG2,0.6924906,0.06010039752289634,0.08573523184435997,-1.7470226,1.7432118882694266e-07,1.5564391859548452e-06,-2.4395132,2.4395132,0.06010039752289634,0.08573523184435997,True
AC006059.1,2.662119,9.191206976323353e-48,4.83747735595966e-46,0.25223827,0.0025902227458775608,0.009848755687747379,-2.4098806,2.4098806,0.0025902227458775608,0.009848755687747379,True
NCAM1,1.6970549,1.5081490516413077e-06,4.849353863798417e-06,-0.7002964,0.021437794039844613,0.05228730253620638,-2.3973513,2.3973513,0.021437794039844613,0.05228730253620638,True
AK5,-2.3316107,2.4192452678227563e-23,3.0240565847784455e-22,0.061911106,0.8087416160999501,0.854003818479356,2.3935218,2.3935218,0.8087416160999501,0.854003818479356,False
CDH19,2.015603,1.0971475657023153e-41,3.918384163222555e-40,-0.3532381,0.0009777984105671803,0.004178625686184531,-2.3688412,2.3688412,0.0009777984105671803,0.004178625686184531,True
RUNX1,1.808228,0.0004970745024933857,0.0010486803850071429,-0.53265166,0.018976725836417886,0.04755694938478326,-2.3408797,2.3408797,0.018976725836417886,0.04755694938478326,True
LMCD1-AS1,-0.76439047,0.0006965158092029867,0.0014071026448545187,1.5561771,6.340775453232995e-18,2.186474294218274e-16,2.3205676,2.3205676,0.0006965158092029867,0.0014071026448545187,True
LUZP2,-1.224961,2.344001430615986e-05,6.201061985756577e-05,1.0869564,0.000769562157454222,0.0033459224237140086,2.3119173,2.3119173,0.000769562157454222,0.0033459224237140086,True
ELL2,1.9191866,1.803544356888718e-31,3.5363614840955256e-30,-0.3594284,9.379936596110044e-05,0.0005070235997897321,-2.278615,2.278615,9.379936596110044e-05,0.0005070235997897321,True
TNIK,-1.5565057,2.7256847931213607e-08,1.0707721498252898e-07,0.7013273,0.10960816618894233,0.18577655286261413,2.257833,2.257833,0.10960816618894233,0.18577655286261413,False
NCOA7,1.6235805,3.074969430935607e-43,1.1826805503598488e-41,-0.6059387,4.47992769017077e-09,5.743497038680475e-08,-2.2295191,2.2295191,4.47992769017077e-09,5.743497038680475e-08,True
ATXN1,0.8273916,1.624384331679628e-15,1.2305941906663847e-14,-1.3991814,3.5052254590387016e-46,1.7526127295193507e-43,-2.226573,2.226573,1.624384331679628e-15,1.2305941906663847e-14,True
ADARB2,0.2607801,0.1632378292971884,0.21538210882363532,2.474688,1.2533030002385453e-33,1.2533030002385454e-31,2.213908,2.213908,0.1632378292971884,0.21538210882363532,False
FRMD4A,-4.0614586,1.557450998571739e-06,4.991830123627369e-06,-1.8518829,0.08459089506973473,0.1501314097506885,2.2095757,2.2095757,0.08459089506973473,0.1501314097506885,False
MAN2A1,-3.4056711,1.6923804126144294e-14,1.1591646661742668e-13,-1.2037392,0.012517392114594501,0.034014652485311145,2.201932,2.201932,0.012517392114594501,0.034014652485311145,True
ZBTB20,-2.5994568,6.0468965471627e-12,3.435736674524262e-11,-0.4051342,0.24290969042268312,0.3390921903289012,2.1943226,2.1943226,0.24290969042268312,0.3390921903289012,False
ARHGAP26,1.7654464,0.001140562527529996,0.0022483368943006883,-0.4125787,0.05769454753843801,0.11159486951341974,-2.1780252,2.1780252,0.05769454753843801,0.11159486951341974,False
PTPN13,1.9406674,7.984685870128576e-46,3.4716025522298157e-44,-0.20348573,0.012022026596451161,0.03306530686706225,-2.144153,2.144153,0.012022026596451161,0.03306530686706225,True
PDE4D,-1.4471943,3.641409031791961e-22,4.0015483865845725e-21,0.6811645,0.00018222357156359736,0.0009249927490537936,2.1283588,2.1283588,0.00018222357156359736,0.0009249927490537936,True
CLIC4,2.1816232,5.528996336367887e-80,7.898566194811267e-78,0.061182022,0.487304957853242,0.5699473191265989,-2.1204412,2.1204412,0.487304957853242,0.5699473191265989,False
ROBO1,0.89969444,1.3586465892217534e-06,4.411190224745953e-06,-1.2140179,1.06002120627488e-09,1.5143160089641143e-08,-2.1137123,2.1137123,1.3586465892217534e-06,4.411190224745953e-06,True
KIRREL3,-3.3342543,1.0825021807605868e-19,1.021228472415648e-18,-1.2302742,0.005762914996537816,0.01871076297577213,2.10398,2.10398,0.005762914996537816,0.01871076297577213,True
RNF220,-0.585989,0.40111098664769906,0.47412646175850953,-2.6825008,0.0004703069265685145,0.002157371222791351,-2.0965118,2.0965118,0.40111098664769906,0.47412646175850953,False
PPP1R9A,-1.3874464,3.4054048420602827e-23,4.1028974000726297e-22,0.70745564,0.00012755390062297616,0.0006678214692302417,2.094902,2.094902,0.00012755390062297616,0.0006678214692302417,True
AC002429.2,-1.1061583,2.8159667829681923e-10,1.3803758740040159e-09,0.97742105,0.010791629399749557,0.030313565729633587,2.0835793,2.0835793,0.010791629399749557,0.030313565729633587,True
ASTN2,0.9231372,7.01697185968127e-06,2.076027177420494e-05,-1.1359396,1.7693036703400568e-08,1.944289747626436e-07,-2.0590768,2.0590768,7.01697185968127e-06,2.076027177420494e-05,True
AGTPBP1,1.6628246,2.147725477912944e-27,3.520861439201548e-26,-0.3671708,0.002827319493265468,0.010394556960534807,-2.0299954,2.0299954,0.002827319493265468,0.010394556960534807,True
AC008571.2,-3.7452192,1.6660610142807928e-16,1.3656237821973713e-15,-1.7337799,1.44447349459593e-06,1.102651522592313e-05,2.0114393,2.0114393,1.44447349459593e-06,1.102651522592313e-05,True
QDPR,0.53406477,0.004428875535242211,0.008023325245004004,-1.4239473,3.912606188750604e-10,6.019394136539391e-09,-1.9580121,1.9580121,0.004428875535242211,0.008023325245004004,True
MAML2,-2.2083516,1.3586581724195926e-14,9.435126197358282e-14,-0.25585556,0.39869932270983477,0.4880040669643021,1.952496,1.952496,0.39869932270983477,0.4880040669643021,False
CSMD2,2.0431743,4.375718621347607e-48,2.7348241383422544e-46,0.094406605,0.33931384791627317,0.4316970075270651,-1.9487677,1.9487677,0.33931384791627317,0.4316970075270651,False
DOCK5,-0.21786308,0.49842109293292525,0.5689738503800517,-2.1455507,1.7096909275673862e-09,2.3420423665306664e-08,-1.9276876,1.9276876,0.49842109293292525,0.5689738503800517,False
PEX5L,-4.096775,6.625818401264352e-14,4.3024794813404885e-13,-2.2058372,0.00019075285113892278,0.0009633982380753675,1.8909378,1.8909378,0.00019075285113892278,0.0009633982380753675,True
SLC1A3,-1.1286845,0.07242116828998325,0.10143020768905218,0.7599015,0.08566057407806993,0.1516111758639767,1.888586,1.888586,0.08566057407806993,0.1516111758639767,False
LRRC4C,-1.083178,0.13208746331877616,0.17729860848157875,0.8016629,0.32227057932132597,0.4159422094872131,1.884841,1.884841,0.32227057932132597,0.4159422094872131,False
RBFOX1,-1.741198,0.04609667999767203,0.06749147876672332,0.11731017,0.8439216948526915,0.8781703380360995,1.8585081,1.8585081,0.8439216948526915,0.8781703380360995,False
RNF130,1.2349353,1.0899751509637873e-23,1.4155521441088146e-22,-0.6207404,1.8012573256335586e-08,1.957888397427781e-07,-1.8556757,1.8556757,1.8012573256335586e-08,1.957888397427781e-07,True
DSCAML1,0.6850605,0.009341919644775348,0.016101840199793015,-1.1694307,1.1042752474796327e-05,6.901720296747705e-05,-1.8544912,1.8544912,0.009341919644775348,0.016101840199793015,True
IQGAP1,1.711915,1.1390900206649241e-37,2.997605317539274e-36,-0.13825846,0.14087954884246695,0.22433049178736775,-1.8501735,1.8501735,0.14087954884246695,0.22433049178736775,False
HPSE2,-2.0868874,1.4333350481624629e-08,5.8503471353569915e-08,-0.23724365,0.6199056387781348,0.6926319986347874,1.8496437,1.8496437,0.6199056387781348,0.6926319986347874,False
LINC01505,-1.6920824,8.462941980863618e-37,2.1157354952159045e-35,0.14177299,0.07029924743232978,0.1309110752929791,1.8338554,1.8338554,0.07029924743232978,0.1309110752929791,False
CREB5,0.966692,0.003720669788554046,0.006814413532150267,-0.8663063,0.006765827398175,0.020946834050077398,-1.8329983,1.8329983,0.006765827398175,0.020946834050077398,True
ELF2,1.4451535,4.532099558735846e-61,4.120090507941678e-59,-0.38549924,9.373620413659045e-09,1.1159071921022672e-07,-1.8306527,1.8306527,9.373620413659045e-09,1.1159071921022672e-07,True
CHST11,1.2725523,0.01987344577679674,0.032037706539411834,-0.55743384,0.13282558891111193,0.21562595602453236,-1.8299861,1.8299861,0.13282558891111193,0.21562595602453236,False
RIN2,1.3985565,6.144980230447875e-46,2.7931728320217614e-44,-0.42558312,1.750501983847946e-08,1.944289747626436e-07,-1.8241396,1.8241396,1.750501983847946e-08,1.944289747626436e-07,True
GAB1,0.37632465,0.18205056090496244,0.23828607448293512,-1.442997,2.3274195879615865e-06,1.686535933305497e-05,-1.8193216,1.8193216,0.18205056090496244,0.23828607448293512,False
