"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Sex","Dataset"
"SATB1",2.30416508141194,7.16424915258145,49.9602483581292,1.93289979335935e-38,3.35667378114784e-34,77.7578102458993," Male","gse174409"
"RORB",2.40100520975867,7.1028644031566,48.3336657619505,7.37318257160824e-38,6.40213442692743e-34,76.4333750511761," Male","gse174409"
"LOC101927745",6.06406439968916,3.01010145315774,44.459651449411,2.14930464739441e-36,1.24416081688838e-32,70.4834549260019," Male","gse174409"
"PBX3",-2.9048229828922,4.46358052366314,-44.1120744955415,2.94884318626677e-36,1.2798201122961e-32,72.4976395083664," Male","gse174409"
"COL5A2",3.03215683823949,5.4319438460845,43.8687693325045,3.68484427126599e-36,1.2798201122961e-32,72.4727854854943," Male","gse174409"
"NUAK1",2.69159231734675,7.07929957640524,39.7002325366606,2.03847847756392e-34,5.64175654704831e-31,68.5511602095216," Male","gse174409"
"MAPK10",1.36575080962971,9.18823861837243,39.59207598298,2.27411584874687e-34,5.64175654704831e-31,68.4409470779939," Male","gse174409"
"SMYD2",2.16850658131541,5.15446009949338,39.0127546393753,4.10572353888179e-34,8.91249937202764e-31,67.8315110536175," Male","gse174409"
"SCN1A",1.59726533886799,8.31917769075821,37.8529349575266,1.37437737135756e-33,2.65193749233283e-30,66.6384465869819," Male","gse174409"
"NR2F1-AS1",2.33084489551048,6.64583498096886,36.0360820338717,9.80444073800165e-33,1.70263917856137e-29,64.674684658531," Male","gse174409"
"FBXW7",2.35208521377969,8.21116522622443,35.7266538957519,1.38285159420757e-32,2.04865879831615e-29,64.3222540430357," Male","gse174409"
"NLK",1.67639958730405,7.17434992234624,35.6492903214771,1.50767163882342e-32,2.04865879831615e-29,64.2360567460484," Male","gse174409"
"OTOGL",3.45073121294204,4.19462362577459,35.599587274181,1.59389401952723e-32,2.04865879831615e-29,64.0460408759655," Male","gse174409"
"PARD3",-1.62644916483594,5.69203205622589,-35.567851087885,1.65157337190061e-32,2.04865879831615e-29,64.159794594153," Male","gse174409"
"DCBLD1",2.34458239266619,3.32452946250831,35.3187401370582,2.1854034765877e-32,2.53011445162813e-29,63.6308272034456," Male","gse174409"
"MIR600HG",1.40135447821942,6.07817962892826,34.8717598708661,3.62918929645659e-32,3.93903133264157e-29,63.3635742896365," Male","gse174409"
"STRBP",1.23440548622174,7.25133875243832,34.4935205155692,5.60126180981763e-32,5.72185368172311e-29,62.915394831239," Male","gse174409"
"SPATA13",-2.05946503780359,5.77803060091989,-34.3286751257128,6.77693750907689e-32,6.53823871014607e-29,62.7472029835938," Male","gse174409"
"EPIC1",7.26810131206671,2.32572489334378,34.1558462907255,8.28300832785825e-32,7.38632034261949e-29,59.9854647199957," Male","gse174409"
"CABP1",3.12520762850532,5.69449189814216,34.1329635265982,8.50664556330703e-32,7.38632034261949e-29,62.5260327810467," Male","gse174409"
"ATRNL1",2.51354135496284,9.89042073719286,33.6839114692684,1.43975894892965e-31,1.19061209081487e-28,61.972450212271," Male","gse174409"
"PREP",1.45895053231341,5.20329753874593,33.6188661251969,1.55463297045736e-31,1.22717073477103e-28,61.9209923441215," Male","gse174409"
"MICAL2",2.62326078150038,6.62984757322538,33.5798242365716,1.62804767454984e-31,1.22924677896663e-28,61.8562758893352," Male","gse174409"
"ERC1",-0.975518844173212,7.3892301018498,-33.5410620725566,1.70444999436541e-31,1.23331160842291e-28,61.7947493835126," Male","gse174409"
"LOC101929532",6.49244464493623,-2.35275741274618,33.4717519241975,1.85033920708188e-31,1.28531962680736e-28,55.9149576881815," Male","gse174409"
"ATXN7L3",1.12749843509493,6.84197243330631,33.2925330844615,2.28979839574289e-31,1.52940919001812e-28,61.5006522447788," Male","gse174409"
"TCF4",1.25398202503326,8.48030777604623,33.2262306498409,2.47829103968067e-31,1.56259080051684e-28,61.4185391612131," Male","gse174409"
"LY86-AS1",4.10199985658105,3.59080617921547,33.2124448899222,2.51943696962291e-31,1.56259080051684e-28,61.1313299878506," Male","gse174409"
"CADPS2",2.81855919780117,6.45174600920399,33.0729907810835,2.97713916826824e-31,1.72671668598068e-28,61.2553061253085," Male","gse174409"
"DPY19L1",1.78960802140919,6.22032961376126,33.0713715927323,2.98292644128875e-31,1.72671668598068e-28,61.2476851597263," Male","gse174409"
"SV2C",-3.32081623783242,6.83311548897829,-32.9302182835723,3.53439209001307e-31,1.95064221219908e-28,61.0809669861159," Male","gse174409"
"SYTL2",2.58224767969576,6.48562062437853,32.9162372670015,3.5944115392359e-31,1.95064221219908e-28,61.0625890255418," Male","gse174409"
"RIMS3",2.11217199395611,8.3296915389226,32.6967221954187,4.68629447454245e-31,2.37938812642855e-28,60.7777211638361," Male","gse174409"
"RSPO2",4.52956522667272,3.37453733512036,32.6641014702316,4.87539927933187e-31,2.37938812642855e-28,60.3403503259761," Male","gse174409"
"VPS36",0.888761534837284,6.54749705483279,32.6557423888528,4.92510272917439e-31,2.37938812642855e-28,60.7317862606718," Male","gse174409"
"HECW1",1.94026718866137,6.74206804850828,32.6545039997821,4.93251022408315e-31,2.37938812642855e-28,60.7337091485002," Male","gse174409"
"CACHD1",-1.5105740334947,6.14676602188009,-32.3951517496125,6.76502596763409e-31,3.17517407983604e-28,60.4237880246537," Male","gse174409"
"LOC124903925",5.77218918963623,-2.63437809189308,31.9763545720835,1.13235456510955e-30,5.17486036255065e-28,54.4572350964395," Male","gse174409"
"SPTSSB",2.68818205167535,3.41425716521291,31.8790402916088,1.27747868169585e-30,5.60292031672943e-28,59.6770745362355," Male","gse174409"
"GTDC1",1.70200653299751,6.77548402675935,31.8519587486687,1.32115661600646e-30,5.60292031672943e-28,59.7392040543572," Male","gse174409"
"CHML",1.79543223039624,6.23290208401546,31.8509497634024,1.32281315781358e-30,5.60292031672943e-28,59.7490983147922," Male","gse174409"
"MLIP",2.82341384432232,4.66462511557685,31.8303246431564,1.35714508734031e-30,5.61147180636948e-28,59.7547313692478," Male","gse174409"
"GRID2",-1.56177079694721,5.34765696364096,-31.7877247362495,1.43097190519874e-30,5.7791297920189e-28,59.693885030672," Male","gse174409"
"PIK3R1",1.55194773799931,8.77803796123223,31.5833287290549,1.84674400878545e-30,7.2887628310382e-28,59.3960841054468," Male","gse174409"
"FLRT2",1.41076767225334,7.73169252580649,31.4650275815704,2.14202479283744e-30,8.26631167831443e-28,59.244405130797," Male","gse174409"
"ARHGEF25",1.67308010586399,4.48635779968199,31.2902656078356,2.66929373303769e-30,1.00771641234636e-27,59.086269756742," Male","gse174409"
"S100PBP",-1.14168614424997,5.75531506685117,-30.8945452846817,4.41197778108449e-30,1.63017885417688e-27,58.5437167847327," Male","gse174409"
"KHDRBS3",2.26100048731922,6.36056641612157,30.6928143397927,5.71317751965766e-30,2.05740543153171e-27,58.2781118347304," Male","gse174409"
"ALS2",0.763788798751952,6.93067144608871,30.6803840388572,5.80518634947909e-30,2.05740543153171e-27,58.2402408044768," Male","gse174409"
"NUDT4",1.85349100600716,6.32432715055893,30.6103066254137,6.3530300467222e-30,2.20653439582756e-27,58.1667809449898," Male","gse174409"
"PEG10",-2.71684314312599,9.07856332259907,-30.516361570251,7.17156732770609e-30,2.44198898456753e-27,58.0313077913055," Male","gse174409"
"PPM1L",1.29320975233976,7.81406490644695,30.3633595277057,8.74285409000475e-30,2.91977700244274e-27,57.8249058252048," Male","gse174409"
"SFT2D2",-1.75619539195358,6.33194702961893,-30.2597128647326,1.0003776739547e-29,3.27784126149005e-27,57.7084972624985," Male","gse174409"
"BCL11B",-2.36616311032988,5.89065787183656,-30.0522977729048,1.31161859330876e-29,4.18342844045538e-27,57.4594799373978," Male","gse174409"
"NREP",2.0054418430726,5.77743229214388,30.0445871869658,1.32493702766927e-29,4.18342844045538e-27,57.4465985897103," Male","gse174409"
"SATB2",3.21962506046226,5.72158647534191,30.0282342832168,1.35364315445472e-29,4.19774411076084e-27,57.4491452891113," Male","gse174409"
"LRRC4",1.34952150655994,5.90976908871161,29.8121951188289,1.79854989154832e-29,5.4795820029172e-27,57.1243959893838," Male","gse174409"
"DCAF6",1.37581094756629,7.22203205123125,29.778634113213,1.88004589665101e-29,5.62911673124851e-27,57.0540186199005," Male","gse174409"
"RGS9",-3.50023528862445,4.23298808873106,-29.6163407505831,2.33086951268272e-29,6.86065761987255e-27,56.8918099723709," Male","gse174409"
"OXR1",2.52399347658107,7.99559945898213,29.5766662369852,2.45702378885507e-29,7.06592998177545e-27,56.7852602882006," Male","gse174409"
"LUZP1",1.01577199731251,7.04500845337095,29.5690631867644,2.48198623107395e-29,7.06592998177545e-27,56.7733860578506," Male","gse174409"
"OPN3",2.56558230542947,4.39887550042939,29.5200624161284,2.64921482592214e-29,7.38312214503538e-27,56.7947115751974," Male","gse174409"
"PIP4K2C",1.21497977381089,5.57492021440087,29.5118267751482,2.67843311722463e-29,7.38312214503538e-27,56.7341688253886," Male","gse174409"
"NRN1",4.76582329965172,5.12862602994466,29.4052871144069,3.08755426004261e-29,8.37788551248437e-27,56.6332942058459," Male","gse174409"
"FMN1",3.16419039040159,5.05529053991652,29.3758225050327,3.211616544086e-29,8.58045121609191e-27,56.6021203072793," Male","gse174409"
"GNAL",-2.46540390356076,7.89563894287874,-29.2607954592172,3.74684692072013e-29,9.85874903412512e-27,56.3592757247942," Male","gse174409"
"DIRAS1",1.7425611300169,6.24169158165438,29.0204298625824,5.17998247916806e-29,1.34262053333183e-26,56.0516134164599," Male","gse174409"
"ISL1",-8.68760159943409,-1.38362668962795,-28.8740182279734,6.31725928667788e-29,1.61331654077129e-26,51.8775170086669," Male","gse174409"
"INSYN2A",-2.3710356268236,3.61177048854636,-28.8199064833835,6.79966824985156e-29,1.71134838879597e-26,55.8214736081603," Male","gse174409"
"LINC01018",2.23856491571572,2.79879196112022,28.7123436613866,7.87367828511963e-29,1.95334710141982e-26,55.5637710933481," Male","gse174409"
"OSBPL3",2.31335959663532,5.02199736872624,28.6692266792252,8.35158364156531e-29,2.04272678196371e-26,55.6338977089139," Male","gse174409"
"MIR124-2HG",1.32731339639268,6.3369817881191,28.3648834222411,1.26883172120861e-28,3.06035162090399e-26,55.139170581571," Male","gse174409"
"SLC9B2",0.862885836257982,5.84947763416915,28.2607359562376,1.46543225517697e-28,3.44392114013378e-26,55.0048932907865," Male","gse174409"
"RGS4",4.14277265311152,7.88111946167025,28.2586773617191,1.46961796268364e-28,3.44392114013378e-26,54.992731550725," Male","gse174409"
"HTR2C",-4.13552848520585,5.70868664186992,-28.249971682877,1.48745476585621e-28,3.44392114013378e-26,55.0627828018745," Male","gse174409"
