"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Dataset"
"PCDH11X",0.641907451425823,6.91632607157556,6.26414491987239,1.82149660530936e-08,0.000319199065114413,7.39092185521718,"gse174409"
"AGKP1",-0.808093490872729,-1.5990103812001,-4.29617284051783,4.89573658048495e-05,0.310732842320653,-3.20001945277924,"gse174409"
"FAM174A-DT",-0.826742213524905,-0.157564636027186,-4.27341137290028,5.31955333806186e-05,0.310732842320653,-2.55199995795515,"gse174409"
"C1QTNF7",0.798006859580002,0.394962378376581,4.09134832221943,0.000102448660276566,0.440016160592488,-2.35150596078539,"gse174409"
"HMGN3-AS1",-0.47030253582952,1.33666402260141,-3.999279552771,0.000141842784245694,0.440016160592488,-1.82060913821558,"gse174409"
"SATB2-AS1",-1.19029338815429,1.41082721255139,-3.98209010476754,0.000150656069593411,0.440016160592488,-2.86260051083285,"gse174409"
"ADAMTS16",-1.15957851246598,1.17030080694682,-3.89965573595019,0.000200740357958477,0.502539147552051,-2.33698065289194,"gse174409"
"MPPED1",-0.636578309085496,5.1106097150809,-3.69445712053477,0.000403894947662877,0.723233392837735,-0.727445988424097,"gse174409"
"COX17",0.323208816323722,3.6733431780091,3.67493416115626,0.000431170398803234,0.723233392837735,-0.91131083320175,"gse174409"
"SNORA75",0.88848390670317,-1.40727520151149,3.65277014857355,0.000464258108446177,0.723233392837735,-3.52056074365751,"gse174409"
"VCPKMT",0.328811411167924,4.05040446080023,3.60459632124719,0.00054468891899278,0.723233392837735,-0.900929654299356,"gse174409"
"C1QL3",-0.960671451514275,4.17518129385593,-3.59490080112783,0.000562401601012314,0.723233392837735,-1.47911354667294,"gse174409"
"PTPRD-DT",-0.789260149965114,-0.230215423135638,-3.57950350400646,0.00059165850457245,0.723233392837735,-3.23770202908522,"gse174409"
"ADAMTS16-DT",-1.04774255208271,0.250921887860678,-3.56852311426086,0.000613398326283367,0.723233392837735,-3.04382266972123,"gse174409"
"DPP4",-1.07832190453175,0.47608265309896,-3.55020969060356,0.000651350501325612,0.723233392837735,-3.29932694007983,"gse174409"
"PRDM8",-0.629421318361646,3.15749374946699,-3.54602194824431,0.000660336355021899,0.723233392837735,-1.88758787203011,"gse174409"
"RPL7P24",-0.70701084054944,-0.651227058736146,-3.49022066529865,0.000791851896905566,0.805867486528863,-3.37009608592609,"gse174409"
"DNMT3B",-0.490885650160134,0.880995011250785,-3.46511319185765,0.000858784415418054,0.805867486528863,-2.75939907848738,"gse174409"
"XIST",-1.51875639213792,4.26162872361991,-3.45975534541437,0.000873743565627048,0.805867486528863,-3.28384999711749,"gse174409"
"STS",0.27502507623273,6.03196993456407,3.39163839676692,0.0010866905130129,0.846634417960566,-1.0525968681615,"gse174409"
"UTY",-0.540444294564155,0.496074252267738,-3.37733291689773,0.00113723433000156,0.846634417960566,-3.65702128444763,"gse174409"
"JPX",0.179999221988419,6.82259786693999,3.36962588311473,0.00116537438724155,0.846634417960566,-1.07248414729891,"gse174409"
"ZNF34",-0.257434631804778,3.33307711043417,-3.36857345789684,0.00116926751424523,0.846634417960566,-1.67119585074969,"gse174409"
"KRT18P46",-1.22312222092047,-2.47398307856078,-3.36372057857804,0.00118737821084997,0.846634417960566,-3.88670525603515,"gse174409"
"LINC00278",-0.809551472024266,-2.46947638240828,-3.35832574163301,0.00120782129930462,0.846634417960566,-3.78798582614549,"gse174409"
"LINC02983",-0.680474669183725,-0.534362777993557,-3.26613959101272,0.00161260860931186,0.939698696120753,-3.48712557408497,"gse174409"
"GTF2H2C",-1.12755978914038,-0.00734807641993195,-3.25697226673861,0.00165917183471216,0.939698696120753,-3.31714196000467,"gse174409"
"GLP1R",0.872373947129501,1.00246484556873,3.24931904461013,0.00169900686806276,0.939698696120753,-3.05342133523104,"gse174409"
"DHX8",0.105944083104379,5.94019740249218,3.24024855442221,0.00174737919582399,0.939698696120753,-1.40426689140333,"gse174409"
"TC2N",1.47991735174416,-1.54413112874992,3.23791887051426,0.00176000988011607,0.939698696120753,-3.78786983840124,"gse174409"
"QPCTL",0.308372304989223,2.16984779989087,3.22487902915793,0.00183230053165601,0.939698696120753,-2.42551139402583,"gse174409"
"NOS1AP",-0.529422517017271,4.74818212151603,-3.21361631569591,0.00189696724788239,0.939698696120753,-1.62068600996228,"gse174409"
"NUTM2A",-1.26644504994237,-1.72714458983555,-3.21271213966805,0.00190225028455154,0.939698696120753,-3.84178070216974,"gse174409"
"STAM-DT",0.808573969412365,-0.245697818211893,3.20869816661326,0.00192587030612154,0.939698696120753,-3.46542303927492,"gse174409"
"EDEM2",0.207675016927948,3.09170816260928,3.20277049487029,0.00196125366672419,0.939698696120753,-2.07404865763523,"gse174409"
"GAPDHP62",-0.76116903687055,-1.64646859291207,-3.20103873363858,0.00197170508483838,0.939698696120753,-3.82238968967266,"gse174409"
"RASGEF1C",-0.596171239838952,2.22139173478005,-3.19900088123687,0.00198407051794498,0.939698696120753,-2.48898934725268,"gse174409"
"RPSAP43",1.02336733960505,-1.43641206121988,3.17224819688927,0.00215327329380661,0.992998978964924,-3.82660437653723,"gse174409"
"KIF23",0.499018735502636,0.260982224219299,3.14332397706539,0.00235132068930267,0.999997118610791,-3.317586598681,"gse174409"
"RAB11B-AS1",0.46627419270128,0.665382509117063,3.13185082284313,0.0024344869030309,0.999997118610791,-3.1782499620118,"gse174409"
"SLC46A3",0.177698184911711,3.94860390097194,3.11042070409099,0.00259722161887361,0.999997118610791,-1.95788315578742,"gse174409"
"PLEKHG2",0.57462076093253,1.31862166686048,3.08188701326138,0.0028296538183482,0.999997118610791,-2.96519783979596,"gse174409"
"HS3ST2",-1.0995174820129,2.04393444290535,-3.06473976307062,0.00297849606456228,0.999997118610791,-3.10614502790163,"gse174409"
"SLCO4C1",-1.07441964962475,-0.358873908027424,-3.06181021557032,0.00300464186837095,0.999997118610791,-3.90281983331509,"gse174409"
"GYG2",0.523695610804193,3.36155744407297,3.05973188055931,0.00302331990736137,0.999997118610791,-2.23504440169017,"gse174409"
"LOC100287430",0.940303977697767,-1.59328923603722,3.04848576166765,0.0031262745070769,0.999997118610791,-3.89423494799091,"gse174409"
"INSRR",1.43176255020749,-1.41545365503619,3.04334886090634,0.00317437659492289,0.999997118610791,-3.92268930278319,"gse174409"
"PAPPA2",-0.284396301053217,2.67536521895585,-3.04254892184066,0.00318192880875188,0.999997118610791,-2.49163193794392,"gse174409"
"ZNF114",-0.570590734865807,0.0734986003020854,-3.03742324246829,0.00323071763583445,0.999997118610791,-3.46220722466117,"gse174409"
"PPP1R26-AS1",-0.421644559683171,1.67342468266821,-3.03365149121253,0.00326706168428287,0.999997118610791,-2.91275150008843,"gse174409"
"PHYH",0.214951304378521,4.3842847791257,3.02562537654561,0.00334566670644357,0.999997118610791,-2.03971637139335,"gse174409"
"BASP1-AS1",-0.369875688164191,3.89172288013568,-3.02478687699618,0.00335397915125395,0.999997118610791,-2.28172443522473,"gse174409"
"NENFP1",-0.922446815457232,-1.68514611188396,-3.00972814374306,0.00350656404141831,0.999997118610791,-3.92777782454809,"gse174409"
"LATS2",0.387372593661916,2.31391123544328,3.00810906756017,0.0035233472857951,0.999997118610791,-2.68148623217547,"gse174409"
"SPARC",0.403756038540087,7.90146239492293,3.00372826860044,0.0035691324626072,0.999997118610791,-1.91925612302031,"gse174409"
"KCNJ8",0.456488466593903,2.49588746140196,2.9923523498911,0.00369061379818799,0.999997118610791,-2.64853904079904,"gse174409"
"RRN3",1.03231594507727,0.729012845086182,2.98709955226783,0.00374799043974128,0.999997118610791,-3.28846181396521,"gse174409"
"ATP1B3",0.190827837464882,5.99118680295113,2.98705716525881,0.00374845677768054,0.999997118610791,-1.97454871223159,"gse174409"
"PGR",0.545302504692541,2.03816892897625,2.98670882752004,0.00375229119306607,0.999997118610791,-2.82265858820321,"gse174409"
"ATOSB",0.165773736025554,4.54358838297096,2.98443825126925,0.00377737427652072,0.999997118610791,-2.08953531374917,"gse174409"
"DTX4",-0.287933351698307,5.62019032983873,-2.97935920749323,0.00383404566843614,0.999997118610791,-2.00634789860081,"gse174409"
"TBX15",0.853280643375469,-0.549378734027248,2.97124888182948,0.00392617396585856,0.999997118610791,-3.70124700464457,"gse174409"
"RGS5",0.273334993186357,7.45567313456942,2.9690522316882,0.00395147680250506,0.999997118610791,-1.9959781522531,"gse174409"
"LINC03051",-0.196609176914703,4.65328111699827,-2.96242576646884,0.00402872289523779,0.999997118610791,-2.11961454712373,"gse174409"
"H3C10",0.909196669776555,-0.664075825727963,2.95011050427495,0.00417600644078061,0.999997118610791,-3.76401345654764,"gse174409"
"UCK2",0.153559414456134,5.15311402839841,2.94384466370346,0.00425283820249001,0.999997118610791,-2.10856783642242,"gse174409"
"DNAJC1",0.150499929905587,4.07006530287724,2.94317075694909,0.00426117899407002,0.999997118610791,-2.25185477195033,"gse174409"
"AKAP1-DT",-0.47894110228075,0.295466783906445,-2.93176625807094,0.004404641883232,0.999997118610791,-3.49039070022601,"gse174409"
"HERPUD1",0.19502316251668,5.88303721485793,2.92717754300246,0.00446361398345155,0.999997118610791,-2.10740170500044,"gse174409"
"TMSB4Y",-0.478040642994065,-2.01600723220969,-2.92712203344245,0.00446433180921149,0.999997118610791,-3.95328468388384,"gse174409"
"LOC284685",-0.685162170758858,-0.940006896275976,-2.92353350718322,0.00451096388859191,0.999997118610791,-3.81165991175656,"gse174409"
"FRMD6",0.364092903364409,4.57081453182017,2.92123473337134,0.00454107177194252,0.999997118610791,-2.22789401296247,"gse174409"
"SAYSD1",0.166128144826675,3.60190077962918,2.92063666437107,0.00454893524919042,0.999997118610791,-2.40419166805223,"gse174409"
"PIGG",-0.158377938602341,5.86229213100688,-2.91671907569517,0.00460075571103167,0.999997118610791,-2.13022550650113,"gse174409"
"CAPN13",-0.633071295775106,0.49984651164151,-2.91477255911627,0.0046267056140167,0.999997118610791,-3.43034823187766,"gse174409"
"PNPLA4",0.257346300200861,3.90538793468718,2.91437000009918,0.00463208913733773,0.999997118610791,-2.35139832388305,"gse174409"
"KCNS3",0.57303218804626,2.37631596953062,2.89102938865282,0.00495429326685689,0.999997118610791,-2.86457825480327,"gse174409"
"TRAK2",0.137780432714318,7.49698436227117,2.89066530662125,0.00495947897474534,0.999997118610791,-2.16743012187087,"gse174409"
"MYCT1",0.419468852144063,2.19895340542252,2.88791756694342,0.0049987773016031,0.999997118610791,-2.88384832611339,"gse174409"
"KCNT2",-0.350941476175651,5.73440209084993,-2.88094712789377,0.00509975947685101,0.999997118610791,-2.21296445115772,"gse174409"
"FAM162B",0.426816428145687,1.72615787084548,2.8695098014263,0.00526953287645912,0.999997118610791,-3.23754477376165,"gse174409"
"PRDX4",0.261338257676086,3.25813032536199,2.86924344218109,0.00527354794123245,0.999997118610791,-2.58963956247308,"gse174409"
"SLC47A1",0.425091540701325,1.76372419152009,2.86709903475444,0.00530597519256159,0.999997118610791,-3.08287465245511,"gse174409"
"SERTAD3",0.325392324871212,1.61740339091488,2.85768854936772,0.00545045938073354,0.999997118610791,-3.12568383973667,"gse174409"
"DGKG",-0.313789718758097,5.88992375392855,-2.85237039861351,0.00553370365888551,0.999997118610791,-2.26750154502713,"gse174409"
"PARPBP",-0.421029156740706,1.3473096168839,-2.85016233771919,0.00556860834559235,0.999997118610791,-3.21169228710877,"gse174409"
"LOC107984851",-0.946097592893078,-0.997052629294245,-2.84877781524139,0.00559059780367878,0.999997118610791,-3.91407473420834,"gse174409"
"SYAP1",0.148111772779698,5.77731130656382,2.84386551345341,0.0056692623063771,0.999997118610791,-2.28751915573882,"gse174409"
"PARN",1.73346065750937,-1.0331877943613,2.83833073791734,0.005759113044744,0.999997118610791,-3.8856593954889,"gse174409"
"EEF1AKMT1",0.252646001366142,2.31285814431375,2.83743645378262,0.0057737529079358,0.999997118610791,-2.91439788502946,"gse174409"
"FOXL1",0.882134958904289,-1.17757527055683,2.820623299326,0.00605543432888329,0.999997118610791,-3.91947865815191,"gse174409"
"ATAD5",-0.25322434364217,3.24514523245782,-2.81673438426318,0.00612235907334932,0.999997118610791,-2.67903174103485,"gse174409"
"ZNF90",0.531978564336563,0.134651658335339,2.80810084338198,0.00627336735284821,0.999997118610791,-3.62866497707438,"gse174409"
"NEPRO-AS1",-0.412092751408002,0.662384662075674,-2.80716769144118,0.00628989196838101,0.999997118610791,-3.46930045740061,"gse174409"
"NAV3",-0.143227106495348,7.63739527333257,-2.80180380281381,0.0063856545165439,0.999997118610791,-2.35793527356973,"gse174409"
"PHYHD1",0.346383894365802,2.76992307546701,2.78961730487647,0.00660821080301183,0.999997118610791,-2.85288263488269,"gse174409"
"C2orf92",-0.298999593621084,2.94529071855222,-2.78700462218345,0.00665684075560775,0.999997118610791,-2.79880967311214,"gse174409"
"GJD2",0.570475009224007,2.18752516306276,2.7828126457473,0.00673555154230029,0.999997118610791,-3.03571582054472,"gse174409"
"SMYD1",-1.33456979333456,-1.33507582747134,-2.77868393836466,0.00681390665886924,0.999997118610791,-4.07034256250128,"gse174409"
"INTS6L",-0.167048574193797,5.06251819724577,-2.77249048207262,0.00693301279953912,0.999997118610791,-2.46610821512203,"gse174409"
"ALDH3A2",0.224411330788745,7.0361122367111,2.77136756496076,0.00695481056865797,0.999997118610791,-2.42357021922724,"gse174409"
"PCDH17",-0.238157640254546,7.29415718711517,-2.77117378566258,0.00695857850086937,0.999997118610791,-2.42301146081921,"gse174409"
"PCDH18",0.299062061959892,3.39009773782389,2.77011028074731,0.00697929105519491,0.999997118610791,-2.7136651562976,"gse174409"
"PLXDC1",0.254805105843805,4.49421431083005,2.75715255017845,0.00723622385003353,0.999997118610791,-2.55268360435209,"gse174409"
"PERP",0.299414922925402,2.8998149400586,2.74973297822076,0.00738720897247651,0.999997118610791,-2.87719247860569,"gse174409"
"LINC00908",-0.645709856860034,0.877328500784918,-2.74581182657732,0.0074681606284488,0.999997118610791,-3.47448712802003,"gse174409"
"OLFML2B",-0.660199444975161,1.26783126924936,-2.74426777641721,0.00750025918829858,0.999997118610791,-3.40935537714824,"gse174409"
"MIR4500HG",-0.355718457602777,3.82781774380253,-2.74069183494722,0.00757508241013476,0.999997118610791,-2.73310849722667,"gse174409"
"ANOS1",0.211451497217731,6.11955088691357,2.74064256787546,0.00757611802288468,0.999997118610791,-2.49636454597235,"gse174409"
"RXFP1",-0.63948987986508,5.26724314533465,-2.73274552092574,0.00774379867219329,0.999997118610791,-2.57298008099022,"gse174409"
"SLC31A1",0.153224771586228,4.85274969586476,2.72215144536485,0.00797406893193354,0.999997118610791,-2.57760291170713,"gse174409"
"SFRP2",0.584185416620875,1.31100528067557,2.71888434933816,0.00804633217219161,0.999997118610791,-3.3700793636443,"gse174409"
"TCN2",0.291931725908835,3.42426977887791,2.71657649384701,0.0080977379819444,0.999997118610791,-2.79368119083672,"gse174409"
"LINC02458",-0.710391646120539,0.817024326206825,-2.71156627546242,0.00821036954485918,0.999997118610791,-3.71571157657856,"gse174409"
