"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Dataset"
"KDM5D",12.3802820276213,0.614973891771693,125.496132620967,8.53217873611038e-94,1.49517900171598e-89,155.264611339204,"gse174409"
"UTY",12.1055440135903,0.496074252267738,98.7966613441606,1.61064111568376e-85,1.41124374556211e-81,149.070530285188,"gse174409"
"ZFY",10.8870096089594,-0.290462928169297,95.4288582709426,2.53855893787007e-84,1.48285689424117e-80,147.866334603856,"gse174409"
"TTTY14",11.4428016474192,0.0677303039417736,93.2688913466037,1.56580047134014e-83,6.85977186494114e-80,147.228775755149,"gse174409"
"USP9Y",13.2833367292273,1.45081994888643,90.6273835635768,1.5340232327741e-82,5.37644462622666e-79,146.355361838693,"gse174409"
"EIF1AY",9.82442005506956,-0.824929650478843,71.73543506244,1.68619912767182e-74,4.92482558555349e-71,137.14295655686,"gse174409"
"DDX3Y",11.9222941808954,0.895465207531147,71.2913726295577,2.75312991865009e-74,6.89226409920346e-71,137.24291690692,"gse174409"
"LOC105377224",8.12656288265337,-1.6687149708605,71.1475634795052,3.22890743308767e-74,7.07292173217853e-71,135.842455364393,"gse174409"
"RPS4Y1",11.6887818782916,0.150223850316386,62.0826168346043,1.48195961031876e-69,2.88554002346955e-66,130.979615474529,"gse174409"
"TMSB4Y",7.4392679117772,-2.01600723220969,60.805580046125,7.58018152188692e-69,1.32835100989546e-65,128.377414411025,"gse174409"
"AGKP1",8.14763333911824,-1.5990103812001,54.9767481497525,2.02864912653749e-65,3.23182248122209e-62,124.051088898915,"gse174409"
"NLGN4Y",10.7988308549056,1.06109854657822,41.9104983369759,2.74819987247284e-56,4.0132878804345e-53,109.850383051436,"gse174409"
"XIST",-12.3369329921123,4.26162872361991,-37.9195820998988,5.72638539309317e-53,7.71916750988959e-50,106.627364248728,"gse174409"
"TTTY10",7.33949698463854,0.308462067261347,36.3812762593838,1.32321797599547e-51,1.65629084366747e-48,101.23993115941,"gse174409"
"LINC00278",6.45071802953554,-2.46947638240828,35.0440376373468,2.23545653288217e-50,2.61160935214848e-47,97.8154709925715,"gse174409"
"TSIX",-5.11878475430341,0.113514149081328,-28.7510863237123,5.45563435395301e-44,5.97528352616703e-41,87.2717993760248,"gse174409"
"ZFX",-0.566579726800125,6.63583731005485,-21.4192774132886,6.44665938332519e-35,6.64536817843474e-32,68.9581506950218,"gse174409"
"JPX",-0.646612157281494,6.82259786693999,-15.8482113423776,2.01183209728193e-26,1.9586303151538e-23,49.2849296752087,"gse174409"
"KDM5C",-0.503922679983219,6.71167842373533,-15.461278701571,9.00809931049706e-26,8.30831222721845e-23,47.7787997029237,"gse174409"
"KDM6A",-0.429089437742557,5.67159778948494,-12.4362418336646,2.12175190590793e-20,1.85907901995653e-17,35.3963615691287,"gse174409"
"PCDH11X",0.872567934890479,6.91632607157556,9.76906171492144,2.66964037800852e-15,2.22775133258196e-12,23.5772681863011,"gse174409"
"PUDP",-0.484354787430113,3.28993420621914,-8.89185883097189,1.40845283798907e-13,1.12189670604184e-10,20.0346784863024,"gse174409"
"DDX3X",-0.311030701239829,8.64946033696973,-8.41243956164005,1.23621359255004e-12,9.41887260688994e-10,17.4273297984709,"gse174409"
"STS",-0.42251598869647,6.03196993456407,-6.83328704145071,1.46848553561957e-09,1.07223918859156e-06,10.4308269281126,"gse174409"
"CD99",0.569086605844592,4.02142834071505,6.58074035273514,4.44530979444477e-09,3.11598435351401e-06,9.58188404872206,"gse174409"
"PNPLA4",-0.418879400517783,3.90538793468718,-6.39997895459268,9.75741915137247e-09,6.57650050802504e-06,8.83342171136365,"gse174409"
"SMC1A",-0.214659022249116,6.37327812747422,-6.27804602331301,1.65250183792194e-08,1.07253489658311e-05,8.01064268649921,"gse174409"
"ASMTL",0.381293311619974,4.27218797662842,6.25389253672141,1.83363462287813e-08,1.14759332611844e-05,8.14428253346865,"gse174409"
"PLCXD1",0.640950056637999,4.22342141021342,6.18352239570692,2.48093798591817e-08,1.49917094018035e-05,7.85929642598645,"gse174409"
"LOC107985433",1.7704708424295,0.820629392808824,6.15346325452713,2.82204366519062e-08,1.64844977296001e-05,8.43134033123836,"gse174409"
"ZBED1",0.31551531892187,4.91275512055349,5.83333976695352,1.09858167417204e-07,6.21017588973895e-05,6.27203367818378,"gse174409"
"PTPN20",0.754036802601757,3.66860734084367,5.82358702240474,1.14457891285401e-07,6.26800027151677e-05,6.46936536852121,"gse174409"
"FRG1CP",0.60885902478843,5.02381656778515,5.45112829665009,5.37733733493301e-07,0.000285552907446564,4.70078689207788,"gse174409"
"CA5B",-0.228265667118186,4.53486247493889,-5.09418167096316,2.27734823889095e-06,0.00117377207465662,3.35492223300636,"gse174409"
"CA2",0.456341765843829,5.79835135630594,4.98859853885943,3.46150641668057e-06,0.00173312681274029,2.79684277850437,"gse174409"
"FAM27C",-0.508792765826746,2.10497244831469,-4.86780003142153,5.5608485710575e-06,0.0027068975099781,3.00095593732548,"gse174409"
"MR1",-0.341539203311855,3.47933216789667,-4.83063643634845,6.42686101081466e-06,0.00304390033387881,2.54886066234186,"gse174409"
"DDX43",1.55549438624328,-1.62773690412598,4.81512532393542,6.82599459714383e-06,0.00314786129790391,3.44009849520347,"gse174409"
"ZNF665",-0.288704598794663,2.5890050300129,-4.77681680575699,7.91804462817639e-06,0.00355784138626059,2.54816553195345,"gse174409"
"INTS13",0.213308776691696,4.36419454732052,4.64060152795401,1.33580124817643e-05,0.00585214526826093,1.66548248851164,"gse174409"
"MSC-AS1",-0.380535080561919,2.17450601127586,-4.6154548550653,1.46998499884484e-05,0.00618108263007926,1.83219709916095,"gse174409"
"DEPDC7",0.666667475317764,1.1508347010589,4.61341469277,1.48142815831619e-05,0.00618108263007926,2.24157428510686,"gse174409"
"COG4",0.171254824071929,5.42318852073318,4.57854832922652,1.69089990323312e-05,0.00689100695447842,1.2824398536278,"gse174409"
"UBE2V1",-0.344612850521209,3.43981410297938,-4.44318504691435,2.81178432001501e-05,0.0110274448188534,1.13908149292145,"gse174409"
"RIMOC1",-0.201073081819359,5.81656834958388,-4.44128716106239,2.83174513152479e-05,0.0110274448188534,0.747776928347598,"gse174409"
"SPESP1",0.953059330855649,0.260118331419896,4.43435667179141,2.90580777502878e-05,0.0110698642281749,1.76627965147773,"gse174409"
"ZNF239",0.249121179096074,3.12583854767403,4.39958423222002,3.3066284669942e-05,0.0123287994160865,1.05418554526429,"gse174409"
"ZFP14",0.187437639361413,5.92330361926753,4.38459979276979,3.49539666426419e-05,0.0127570015644793,0.537251408817705,"gse174409"
"EIF2S3",-0.205655335540356,6.84737303624079,-4.37911472121177,3.56706845845403e-05,0.0127570015644793,0.479688645204883,"gse174409"
"FADS2",-0.263108849158725,6.75194183865257,-4.35759758755086,3.86219871936818e-05,0.0133661379635793,0.405712092519797,"gse174409"
"LIMK2",-0.463140762573917,4.47585432258697,-4.35565754005644,3.88993971777302e-05,0.0133661379635793,0.606155259604307,"gse174409"
"STRADA",-0.194874655124251,4.71088508982309,-4.32730184391348,4.31805864813981e-05,0.0145518576442312,0.468914854237136,"gse174409"
"LOC124906033",-1.1486204619907,-0.842726586857925,-4.31271794634231,4.55563371716097e-05,0.0150628160867036,1.52262265043415,"gse174409"
"IL3RA",0.575139309679486,0.129825994687204,4.29660139044417,4.83286118017194e-05,0.0156835295039506,1.30562821057352,"gse174409"
"CAPN5",-0.418010425961465,3.72363532131364,-4.26003807112379,5.52351541887851e-05,0.0175989244000777,0.411854963850731,"gse174409"
"PNKD",-0.188934545750441,5.51795364285833,-4.22738000574457,6.22017108772011e-05,0.0194646925252156,0.0141944101185043,"gse174409"
"WDR91",-0.155449129549404,5.12987821803135,-4.15728410027174,8.01286587924651e-05,0.02463464239788,-0.187150849126052,"gse174409"
"PXN",-0.486180897526551,3.3257715307835,-4.08085590323089,0.000105327302429287,0.0313284543820293,-0.11195374860081,"gse174409"
"LOXL2",-0.572294579931812,1.53269774369198,-4.08045686549598,0.000105476992041756,0.0313284543820293,0.272861740850412,"gse174409"
"MGST1",-0.373192377442914,5.01648308577597,-4.06598225243702,0.000111047173671504,0.0320615938942334,-0.481604214483699,"gse174409"
"RBM4B",0.191594445161144,4.10952603465499,4.06457260873445,0.000111604498262282,0.0320615938942334,-0.334149243777805,"gse174409"
