"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Sex","Dataset"
"SATB1",2.3391851416921,7.12419681300521,65.6263641256511,3.40859855563033e-43,5.89994323994054e-39,88.5315429157799," Female","gse174409"
"NRN1",4.64154807018429,5.05938942683446,52.7242695057105,2.45487236075053e-39,2.12456928461154e-35,79.3429441189733," Female","gse174409"
"MAPK10",1.38694758129703,9.17452544820835,50.9984766768103,9.43229702128638e-39,5.44212097138153e-35,78.5053959215824," Female","gse174409"
"STX1A",3.19297417160541,5.58759297161319,49.8516034497123,2.36490657903256e-38,1.02335419941186e-34,77.4905711792214," Female","gse174409"
"RIMS3",2.05853579813873,8.37669016349457,48.9246748849521,5.04668774492438e-38,1.74706236353792e-34,76.8394693759323," Female","gse174409"
"MICAL2",2.57513761124758,6.76267298646762,48.1220556466767,9.8392274016983e-38,2.8384531182666e-34,76.165867999913," Female","gse174409"
"PBX3",-2.91801266615266,4.42035775573035,-47.3828432614539,1.8372657876637e-37,4.54303335981015e-34,75.2822137942455," Female","gse174409"
"NR2F1-AS1",2.51354810014899,6.527957890138,46.2751582115514,4.76773268626844e-37,9.84923672356719e-34,74.5952001430235," Female","gse174409"
"SATB2",3.48837764848984,5.67810764305866,46.1930936912637,5.12121615992286e-37,9.84923672356719e-34,74.4661421728698," Female","gse174409"
"OLFM1",2.89379957923863,7.68631283872609,44.9109749221604,1.59101541604842e-36,2.58974386172885e-33,73.400081538313," Female","gse174409"
"CABP1",3.25935441158559,5.79252311972124,44.8732143323105,1.64580174932216e-36,2.58974386172885e-33,73.332554105263," Female","gse174409"
"COL5A2",3.00285984152852,5.26498397348439,44.4983015852292,2.30679274340809e-36,3.21693272675952e-33,72.9663440915098," Female","gse174409"
"NLK",1.71294222822337,7.10763894295956,44.4471319517971,2.41609136564063e-36,3.21693272675952e-33,72.9830583931434," Female","gse174409"
"NUAK1",2.80973295297827,6.89810621214594,44.2491742829233,2.89135663991364e-36,3.57474943430465e-33,72.8025136644702," Female","gse174409"
"MFSD4A",2.53392298165929,6.124176773667,43.5837135514724,5.31797867551221e-36,6.13659285962939e-33,72.1902089858557," Female","gse174409"
"FBXW7",2.368041009091,8.05102109315021,42.5696494308031,1.36952228520697e-35,1.48156632716547e-32,71.2483075573182," Female","gse174409"
"OTOGL",3.73084820323697,3.92658269705574,42.1847297039636,1.97227123332601e-35,2.00812016339058e-32,70.5151442085591," Female","gse174409"
"GTDC1",1.84708237664168,6.68064649594085,41.5320271364282,3.68759605565702e-35,3.54603334040929e-32,70.25914821985," Female","gse174409"
"DOC2A",2.56395093687188,4.61431825722549,41.1924447808575,5.12575686620774e-35,4.66956450511525e-32,69.8646962101501," Female","gse174409"
