Gene	Mock_1	Mock_2	Mock_3	Morphine_1	Morphine_2	Morphine_3
Epb4.1l4b	678	572	676	450	381	621
Epb4.1l5	129	122	119	130	123	179
Epb4.2	11	35	19	9	11	25
Epc1	1904	1391	1687	1854	1709	2369
Epc2	805	538	774	769	649	854
Epcam	1	7	4	4	7	10
Epdr1	331	189	249	290	323	390
Epg5	605	348	454	505	470	650
Epgn	10	17	3	2	0	7
Epha1	61	49	57	59	74	80
Epha10	25	45	24	34	28	25
Epha2	14	11	14	19	8	9
Epha3	17	21	25	12	15	23
Epha4	718	636	715	451	416	468
Epha5	90	91	65	57	53	71
Epha6	7	23	11	6	13	17
Epha7	43	68	63	36	32	73
Epha8	6	6	7	2	8	4
Ephb1	3167	1974	2830	2631	2676	3158
Ephb2	111	113	89	45	48	59
Ephb3	49	31	25	58	19	44
Ephb4	9	23	15	14	16	28
Ephb6	85	69	93	64	85	120
Ephx1	155	98	109	109	159	183
Ephx2	31	23	31	26	31	38
Ephx3	9	4	5	5	4	6
Ephx4	13	11	20	14	24	27
Epm2a	137	86	125	108	113	152
Epm2aip1	3543	2505	3183	3547	3833	4950
Epn1	671	478	739	605	635	850
Epn2	3515	2470	3191	2667	2718	3447
Epn3	18	7	3	2	13	16
Epo	3	0	0	1	3	1
Epor	4	2	2	1	3	2
Eppin	2	10	8	1	3	9
Eprs	1790	1216	1664	1686	1533	1905
Eps15	7419	4972	6395	6202	5639	7205
Eps15l1	717	459	615	591	619	761
Eps8	138	91	109	109	117	119
Eps8l1	186	72	121	149	157	189
Eps8l2	104	56	38	36	24	44
Eps8l3	12	17	10	10	8	20
Epsti1	6	24	8	7	8	9
Ept1	1195	795	944	1082	1083	1369
Epx	8	6	5	7	8	9
Epyc	6	7	12	11	6	10
Eqtn	17	10	13	8	12	11
Eral1	174	146	171	161	195	192
Erap1	66	75	47	79	84	75
Eras	0	1	3	1	1	1
Erbb2	9	18	13	12	12	17
Erbb2ip	9211	6713	7988	7277	6760	8823
Erbb3	3216	2408	2759	1586	1374	1934
Erbb4	2854	2226	2522	2723	2589	3264
Erc1	524	336	425	381	422	567
Erc2	46	34	42	26	31	56
Ercc1	197	132	160	156	114	182
