baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Cdkn1a	2854.30418149184	5.35498720531205	0.104960967239054	51.0188439204814	0	0
Phactr3	5035.86206148223	2.83049716073981	0.0747733646660136	37.8543505883766	0	0
Sgk1	16426.7989816223	3.94529249457348	0.0792214631470052	49.8008031895662	0	0
Tma16	4023.54014212336	3.97937021413116	0.0796365993926924	49.9691127506421	0	0
Pdxk	8179.74631413293	2.62467043142265	0.0754753675420921	34.775192448833	5.76914494425823e-265	1.85928003263554e-261
Sgk3	2923.6123502351	2.57915951080403	0.0746722288909047	34.5397418707316	2.03213424516216e-261	5.45763520442383e-258
Polr3e	1809.37872248651	2.76942454277052	0.0844678918632704	32.7867131720705	9.10714096178818e-236	2.09646384940364e-232
Sh2b2	630.497236106095	4.67072097660102	0.151201799851442	30.8906440345953	1.59528125999518e-209	3.21329527794529e-206
Fkbp5	1093.51724659134	3.4076196928796	0.11051462346169	30.8341067104198	9.15000359244617e-209	1.6382573098742e-205
Zfp365	4780.34526715513	2.11480135070974	0.0702798460917576	30.0911494306441	6.32602880047394e-199	1.01937628090837e-195
Pcdh11x	2114.98687586	2.33879419381661	0.0777933392421177	30.0641959401889	1.42429934851493e-198	2.08646906381542e-195
Aff1	2569.25994656612	2.3030599740216	0.077658373593145	29.6562993462549	2.81307383635342e-193	3.77748931658325e-190
Elmsan1	2454.12847770458	2.28121818551996	0.077215323386395	29.5435942695527	7.93716320682964e-192	9.83841907037329e-189
Zfand4	447.491923297103	4.11768271484956	0.15106811368415	27.2571266988791	1.36812934392881e-163	1.57471687486206e-160
Nfkbia	1165.47146883383	2.73437767542026	0.100589957989399	27.1834060782531	1.02046177173723e-162	1.09624806598491e-159
Arrdc2	728.810161462592	2.94354149817149	0.110592637135099	26.6160711456378	4.42353731518949e-156	4.45505501856021e-153
Pla2g3	863.951161497096	3.02430688428281	0.117878730243537	25.6560863697344	3.61600168846338e-145	3.42754418869993e-142
Arid5b	10014.7678265853	1.99392141294556	0.0778417620610648	25.615060093082	1.0367714065829e-144	9.28140802537603e-142
Cxcl12	1850.15991816088	1.71803783284609	0.0721240545539659	23.8205941619739	2.04354692491169e-125	1.73314290252774e-122
Enah	2639.0776003088	2.19806052319624	0.0931919556944088	23.5863761718235	5.31825814306871e-123	4.28492058587046e-120
Znfx1	3283.08131854169	1.9230632476878	0.0850961842908748	22.5987012662567	4.46305566729021e-113	3.42465138203402e-110
Garnl3	529.317648844516	2.62251319352325	0.118828880177895	22.0696617657018	6.18524680913628e-108	4.53041214011009e-105
Slc6a1	10911.6608523844	1.68920437026471	0.0770089608890457	21.9351663853576	1.19998319249962e-106	8.40718659301687e-104
Map7d2	3026.83676262869	1.89942149390522	0.0871060755550216	21.8058439873741	2.04205627100282e-105	1.37107061462248e-102
Hspa5	6191.37565802518	-1.54174713952305	0.0714445302801219	-21.5796385458498	2.7904061119531e-103	1.79858416352049e-100
Rapgef2	2361.19720967262	1.52351276060328	0.0707830886519556	21.5236829816015	9.3437509249961e-103	5.79096932328412e-100
Nt5c3	1412.38367754754	2.48090418866389	0.115428735212551	21.4929513356924	1.8121815186257e-102	1.08153677744943e-99
Ddc	1012.76251513871	1.90809460118527	0.0896310873889405	21.2883125349733	1.45679659398282e-100	8.38386439837114e-98
Rhoj	863.226967366518	2.61835474210134	0.125862188781828	20.8033466400306	4.03638925401657e-96	2.24284056686976e-93
Fnip2	1355.1418645933	1.6269069247854	0.0785042425615342	20.7238089522382	2.11290861838188e-95	1.13491364922019e-92
Rtkn2	1890.42115588735	1.4632693730435	0.0706178066112823	20.7209688782619	2.24129770395175e-95	1.16504100649931e-92
Slc25a13	868.726502446011	2.03172213336749	0.0983182362926385	20.6647536609605	7.19231309058992e-95	3.62177916068019e-92
Setdb2	541.227864860609	2.60527604865303	0.127087174496234	20.499913220828	2.15677715205348e-93	1.05316081903606e-90
Zswim5	919.082849435416	1.89119898353287	0.0923569791001996	20.4770554641147	3.44886856448599e-93	1.63456082494492e-90
Spns2	3449.64952130156	1.56482364809537	0.0769892812562569	20.3252144007799	7.69521432473396e-92	3.54287667510751e-89
Fam214a	2528.53090798073	1.65040262934794	0.0832193256750911	19.8319635007801	1.57759581651877e-87	7.06149416316207e-85
Errfi1	2184.73350403147	1.7955303314868	0.091047943177736	19.720712723644	1.43196410380697e-86	6.23639718074203e-84
Dclre1b	773.153459230797	2.04338580247673	0.10419440347029	19.6112817427798	1.23870608510612e-85	5.25276575142107e-83
Ddit4	1876.10774068564	2.00424163053891	0.10299978996671	19.458696286533	2.45962274521248e-84	1.01626566452189e-81
Pnpla2	1111.61995153153	1.88243535996066	0.0968049233764467	19.4456572486547	3.17184192407405e-84	1.27777651911323e-81
Ptpdc1	3741.38760675748	1.33389215075057	0.0697806282572772	19.1155079004532	1.87584995307978e-81	7.37254783998234e-79
Ppp1r13b	1097.51568497935	1.67687880214754	0.0879976740106816	19.055944614445	5.86483508796048e-81	2.2501417287475e-78
Sh3rf1	852.853121719746	1.81632717114316	0.0955833655387315	19.0025446468211	1.62472932985825e-80	6.08857870263625e-78
Lamc1	2512.14307428713	1.40129262554336	0.0746207578665896	18.7788581301822	1.12472888245321e-78	4.11906391178432e-76
Tob2	2725.88701636004	1.36715430980976	0.0738884259613253	18.5029562075846	1.95453265096225e-76	6.99896425280128e-74
Phactr4	3658.23851362199	1.50232374001029	0.0818764762194264	18.3486614150822	3.38345587797271e-75	1.18523930473157e-72
Strn	8802.33289657873	1.17437095997425	0.0644682235052225	18.2162761143731	3.83374108790949e-74	1.31440221043774e-71
Pdk4	577.202552890868	2.04976619675393	0.113265018221686	18.0970808899007	3.3601008532756e-73	1.12801385728506e-70
Hipk1	3878.99418372525	1.11063323592855	0.0615134406435482	18.0551311113343	7.18910275211643e-73	2.36418779076743e-70
Rab31	5988.43927141122	1.120833717294	0.0622478864546092	18.0059722688144	1.74901405370365e-72	5.63672249227611e-70
Plagl1	1883.96306646322	1.52471434083941	0.0857039802766124	17.7904729269089	8.37699041699755e-71	2.64680046234311e-68
Azin1	855.315685933547	1.74514107307073	0.0981602415596694	17.77849203855	1.03732677386795e-70	3.21451608348235e-68
Smox	1130.872235295	1.58179757219614	0.0921251215046524	17.1701002545354	4.44651303535948e-66	1.35190775569401e-63
Itgad	471.145177109759	2.30299547006455	0.134408737586261	17.1342690320748	8.23817631005498e-66	2.45833283444863e-63
Fam117b	1472.83083909499	1.38222045758274	0.0807552470871933	17.1161690099261	1.12435617473397e-65	3.29415916357513e-63
Per1	1371.84782270967	1.39599174225363	0.0823137790422031	16.9593931720458	1.64029693643243e-64	4.71995443458432e-62
X4930506M07Rik	2422.89064374945	-1.18148309233241	0.0697307845679189	-16.9434934606483	2.14970770018069e-64	6.07726138258098e-62
Bcat1	1798.90237725477	1.73758774927999	0.102797493588776	16.9030166847347	4.27466633863951e-64	1.18762023070409e-61
Sema6d	6981.16749341241	-0.97268493839113	0.0578159374578615	-16.8238202329602	1.63281865074635e-63	4.45953215900451e-61
Fam107a	2180.50583003337	1.79546249853417	0.107797314456472	16.6559112125114	2.74136875676551e-62	7.36240269108657e-60
Hivep2	769.837665217849	1.60574566816645	0.0967309310182835	16.6001262601612	6.9544491100574e-62	1.83711463867975e-59
Rnpep	509.993710310069	2.16964038475562	0.132073054678379	16.4275778283396	1.21412571376305e-60	3.15555189541576e-58
Armc5	495.182287523863	2.06223303082064	0.127189875658163	16.2138143476382	4.02775551443784e-59	1.0302103549151e-56
