"gene","effect_size","pval","adj_pval"
"ST18",0.0899862329834026,0.057205918831266,0.797295035975832
"IL1RAPL1",0.0657349502007797,0.164766790475245,0.9988234108663
"CTNNA2",-0.161731361184046,0.00063090555021899,0.0504724440175192
"NRXN1",-0.143921271932093,0.00235342873400534,0.126848424418129
"CTNNA3",0.0817038636042748,0.0842219567048239,0.908053441561444
"GRID2",-0.0373495301752929,0.429918872746183,0.9988234108663
"DPP10",-0.196830938778283,3.18597900668519e-05,0.00579268910306398
"RNF220",0.0779062958844304,0.0996729062611436,0.977978855429855
"NRXN3",0.143770807569714,0.00237840795783991,0.126848424418129
"AC008571.2",-0.149591354797837,0.00157009658309726,0.0937371094386423
"SLC24A2",0.0997506581053306,0.0350230561281414,0.622632108944736
"CNTNAP2",-0.0308466584624488,0.514464834989306,0.9988234108663
"PLP1",0.0911004512047832,0.0541941374816127,0.771446796891284
"PDE1A",-0.219389945257988,3.54354729762119e-06,0.00141741891904847
"XIST",-0.107204262235964,0.0234750698238618,0.541119701279664
"AC012494.1",-0.185080763926371,9.17531160310903e-05,0.0122337488041454
"NRG3",-0.11040973793373,0.0196294379399526,0.518467956860543
"RORA",-0.0720891993156128,0.127632365304296,0.9988234108663
"GPC5",-0.0576279837937571,0.223266741796205,0.9988234108663
"GPM6A",-0.119012107902252,0.0118979814080597,0.385795567123707
"PALM2-AKAP2",0.183986760642238,0.000100946788349192,0.0129626106903019
"KIRREL3",-0.0583215700387046,0.217745402046823,0.9988234108663
"KCNIP4",-0.0650905757619218,0.168945820919629,0.9988234108663
"LRRTM4",0.00967776328133013,0.837942401240348,0.9988234108663
"LRMDA",-0.0875312457747277,0.0643349697722778,0.822044378604786
"DSCAM",-0.104178647604169,0.0276885469324926,0.574064153632963
"LAMA2",0.11525530763898,0.0148605005895207,0.451250623773683
"MBP",0.112308783343492,0.017620857154317,0.495834748664039
"SLC1A2",-0.0865291723448072,0.0674484638989895,0.830322542355654
"SLC7A14-AS1",0.0908145487816607,0.0549540363185593,0.779489876858997
"PTPRZ1",-0.101346522781882,0.0322081215587249,0.599220866208836
"NLGN1",0.0419999566163972,0.374750144726311,0.9988234108663
"LHFPL3",-0.052371329982373,0.268382407049371,0.9988234108663
"DPP6",-0.303251921412375,1.46661263924244e-10,5.86645055696977e-07
"LINC01608",-0.0484078672194071,0.306292199305302,0.9988234108663
"SOX5",-0.104616328259057,0.027041314370389,0.566310248594533
"PCDH9",-0.0283985263858858,0.548397314033389,0.9988234108663
"AC092691.1",-0.17560461230033,0.000206311824850032,0.0211601871641059
"CSMD1",-0.0304058550870946,0.520493061877851,0.9988234108663
"NKAIN2",-0.0976228151296594,0.0391009704150375,0.668321367226387
