"gene","effect_size","pval","adj_pval"
"ST18",0.00263803260546331,0.949948612082458,0.999766669822232
"NRXN1",-0.101017477173889,0.016230752653974,0.424333402718274
"IL1RAPL1",-0.0151792314892905,0.717960463473081,0.999766669822232
"CTNNA2",-0.0122485643025149,0.770706070336417,0.999766669822232
"GRID2",-0.0324158772153605,0.440512839760691,0.999766669822232
"PLP1",-0.0197091409993807,0.639088248501248,0.999766669822232
"SLC24A2",0.0427651170468978,0.308875216682249,0.999766669822232
"NRXN3",0.147665765948181,0.000441963050666192,0.0420917191110659
"CNTNAP2",-0.12816513845121,0.00229103130520236,0.123839530010939
"RNF220",-0.0225767391065596,0.591124137007666,0.999766669822232
"CTNNA3",-0.0129886283095674,0.757275062029087,0.999766669822232
"XIST",-0.0646162256160698,0.124164422228008,0.999766669822232
"AC008571.2",-0.338520817830652,7.94683240153205e-16,3.17873296061282e-12
"GPM6A",-0.0443283491973542,0.291525170061376,0.999766669822232
"DSCAM",-0.0715811455901268,0.0885203539415974,0.985443041200072
"PDE1A",-0.214646333082985,3.2652767741865e-07,0.000163263838709325
"GPC5",0.0548865691995641,0.191548526748246,0.999766669822232
"AC012494.1",-0.250890113056419,2.37448573806393e-09,2.37448573806393e-06
"RORA",0.00434854167729837,0.917588025579654,0.999766669822232
"LRMDA",-0.00801045815730019,0.848833662471714,0.999766669822232
"NRG3",0.0106450580123018,0.800039155927486,0.999766669822232
"SLC1A2",-0.0575334051533932,0.171001576648866,0.999766669822232
"KCNIP4",0.00730855294200551,0.861940009177825,0.999766669822232
"KIRREL3",-0.0438881230000718,0.296343540219616,0.999766669822232
"PALM2-AKAP2",0.0789278254447996,0.0603719471839265,0.832716512881744
"LAMA2",0.103799754949631,0.0135155142251823,0.383418843267582
"NLGN1",-0.00406180272711522,0.923004701213578,0.999766669822232
"LRRTM4",0.0554003450962051,0.187424316797065,0.999766669822232
"ANK3",0.026260321436877,0.532064508627875,0.999766669822232
"ARHGAP24",0.0516106407429568,0.21942370403312,0.999766669822232
"LHFPL3",-0.00361649373890171,0.931423854652889,0.999766669822232
"AC092691.1",-0.0705682768169897,0.0931220209994498,0.999766669822232
"PCDH9",-0.0591400217115151,0.159361669013431,0.999766669822232
"SOX5",-0.0398199966339701,0.343380685194041,0.999766669822232
"MBP",0.0139440575962276,0.740043849907792,0.999766669822232
"DPP10",-0.0610488467863319,0.146323270157747,0.999766669822232
"SLC8A1",-0.0452770447030606,0.281321396272983,0.999766669822232
