"gene_id","mean_count","median_count","min_count","max_count","var_count","cv_count","zero_samples","pct_zeros","log_mean"
"ENSMUSG00000000001",1127.2,1156,743,1453,37309.8666666667,0.17136055828692,0,0,3.05238609538937
"ENSMUSG00000000003",0,0,0,0,0,NA,55,100,0
"ENSMUSG00000000028",44.4181818181818,43,1,96,306.692255892256,0.39426718085264,0,0,1.65722974454387
"ENSMUSG00000000031",4.50909090909091,1,0,61,84.4767676767676,2.03835420089497,21,38.1818181818182,0.741079939008061
"ENSMUSG00000000037",18.9818181818182,18,1,47,117.721885521886,0.571598125062221,0,0,1.30063500292925
"ENSMUSG00000000049",6.76363636363636,6,0,28,28.1468013468013,0.784394019161032,4,7.27272727272727,0.89006518553078
"ENSMUSG00000000056",1757.85454545455,1702,1204,2498,108982.45993266,0.187799904436486,0,0,3.24522992546177
"ENSMUSG00000000058",839.654545454545,787,270,1905,224964.378451178,0.564880047035147,0,0,2.92461756556638
"ENSMUSG00000000078",1226.94545454545,1286,556,2053,203411.941414141,0.367589389028587,0,0,3.08917907583117
"ENSMUSG00000000085",1280.45454545455,1249,753,2139,87128.4006734007,0.230523765485467,0,0,3.10770320590975
"ENSMUSG00000000088",3925.38181818182,3790,2104,6709,691852.314478114,0.211896992402649,0,0,3.59399252997275
"ENSMUSG00000000093",76.8363636363636,63,26,179,1341.47272727273,0.476676915715667,0,0,1.89118253834007
"ENSMUSG00000000094",6.34545454545455,5,0,30,43.2673400673401,1.03661469492192,5,9.09090909090909,0.866018675616361
"ENSMUSG00000000103",0,0,0,0,0,NA,55,100,0
"ENSMUSG00000000120",397.181818181818,130,24,2980,331105.966329966,1.4487523176,0,0,2.60008142534587
"ENSMUSG00000000125",94.9818181818182,81,24,308,3074.98114478114,0.583822394448735,0,0,1.98218897250671
"ENSMUSG00000000126",324.763636363636,50,3,1096,115745.10976431,1.04757211612634,0,0,2.51290260419591
"ENSMUSG00000000127",548.363636363636,532,376,786,12762.7912457912,0.206017534359263,0,0,2.73985990909023
"ENSMUSG00000000131",3009.72727272727,2885,1840,4053,220819.016835017,0.156131701386215,0,0,3.47867141665056
"ENSMUSG00000000134",1282,1283,699,2257,86198.6666666667,0.229014114222781,0,0,3.10822665637493
"ENSMUSG00000000142",773.890909090909,748,430,1355,41970.3212121212,0.264722832751045,0,0,2.88924056584225
"ENSMUSG00000000148",634.054545454545,623,447,826,11038.3117845118,0.165700839273833,0,0,2.80281102887082
"ENSMUSG00000000149",4820.67272727273,4694,3093,6876,839796.668686869,0.190098821844445,0,0,3.68319772915154
"ENSMUSG00000000154",15.8727272727273,15,1,53,141.039057239057,0.748200758165526,0,0,1.22718528672462
"ENSMUSG00000000157",0.127272727272727,0,0,6,0.66868686868687,6.42504312346011,53,96.3636363636364,0.05202900000401
"ENSMUSG00000000159",7.81818181818182,6,0,30,46.5218855218855,0.872414525865778,4,7.27272727272727,0.94537904910802
"ENSMUSG00000000167",36.2727272727273,38,6,75,288.498316498316,0.468264712108309,0,0,1.57139117156151
"ENSMUSG00000000168",3806.25454545455,3772,2261,5641,420771.711784512,0.17042191409429,0,0,3.58061191384897
"ENSMUSG00000000171",2117.43636363636,2093,1143,3012,227425.954208754,0.225221395788406,0,0,3.32601542262699
"ENSMUSG00000000182",8.29090909090909,6,0,26,46.9508417508418,0.826455621876114,2,3.63636363636364,0.968058210640469
"ENSMUSG00000000183",0,0,0,0,0,NA,55,100,0
"ENSMUSG00000000184",1531.36363636364,1621,638,2638,290675.198653199,0.352067274972758,0,0,3.18536183744182
"ENSMUSG00000000194",1894.50909090909,1902,1334,2556,97353.5138047138,0.164694509837208,0,0,3.27772587165466
"ENSMUSG00000000197",4692.92727272727,4795,1680,7997,3049531.29090909,0.372111183914477,0,0,3.67153635639638
"ENSMUSG00000000202",756.618181818182,746,413,1377,58726.4996632997,0.320287717573152,0,0,2.87945038860419
