"sample_id","cells_retained","total_cells","cells_removed","removal_percentage"
"D1",7471,12283,4812,39.18
"D2",9305,13118,3813,29.07
"D3",11322,15464,4142,26.78
"N1",7547,11471,3924,34.21
"N2",11149,15580,4431,28.44
"N3",10189,14405,4216,29.27
"W1",4975,10268,5293,51.55
"W2",9485,14115,4630,32.8
"W3",8034,15000,6966,46.44
