TF,Activity_Score,P_value,FDR,Significant
SPI1,-4.738814274553814,2.149724216962439e-6,5.395807784575723e-4,TRUE
NFKB1,-4.250993683130268,2.1282417125689377e-5,0.0021906223734598743,TRUE
ZNF263,-4.204355300051327,2.6182737531392916e-5,0.0021906223734598743,TRUE
NR2F6,-3.1442175305723707,0.0016653159750800006,0.10034446759639719,FALSE
MEIS2,3.0749260958516613,0.0021055472061323947,0.10034446759639719,FALSE
NR2F1,3.0358391959304276,0.0023986725321847933,0.10034446759639719,FALSE
REST,-2.8586047288614957,0.004255086248643197,0.1525752354870632,FALSE
TBX21,-2.7149083717606386,0.006629410973873273,0.18858653327886638,FALSE
CUX1,2.6903336681642465,0.007138060875985401,0.18858653327886638,FALSE
THAP11,-2.673188239212046,0.007513407700353241,0.18858653327886638,FALSE
REL,-2.5397926155374644,0.011091821700946717,0.20256157152059204,FALSE
HNF1A,2.5161105089866407,0.011865797110332718,0.20256157152059204,FALSE
FOXP1,-2.5135163654930146,0.011953423176185389,0.20256157152059204,FALSE
NANOG,2.512759815357511,0.011979086067926914,0.20256157152059204,FALSE
MEF2A,2.509060550950626,0.012105273198441754,0.20256157152059204,FALSE
HNF4A,-2.420386461070579,0.01550402010128136,0.23209946762099443,FALSE
THAP1,2.411929204264203,0.01586836242456596,0.23209946762099443,FALSE
HOXB13,2.3944660708381313,0.016644583335370118,0.23209946762099443,FALSE
SREBF2,2.3528437428610167,0.018630461181425126,0.23791456036498548,FALSE
EHF,2.3303590202085553,0.01978718376842902,0.23791456036498548,FALSE
MAFK,2.3279892829993556,0.019912672744455892,0.23791456036498548,FALSE
NCOA2,2.3106341909014776,0.020853069035974826,0.23791456036498548,FALSE
MYOD1,2.2131128808997094,0.02688986427789111,0.29345025798915947,FALSE
GABPA,2.1755271582480056,0.029590635222872846,0.30946872670587855,FALSE
STAT2,-2.143291626431974,0.032089688790073366,0.3188880730283658,FALSE
SIX2,2.131691322248392,0.033032230672261,0.3188880730283658,FALSE
ASCL1,2.024506704683667,0.04291804282287042,0.3989788425385361,FALSE
FOXK2,1.9546335437185465,0.050626339146784285,0.4493607467160989,FALSE
JUN,-1.940935230792926,0.052266134029231436,0.4493607467160989,FALSE
NFYB,1.9266721471617754,0.05402050110342371,0.4493607467160989,FALSE
CDX2,-1.9046474030109872,0.056825920302538434,0.4493607467160989,FALSE
IRF1,-1.9010992067102657,0.05728901950165404,0.4493607467160989,FALSE
USF1,-1.8806897652924945,0.0600141327215402,0.4516240480831278,FALSE
MYB,-1.8498011183755412,0.06434221962356075,0.4516240480831278,FALSE
CEBPA,-1.847968062067013,0.06460696323103013,0.4516240480831278,FALSE
SPIB,-1.8462239851057562,0.06485968971818677,0.4516240480831278,FALSE
FOXA1,1.8345387387302805,0.06657406286484353,0.4516240480831278,FALSE
PRDM14,1.8209808891463313,0.06860976194950173,0.453185532876972,FALSE
ARNT,1.804995658707258,0.07107536137700965,0.4536843893287692,FALSE
CTCFL,1.7972225179022296,0.07230030108825007,0.4536843893287692,FALSE
BHLHE40,-1.7768326485605637,0.07559577843682927,0.458933152546398,FALSE
ZNF740,1.7630523175609578,0.07789166623933001,0.458933152546398,FALSE
SNAPC4,1.7563883197116321,0.07902212587706606,0.458933152546398,FALSE
MAFF,1.7480785128873626,0.08045043311570324,0.458933152546398,FALSE
MXI1,-1.7374239781744152,0.08231236189273967,0.4591200630017257,FALSE
E2F4,1.7084562064386477,0.08755172570759456,0.4674363285010416,FALSE
RELB,-1.6955247323008622,0.089975922572144,0.4674363285010416,FALSE
MYC,1.6749303473029822,0.09394789854853677,0.4674363285010416,FALSE
ZBTB33,1.6719514232598272,0.0945339013497223,0.4674363285010416,FALSE
RARA,-1.6706800706387293,0.09478488737811146,0.4674363285010416,FALSE
E2F6,-1.6630118160367178,0.09631007027143651,0.4674363285010416,FALSE
ZEB1,1.6601100632696097,0.09689231282689513,0.4674363285010416,FALSE
BACH2,1.6511806409372214,0.09870169486276975,0.4674363285010416,FALSE
KLF4,-1.628167899589423,0.10348928931388263,0.48103354847749147,FALSE
STAT3,-1.6133858666216445,0.10666070178021494,0.4867606572151627,FALSE
ATF1,-1.598425414981102,0.10994833220621997,0.49280413185287875,FALSE
SREBF1,1.5725687209632133,0.11581871511081607,0.5013574182256686,FALSE
HBP1,-1.5686892939160686,0.11672035443804588,0.5013574182256686,FALSE
ZBTB11,1.5599116841586516,0.1187807529491547,0.5013574182256686,FALSE
NRF1,1.5554186518073063,0.11984639479498053,0.5013574182256686,FALSE
ZNF384,1.523989669359552,0.1275112918456033,0.5108291566182475,FALSE
STAT1,-1.5142824347060362,0.1299542216482192,0.5108291566182475,FALSE
MEF2C,1.5128262729348858,0.13032379332308452,0.5108291566182475,FALSE
BATF,-1.5090023689418575,0.13129817739841768,0.5108291566182475,FALSE
SP4,1.5051464271490047,0.13228643498082104,0.5108291566182475,FALSE
SIX5,1.4742065737927226,0.14042598044022236,0.5266011225239158,FALSE
KLF1,1.4736834775103775,0.14056683350239982,0.5266011225239158,FALSE
NCOA1,1.4574430597748311,0.14499411824691688,0.5318885006593217,FALSE
FOS,-1.4530266285714573,0.14621636073901673,0.5318885006593217,FALSE
IKZF1,-1.4259009125149285,0.15389694599583353,0.5518304777850602,FALSE
ZNF24,-1.4095952508575522,0.15865923012867758,0.5548030742983271,FALSE
NR2C2,1.4079472222635943,0.1591466986035042,0.5548030742983271,FALSE
SNAI2,-1.3912894345266613,0.16413767639341825,0.5643637914349039,FALSE
